idx,avg_core_id,avg_weight_ns,first_sample_time_ns,last_sample_time_ns,max_core_id,running_count,running_fraction,sample_span_ns,samples_per_bucket,sentinel_count,total_weight_ns,unique_process_count,unique_thread_count
0,8.726027397260275,1000000.0,281818125.0,481817458.0,10.0,219.0,1.0,199999333.0,219.0,0.0,219000000.0,1.0,2.0
1,6.8812785388127855,1000000.0,482817750.0,681817500.0,9.0,219.0,1.0,198999750.0,219.0,0.0,219000000.0,1.0,2.0
2,4.607305936073059,1000000.0,682817666.0,880817666.0,7.0,219.0,1.0,198000000.0,219.0,0.0,219000000.0,1.0,2.0
3,4.658767772511848,1000000.0,881820833.0,1081817750.0,6.0,211.0,1.0,199996917.0,211.0,0.0,211000000.0,1.0,2.0
4,5.0,1000000.0,1082817791.0,1281817750.0,6.0,215.0,1.0,198999959.0,215.0,0.0,215000000.0,1.0,2.0
5,4.895734597156398,1000000.0,1282821333.0,1480820958.0,6.0,211.0,1.0,197999625.0,211.0,0.0,211000000.0,1.0,2.0
6,4.757009345794392,1000000.0,1481820833.0,1681817958.0,6.0,214.0,1.0,199997125.0,214.0,0.0,214000000.0,1.0,2.0
7,4.796296296296297,1000000.0,1682817458.0,1881817500.0,6.0,216.0,1.0,199000042.0,216.0,0.0,216000000.0,1.0,2.0
8,4.714285714285714,1000000.0,1882817500.0,2081817500.0,5.0,217.0,1.0,199000000.0,217.0,0.0,217000000.0,1.0,2.0
9,4.806603773584905,1000000.0,2082820875.0,2281817875.0,6.0,212.0,1.0,198997000.0,212.0,0.0,212000000.0,1.0,2.0
10,4.921658986175115,1000000.0,2282821166.0,2481817500.0,7.0,217.0,1.0,198996334.0,217.0,0.0,217000000.0,1.0,3.0
11,4.741935483870968,1000000.0,2482820916.0,2681817458.0,5.0,217.0,1.0,198996542.0,217.0,0.0,217000000.0,1.0,2.0
12,4.789954337899544,1000000.0,2682820958.0,2881817500.0,6.0,219.0,1.0,198996542.0,219.0,0.0,219000000.0,1.0,2.0
13,4.809302325581395,1000000.0,2882820916.0,3080817500.0,6.0,215.0,1.0,197996584.0,215.0,0.0,215000000.0,1.0,2.0
14,4.7953488372093025,1000000.0,3081821083.0,3280817458.0,6.0,215.0,1.0,198996375.0,215.0,0.0,215000000.0,1.0,2.0
15,4.7695852534562215,1000000.0,3281820958.0,3480820958.0,6.0,217.0,1.0,199000000.0,217.0,0.0,217000000.0,1.0,2.0
16,4.843601895734597,1000000.0,3481820958.0,3680817916.0,6.0,211.0,1.0,198996958.0,211.0,0.0,211000000.0,1.0,2.0
17,4.796296296296297,1000000.0,3681821166.0,3881817708.0,7.0,216.0,1.0,199996542.0,216.0,0.0,216000000.0,1.0,2.0
18,4.872641509433962,1000000.0,3882820916.0,4081817666.0,8.0,212.0,1.0,198996750.0,212.0,0.0,212000000.0,1.0,2.0
19,4.764150943396227,1000000.0,4082817708.0,4280817500.0,6.0,212.0,1.0,197999792.0,212.0,0.0,212000000.0,1.0,2.0
20,4.917050691244239,1000000.0,4281821000.0,4481817750.0,6.0,217.0,1.0,199996750.0,217.0,0.0,217000000.0,1.0,2.0
21,4.748858447488584,1000000.0,4482821000.0,4680821000.0,6.0,219.0,1.0,198000000.0,219.0,0.0,219000000.0,1.0,2.0
22,4.767441860465116,1000000.0,4681820958.0,4881817750.0,6.0,215.0,1.0,199996792.0,215.0,0.0,215000000.0,1.0,2.0
23,4.837209302325581,1000000.0,4882821166.0,5080821041.0,7.0,215.0,1.0,197999875.0,215.0,0.0,215000000.0,1.0,2.0
24,4.8604651162790695,1000000.0,5081820875.0,5280821000.0,6.0,215.0,1.0,199000125.0,215.0,0.0,215000000.0,1.0,2.0
25,4.780373831775701,1000000.0,5281821000.0,5481817500.0,6.0,214.0,1.0,199996500.0,214.0,0.0,214000000.0,1.0,2.0
26,4.855203619909502,1000000.0,5482817500.0,5681817500.0,6.0,221.0,1.0,199000000.0,221.0,0.0,221000000.0,1.0,2.0
27,4.766355140186916,1000000.0,5682817750.0,5881817708.0,6.0,214.0,1.0,198999958.0,214.0,0.0,214000000.0,1.0,2.0
28,4.816901408450704,1000000.0,5882817666.0,6080820916.0,5.0,213.0,1.0,198003250.0,213.0,0.0,213000000.0,1.0,2.0
29,4.852534562211981,1000000.0,6081821041.0,6281817666.0,6.0,217.0,1.0,199996625.0,217.0,0.0,217000000.0,1.0,2.0
30,4.81042654028436,1000000.0,6282821000.0,6481817541.0,6.0,211.0,1.0,198996541.0,211.0,0.0,211000000.0,1.0,2.0
31,4.847222222222222,1000000.0,6482817625.0,6681817541.0,6.0,216.0,1.0,198999916.0,216.0,0.0,216000000.0,1.0,2.0
32,4.704225352112676,1000000.0,6682821041.0,6880817916.0,6.0,213.0,1.0,197996875.0,213.0,0.0,213000000.0,1.0,2.0
33,4.927927927927928,1000000.0,6881821208.0,7081817500.0,6.0,222.0,1.0,199996292.0,222.0,0.0,222000000.0,1.0,2.0
34,4.981308411214953,1000000.0,7082821041.0,7281817500.0,7.0,214.0,1.0,198996459.0,214.0,0.0,214000000.0,1.0,2.0
35,4.875,1000000.0,7282821000.0,7481817500.0,7.0,216.0,1.0,198996500.0,216.0,0.0,216000000.0,1.0,2.0
36,8.037209302325582,1000000.0,7482821166.0,7681817500.0,10.0,215.0,1.0,198996334.0,215.0,0.0,215000000.0,1.0,2.0
37,8.6651376146789,1000000.0,7682820833.0,7881817458.0,10.0,218.0,1.0,198996625.0,218.0,0.0,218000000.0,1.0,3.0
38,8.722222222222221,1000000.0,7882817666.0,8080817750.0,9.0,216.0,1.0,198000084.0,216.0,0.0,216000000.0,1.0,2.0
39,8.76605504587156,1000000.0,8081820875.0,8280817625.0,10.0,218.0,1.0,198996750.0,218.0,0.0,218000000.0,1.0,2.0
40,8.723502304147466,1000000.0,8281820916.0,8481817708.0,9.0,217.0,1.0,199996792.0,217.0,0.0,217000000.0,1.0,2.0
41,9.112676056338028,1000000.0,8482820958.0,8680817750.0,11.0,213.0,1.0,197996792.0,213.0,0.0,213000000.0,1.0,2.0
42,8.849765258215962,1000000.0,8681821000.0,8881817500.0,10.0,213.0,1.0,199996500.0,213.0,0.0,213000000.0,1.0,2.0
43,9.023364485981308,1000000.0,8882817750.0,9080820875.0,11.0,214.0,1.0,198003125.0,214.0,0.0,214000000.0,1.0,2.0
44,8.76605504587156,1000000.0,9081820875.0,9281817666.0,9.0,218.0,1.0,199996791.0,218.0,0.0,218000000.0,1.0,2.0
45,8.741784037558686,1000000.0,9282817666.0,9480817458.0,10.0,213.0,1.0,197999792.0,213.0,0.0,213000000.0,1.0,2.0
46,8.796296296296296,1000000.0,9481820916.0,9681817875.0,10.0,216.0,1.0,199996959.0,216.0,0.0,216000000.0,1.0,3.0
47,8.88679245283019,1000000.0,9682820958.0,9880817750.0,10.0,212.0,1.0,197996792.0,212.0,0.0,212000000.0,1.0,3.0
48,8.863849765258216,1000000.0,9881820875.0,10081817458.0,10.0,213.0,1.0,199996583.0,213.0,0.0,213000000.0,1.0,2.0
49,8.863849765258216,1000000.0,10082817500.0,10281817708.0,9.0,213.0,1.0,199000208.0,213.0,0.0,213000000.0,1.0,2.0
50,8.695852534562212,1000000.0,10282817708.0,10481817500.0,10.0,217.0,1.0,198999792.0,217.0,0.0,217000000.0,1.0,2.0
51,8.809090909090909,1000000.0,10482821000.0,10680817500.0,10.0,220.0,1.0,197996500.0,220.0,0.0,220000000.0,1.0,2.0
52,8.837209302325581,1000000.0,10681820958.0,10880820958.0,10.0,215.0,1.0,199000000.0,215.0,0.0,215000000.0,1.0,2.0
