idx,avg_core_id,avg_weight_ns,max_core_id,running_fraction,samples_per_bucket,sentinel_count,total_weight_ns,unique_process_count,unique_thread_count
0,4.783967391304348,1000000.0,11.0,1.0,736.0,136.0,736000000.0,42.0,73.0
1,5.465648854961832,1000000.0,11.0,1.0,524.0,83.0,524000000.0,30.0,52.0
2,4.811440677966102,1000000.0,10.0,1.0,472.0,51.0,472000000.0,16.0,30.0
3,4.958963282937365,1000000.0,10.0,1.0,463.0,46.0,463000000.0,20.0,34.0
4,4.782700421940929,1000000.0,10.0,1.0,474.0,65.0,474000000.0,31.0,50.0
5,4.00804828973843,1000000.0,9.0,1.0,497.0,106.0,497000000.0,21.0,37.0
6,4.052104208416834,1000000.0,10.0,1.0,499.0,99.0,499000000.0,30.0,46.0
7,4.399563318777292,1000000.0,10.0,1.0,458.0,111.0,458000000.0,16.0,26.0
8,4.166666666666667,1000000.0,8.0,1.0,462.0,107.0,462000000.0,21.0,28.0
9,4.0648330058939095,1000000.0,10.0,1.0,509.0,127.0,509000000.0,22.0,32.0
10,4.270833333333333,1000000.0,10.0,1.0,480.0,126.0,480000000.0,23.0,32.0
11,4.102362204724409,1000000.0,9.0,1.0,508.0,124.0,508000000.0,23.0,37.0
12,4.398720682302772,1000000.0,9.0,1.0,469.0,125.0,469000000.0,16.0,25.0
13,4.14375,1000000.0,9.0,1.0,480.0,76.0,480000000.0,22.0,37.0
14,5.008219178082192,1000000.0,9.0,1.0,365.0,7.0,365000000.0,19.0,27.0
15,5.184873949579832,1000000.0,9.0,1.0,357.0,8.0,357000000.0,14.0,21.0
16,4.876315789473685,1000000.0,9.0,1.0,380.0,6.0,380000000.0,23.0,35.0
17,5.187319884726225,1000000.0,8.0,1.0,347.0,4.0,347000000.0,16.0,23.0
18,5.252173913043478,1000000.0,8.0,1.0,345.0,6.0,345000000.0,14.0,18.0
19,4.753807106598985,1000000.0,8.0,1.0,394.0,9.0,394000000.0,28.0,42.0
20,4.9319371727748695,1000000.0,8.0,1.0,382.0,10.0,382000000.0,27.0,35.0
21,5.27536231884058,1000000.0,8.0,1.0,345.0,6.0,345000000.0,9.0,15.0
22,5.101123595505618,1000000.0,8.0,1.0,356.0,5.0,356000000.0,16.0,22.0
23,5.343283582089552,1000000.0,8.0,1.0,402.0,16.0,402000000.0,41.0,53.0
24,6.03921568627451,1000000.0,8.0,1.0,357.0,4.0,357000000.0,16.0,25.0
25,5.864935064935065,1000000.0,8.0,1.0,385.0,5.0,385000000.0,28.0,40.0
26,5.452702702702703,1000000.0,9.0,1.0,444.0,13.0,444000000.0,28.0,44.0
27,5.092178770949721,1000000.0,8.0,1.0,358.0,2.0,358000000.0,15.0,22.0
28,5.116991643454039,1000000.0,8.0,1.0,359.0,5.0,359000000.0,16.0,25.0
29,4.744186046511628,1000000.0,8.0,1.0,387.0,6.0,387000000.0,23.0,37.0
30,4.806615776081425,1000000.0,8.0,1.0,393.0,10.0,393000000.0,23.0,37.0
31,5.7289972899729,1000000.0,8.0,1.0,369.0,8.0,369000000.0,16.0,28.0
32,6.206043956043956,1000000.0,8.0,1.0,364.0,10.0,364000000.0,18.0,32.0
33,5.952879581151833,1000000.0,8.0,1.0,382.0,8.0,382000000.0,24.0,34.0
34,5.954674220963173,1000000.0,8.0,1.0,353.0,5.0,353000000.0,14.0,19.0
35,5.961956521739131,1000000.0,8.0,1.0,368.0,8.0,368000000.0,19.0,27.0
36,5.928571428571429,1000000.0,8.0,1.0,364.0,14.0,364000000.0,16.0,25.0
37,5.472636815920398,1000000.0,8.0,1.0,402.0,8.0,402000000.0,24.0,40.0
38,5.914127423822714,1000000.0,8.0,1.0,361.0,5.0,361000000.0,17.0,26.0
39,5.71313672922252,1000000.0,8.0,1.0,373.0,5.0,373000000.0,27.0,37.0
40,6.191977077363897,1000000.0,9.0,1.0,349.0,5.0,349000000.0,14.0,19.0
41,5.827027027027027,1000000.0,9.0,1.0,370.0,5.0,370000000.0,19.0,31.0
42,5.701704545454546,1000000.0,9.0,1.0,352.0,7.0,352000000.0,13.0,20.0
43,5.240793201133145,1000000.0,8.0,1.0,353.0,6.0,353000000.0,18.0,24.0
44,4.942928039702233,1000000.0,9.0,1.0,403.0,7.0,403000000.0,30.0,47.0
45,5.235127478753541,1000000.0,9.0,1.0,353.0,6.0,353000000.0,16.0,25.0
46,5.175287356321839,1000000.0,9.0,1.0,348.0,9.0,348000000.0,14.0,25.0
47,4.937669376693767,1000000.0,8.0,1.0,369.0,6.0,369000000.0,15.0,24.0
