idx,cpu0_pct,cpu10_pct,cpu11_pct,cpu1_pct,cpu2_pct,cpu3_pct,cpu4_pct,cpu5_pct,cpu6_pct,cpu7_pct,cpu8_pct,cpu9_pct,cpu_freq_current_mhz,cpu_freq_max_mhz,cpu_freq_min_mhz,cpu_pct,cpu_times_idle_pct,cpu_times_nice_pct,cpu_times_system_pct,cpu_times_user_pct,ctx_switches,disk_read_Bps,disk_read_IOPS,disk_write_Bps,disk_write_IOPS,interrupts,load1,load15,load5,mem_active_bytes,mem_available_bytes,mem_free_bytes,mem_inactive_bytes,mem_percent,mem_total_bytes,mem_used_bytes,mem_wired_bytes,net_recv_Bps,net_recv_Pps,net_sent_Bps,net_sent_Pps,pids_count,soft_interrupts,swap_free_bytes,swap_percent,swap_sin_bytes,swap_sout_bytes,swap_total_bytes,swap_used_bytes,syscalls,t_rel_s,ts_unix_s,uptime_s
0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,3504.0,3504.0,702.0,10.0,18.0,0.0,0.0,2.0,6229.0,14583353.10639624,473.0927772234975,0.0,0.0,165396.0,1.3642578125,3.599609375,3.35791015625,3880665088.0,3934781440.0,73383936.0,3832692736.0,77.1,17179869184.0,6590513152.0,2709848064.0,29965.79405423885,58.52694151218525,4994.299009039808,58.52694151218525,494.0,1187957840.0,1007026176.0,93.7,3910266421248.0,40536801280.0,16106127360.0,15099101184.0,233929.0,0.000540018081665,1771722194.998956,268778.99895715714
1,13.6,0.0,0.0,9.5,9.5,0.0,10.0,9.5,0.0,0.0,0.0,0.0,3504.0,3504.0,702.0,4.5,95.5,0.0,2.4,2.0,5778.0,14583353.10639624,473.0927772234975,0.0,0.0,165122.0,1.3642578125,3.599609375,3.35791015625,3880665088.0,3934781440.0,73383936.0,3832692736.0,77.1,17179869184.0,6590513152.0,2709848064.0,29965.79405423885,58.52694151218525,4994.299009039808,58.52694151218525,494.0,1187958446.0,1015414784.0,93.7,3910266421248.0,40536801280.0,16106127360.0,15090712576.0,234188.0,0.2055721282958984,1771722195.203988,268779.2039909363
2,10.5,0.0,0.0,5.3,15.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,3504.0,3504.0,702.0,3.8,96.3,0.0,1.2,2.5,5656.0,0.0,0.0,0.0,0.0,165087.0,1.3642578125,3.599609375,3.35791015625,3880665088.0,3934781440.0,73383936.0,3832692736.0,77.1,17179869184.0,6590513152.0,2709848064.0,117505.59109860269,124.72994979046648,15326.816230252523,84.81636585751721,494.0,1187958522.0,1015414784.0,93.7,3910266421248.0,40536801280.0,16106127360.0,15090712576.0,234275.0,0.4060041904449463,1771722195.40442,268779.4044239521
3,15.8,0.0,0.0,19.0,25.0,5.0,4.8,0.0,0.0,0.0,0.0,0.0,3504.0,3504.0,702.0,5.4,94.6,0.0,1.3,4.2,5611.0,20455.049964042653,4.993908682627601,3006892.34471427,309.6223383229113,165088.0,1.3642578125,3.599609375,3.35791015625,3880665088.0,3934781440.0,73383936.0,3832692736.0,77.1,17179869184.0,6590513152.0,2709848064.0,35796.337437074646,79.90253892204161,15341.28747303199,74.90863023941401,494.0,1187958608.0,1015414784.0,93.7,3910266421248.0,40536801280.0,16106127360.0,15090712576.0,234318.0,0.6062359809875488,1771722195.604652,268779.604667902
4,15.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,6641.0,0.0,0.0,0.0,0.0,164587.0,1.3349609375,3.583984375,3.318359375,3880665088.0,3934781440.0,73383936.0,3832692736.0,77.1,17179869184.0,6590513152.0,2709848064.0,119869.44864517884,131.69250949787715,9989.12072043157,87.7950063319181,494.0,1187958637.0,1015414784.0,93.7,3910266421248.0,40536801280.0,16106127360.0,15090712576.0,233745.0,0.8112730979919434,1771722195.809689,268779.8096909523
5,25.0,0.0,0.0,20.0,20.0,15.0,4.8,0.0,0.0,0.0,0.0,0.0,3504.0,3504.0,702.0,5.5,94.5,0.0,2.5,3.1,7095.0,122084.03717030073,9.935224379093482,0.0,0.0,151749.0,1.3349609375,3.583984375,3.318359375,4017176576.0,4018257920.0,88293376.0,3901915136.0,76.6,17179869184.0,6503432192.0,2486255616.0,30521.009292575174,79.48179503274785,10173.669764191724,74.51418284320111,494.0,1187958654.0,1015414784.0,93.7,3910269288448.0,40536801280.0,16106127360.0,15090712576.0,238148.0,1.0125770568847656,1771722196.010993,268780.0109949112
6,19.0,0.0,0.0,15.0,14.3,9.5,10.5,9.5,0.0,0.0,0.0,0.0,3504.0,3504.0,702.0,6.5,93.5,0.0,3.3,3.3,6751.0,958899.8345680534,29.263300615480144,0.0,0.0,163571.0,1.3349609375,3.583984375,3.318359375,3890823168.0,3951099904.0,82591744.0,3840458752.0,77.0,17179869184.0,6570770432.0,2679947264.0,124856.74929271528,131.6848527696607,14982.809915125834,97.54433538493382,494.0,1187958803.0,1015414784.0,93.7,3910269288448.0,40536801280.0,16106127360.0,15090712576.0,234403.0,1.2176108360290527,1771722196.2160268,268780.21602988243
7,28.6,0.0,0.0,20.0,23.8,19.0,23.8,4.8,0.0,4.5,0.0,0.0,3504.0,3504.0,702.0,10.5,89.5,0.0,4.4,6.0,6773.0,419507.9457628538,19.508368013525565,0.0,0.0,163832.0,1.3349609375,3.583984375,3.318359375,3890823168.0,3951099904.0,82591744.0,3840458752.0,77.0,17179869184.0,6570770432.0,2679947264.0,129847.69749802616,146.31276010144174,9988.28442292509,102.41893207100922,494.0,1187959249.0,1015414784.0,93.7,3910269288448.0,40536801280.0,16106127360.0,15090712576.0,234404.0,1.4226510524749756,1771722196.421067,268780.4210700989
8,26.3,0.0,0.0,28.6,15.8,20.0,15.0,0.0,0.0,0.0,0.0,0.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,6584.0,339625.3651448181,14.632296866878075,279691.4771780855,39.01945831167487,163833.0,1.3349609375,3.583984375,3.318359375,3890823168.0,3951099904.0,82591744.0,3840458752.0,77.0,17179869184.0,6570770432.0,2679947264.0,24972.45331947192,73.16148433439038,29966.943983366305,92.6712134902278,494.0,1187959492.0,1015414784.0,93.7,3910269288448.0,40536801280.0,16106127360.0,15090712576.0,234404.0,1.6276791095733645,1771722196.626095,268780.6260960102
9,61.9,9.5,0.0,47.6,38.1,33.3,30.0,28.6,19.0,20.0,5.3,13.6,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,4993.0,10347261.07790352,648.6155262885574,2297171.8609245266,68.27531855669024,175177.0,1.3349609375,3.583984375,3.318359375,3890823168.0,3951099904.0,82591744.0,3840458752.0,77.0,17179869184.0,6570770432.0,2679947264.0,134834.00053252655,165.8114879233906,9987.703743150116,117.04340324004042,494.0,1187961038.0,1015414784.0,93.7,3910269288448.0,40536801280.0,16106127360.0,15090712576.0,229509.0,1.832731008529663,1771722196.831147,268780.8311481476
10,25.0,0.0,0.0,15.8,5.3,15.8,28.6,10.0,35.0,4.8,0.0,0.0,3504.0,3504.0,702.0,15.5,84.5,0.0,5.1,10.5,4704.0,2596276.6415524515,94.8289404479434,0.0,0.0,175177.0,1.3349609375,3.583984375,3.318359375,3794288640.0,3838984192.0,62668800.0,3761864704.0,77.7,17179869184.0,6664388608.0,2870099968.0,25553.90395228791,59.89196238817479,10221.561580915164,59.89196238817479,494.0,1187961291.0,1023803392.0,93.6,3910269583360.0,40536801280.0,16106127360.0,15082323968.0,229606.0,2.0330910682678223,1771722197.031507,268781.0315089226
11,10.0,0.0,0.0,9.5,14.3,10.0,5.0,4.8,10.0,0.0,0.0,0.0,3504.0,3504.0,702.0,5.3,94.7,0.0,2.0,3.2,4576.0,0.0,0.0,0.0,0.0,174869.0,1.3349609375,3.583984375,3.318359375,3799826432.0,3837607936.0,60555264.0,3762601984.0,77.7,17179869184.0,6664880128.0,2865053696.0,125060.48652539431,136.78490713715004,10004.838922031546,83.04797933326967,494.0,1187961461.0,1023803392.0,93.6,3910269583360.0,40536801280.0,16106127360.0,15082323968.0,229645.0,2.2377922534942627,1771722197.2362082,268781.2362098694
12,33.3,0.0,4.8,33.3,20.0,18.2,38.1,26.3,19.0,5.0,9.1,0.0,3504.0,3504.0,702.0,17.3,82.7,0.0,7.3,10.1,5919.0,340114.2139943287,14.653358254581024,80026.87388101852,4.884452751527009,175418.0,1.3349609375,3.583984375,3.318359375,3772252160.0,3842965504.0,82673664.0,3745955840.0,77.6,17179869184.0,6646300672.0,2874048512.0,60020.15541076388,122.1113187881752,35011.757322945596,122.1113187881752,494.0,1187961669.0,1023803392.0,93.6,3910269583360.0,40536817664.0,16106127360.0,15082323968.0,228635.0,2.4425220489501953,1771722197.440938,268781.44094109535
13,21.1,0.0,0.0,26.3,20.0,10.5,31.6,20.0,9.5,0.0,0.0,0.0,3504.0,3504.0,702.0,11.4,88.6,0.0,3.8,7.6,5919.0,325855.3732452303,9.94431681046235,305489.4124174034,44.74942564708058,175418.0,1.3349609375,3.583984375,3.318359375,3772252160.0,3842965504.0,82673664.0,3745955840.0,77.6,17179869184.0,6646300672.0,2874048512.0,132378.7453808748,164.0812273726288,15274.470620870172,104.4153265098547,494.0,1187961669.0,1023803392.0,93.6,3910269583360.0,40536817664.0,16106127360.0,15082323968.0,228635.0,2.643641948699951,1771722197.642058,268781.6420609951
14,23.8,0.0,0.0,15.0,19.0,15.0,30.0,14.3,5.0,0.0,0.0,0.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,5919.0,0.0,0.0,0.0,0.0,175418.0,1.3349609375,3.583984375,3.318359375,3772252160.0,3842965504.0,82673664.0,3745955840.0,77.6,17179869184.0,6646300672.0,2874048512.0,24967.314345241,48.76428583054883,4993.4628690482,58.5171429966586,494.0,1187961669.0,1023803392.0,93.6,3910269583360.0,40536817664.0,16106127360.0,15082323968.0,228635.0,2.848710060119629,1771722197.847126,268781.8471291065
15,30.0,0.0,0.0,25.0,23.8,15.0,20.0,19.0,14.3,4.8,0.0,0.0,3504.0,3504.0,702.0,11.4,88.6,0.0,4.3,7.1,5693.0,0.0,0.0,0.0,0.0,170181.0,1.3349609375,3.583984375,3.318359375,3821518848.0,3881811968.0,78970880.0,3788505088.0,77.4,17179869184.0,6609764352.0,2788245504.0,79987.47187380694,131.81529178422772,14997.6509763388,112.2871004087866,494.0,1187962089.0,1023803392.0,93.6,3910269583360.0,40536817664.0,16106127360.0,15082323968.0,231232.0,3.0535409450531006,1771722198.051957,268782.05196118355
16,28.6,0.0,0.0,20.0,15.0,14.3,31.8,20.0,5.3,0.0,0.0,0.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,5858.0,159947.01769625198,4.881195608406127,0.0,0.0,170009.0,1.3349609375,3.583984375,3.318359375,3822190592.0,3884449792.0,80969728.0,3789127680.0,77.4,17179869184.0,6607618048.0,2785427456.0,84971.85315113387,97.62391216812254,9996.688606015749,78.09912973449804,494.0,1187962219.0,1023803392.0,93.6,3910269616128.0,40536817664.0,16106127360.0,15082323968.0,231267.0,3.2584102153778076,1771722198.2568262,268782.25682902336
17,26.3,35.0,25.0,28.6,25.0,28.6,84.2,81.0,81.0,61.9,55.0,47.6,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,4715.0,36894012.869001634,1189.1834267671886,0.0,0.0,185023.0,1.3349609375,3.583984375,3.318359375,3663478784.0,3708108800.0,62783488.0,3632185344.0,78.4,17179869184.0,6694895616.0,3031416832.0,150957.49946400014,235.87109291250025,40255.33319040004,176.90331968437516,494.0,1187967632.0,1023803392.0,93.6,3910270320640.0,40536817664.0,16106127360.0,15082323968.0,221635.0,3.4619131088256836,1771722198.460329,268782.46033000946
18,45.0,47.6,45.0,40.0,36.8,36.8,80.0,78.9,68.4,57.9,60.0,50.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,4165.0,27033418.66343548,894.8254583044063,263246.77350161894,34.606509437186986,184557.0,1.3349609375,3.583984375,3.318359375,3725099008.0,3769516032.0,57933824.0,3698573312.0,78.1,17179869184.0,6748880896.0,3023781888.0,45561.94156758789,177.9763342483902,55686.81747149631,168.08876012347963,494.0,1187969774.0,1032192000.0,93.6,3910270615552.0,40536817664.0,16106127360.0,15073935360.0,225478.0,3.664186954498291,1771722198.662603,268782.66260409355
19,35.0,35.0,35.0,30.0,30.0,28.6,45.0,40.0,38.1,38.1,31.6,38.1,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,5170.0,5681421.938931099,178.33704467905935,0.0,0.0,184022.0,1.3349609375,3.583984375,3.318359375,3725017088.0,3769630720.0,58114048.0,3698507776.0,78.1,17179869184.0,6748798976.0,3023781888.0,131890.15215375766,148.6142038992161,15218.09447927973,104.02994272945128,494.0,1187970933.0,1032192000.0,93.6,3910270615552.0,40536817664.0,16106127360.0,15073935360.0,225376.0,3.866050958633423,1771722198.864467,268782.86446905136
20,35.0,15.0,10.0,31.6,30.0,26.3,42.9,40.0,25.0,20.0,25.0,15.0,3504.0,3504.0,702.0,35.0,65.0,0.0,15.9,19.1,9268.0,44799691.02583216,1393.207753076087,5767503.28709716,1105.6417399856496,179018.0,1.3349609375,3.583984375,3.318359375,3726376960.0,3841490944.0,138084352.0,3690659840.0,77.6,17179869184.0,6659407872.0,2933030912.0,40616.220331670134,128.9089024198515,152310.826243763,198.32138833823308,494.0,1187971827.0,1040580608.0,93.5,3910270664704.0,40536817664.0,16106127360.0,15065546752.0,225184.0,4.0677430629730225,1771722199.066159,268783.06616187096
21,20.0,45.0,38.1,19.0,14.3,14.3,75.0,80.0,78.9,66.7,57.1,50.0,3504.0,3504.0,702.0,46.1,53.9,0.0,24.9,21.2,4797.0,187079064.90840423,5867.191191834389,1450381.4658560464,314.7529222777879,185123.0,1.3349609375,3.583984375,3.318359375,3644047360.0,3690938368.0,68239360.0,3607248896.0,78.5,17179869184.0,6677102592.0,3033055232.0,135973.26242400435,231.14667729775047,30216.280538667637,177.04851878125567,494.0,1187975786.0,1074135040.0,93.3,3910273794048.0,40536817664.0,16106127360.0,15031992320.0,220224.0,4.271078109741211,1771722199.269494,268783.26949596405
22,90.5,95.0,95.2,90.0,89.5,89.5,100.0,95.2,100.0,100.0,100.0,95.2,3504.0,3504.0,702.0,95.0,5.0,0.0,34.9,60.2,4895.0,99433799.75132452,3141.920788410952,0.0,0.0,183134.0,1.3349609375,3.583984375,3.318359375,3725246464.0,3766009856.0,64995328.0,3685548032.0,78.1,17179869184.0,6725713920.0,3000467456.0,54699.52976918232,213.67003816086844,54699.52976918232,208.8139009299396,494.0,1187978286.0,1099300864.0,93.2,3910273826816.0,40536817664.0,16106127360.0,15006826496.0,224938.0,4.477004051208496,1771722199.47542,268783.47542095184
23,38.1,66.7,70.0,38.1,33.3,31.8,68.2,70.0,65.0,52.4,71.4,75.0,3504.0,3504.0,702.0,56.4,43.6,0.0,13.6,42.8,4703.0,9979048.012481457,321.5904144647344,279413.34434948076,38.98065629875569,182718.0,1.3349609375,3.583984375,3.318359375,3701260288.0,3737174016.0,60751872.0,3660890112.0,78.2,17179869184.0,6694912000.0,2993651712.0,109769.52813729602,141.30487908298937,9979.048012481457,82.83389463485584,494.0,1187979217.0,1099300864.0,93.2,3910273843200.0,40536817664.0,16106127360.0,15006826496.0,223458.0,4.682233095169067,1771722199.680649,268783.6806509495
24,21.1,5.0,0.0,15.0,19.0,10.5,0.0,5.0,4.8,0.0,10.5,5.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,4682.0,7662551.838683389,353.25147299033347,0.0,0.0,182718.0,1.3349609375,3.583984375,3.318359375,3703832576.0,3740336128.0,60653568.0,3663544320.0,78.2,17179869184.0,6697484288.0,2993651712.0,45853.03626871709,89.55671146233807,45853.03626871709,114.43357575743195,494.0,1187979677.0,1099300864.0,93.2,3910274056192.0,40536817664.0,16106127360.0,15006826496.0,223587.0,4.883221864700317,1771722199.8816378,268783.8816409111
25,25.0,15.0,5.0,25.0,20.0,19.0,4.8,0.0,0.0,0.0,45.5,28.6,3504.0,3504.0,702.0,12.0,88.0,0.0,5.2,6.8,5522.0,2252770.4977356917,98.21299951763444,0.0,0.0,179460.0,1.3349609375,3.583984375,3.318359375,3733962752.0,3764125696.0,74268672.0,3673538560.0,78.1,17179869184.0,6674235392.0,2940272640.0,125712.63938257207,147.3194992764517,20114.022301211535,98.21299951763444,494.0,1187980001.0,1099300864.0,93.2,3910274154496.0,40536817664.0,16106127360.0,15006826496.0,224194.0,5.086862087249756,1771722200.085278,268784.08527994156
26,35.0,14.3,9.5,35.0,25.0,15.8,0.0,0.0,0.0,4.8,27.8,20.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,4248.0,2166493.120624367,88.15483075457223,80240.48594905064,4.897490597476235,177464.0,1.3349609375,3.583984375,3.318359375,3750789120.0,3786784768.0,58359808.0,3718168576.0,78.0,17179869184.0,6658359296.0,2907570176.0,35105.21260270965,83.257340157096,10030.06074363133,68.56486836466729,494.0,1187980315.0,1099300864.0,93.2,3910274269184.0,40536834048.0,16106127360.0,15006826496.0,226937.0,5.291047096252441,1771722200.289463,268784.28946614265
27,20.0,5.0,5.3,20.0,15.0,23.8,0.0,0.0,0.0,0.0,33.3,14.3,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,4692.0,0.0,0.0,0.0,0.0,173412.0,1.3349609375,3.583984375,3.318359375,3750789120.0,3786784768.0,58359808.0,3718168576.0,78.0,17179869184.0,6658359296.0,2907570176.0,131938.45939792503,153.62425786266812,10149.112261378848,104.0680456489042,494.0,1187980407.0,1099300864.0,93.2,3910274269184.0,40536834048.0,16106127360.0,15006826496.0,229138.0,5.492839097976685,1771722200.491255,268784.4912571907
28,31.6,10.5,9.5,30.0,25.0,20.0,9.5,5.0,5.0,5.0,33.3,31.6,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,4692.0,18140694.104674436,811.1320277008901,285359.2331072383,39.81016086875535,173412.0,1.3349609375,3.583984375,3.318359375,3750789120.0,3786784768.0,58359808.0,3718168576.0,78.0,17179869184.0,6658359296.0,2907570176.0,76435.50886801026,134.3592929320493,20382.802364802737,114.45421249767162,494.0,1187980407.0,1107689472.0,93.1,3910274269184.0,40536834048.0,16106127360.0,14998437888.0,229138.0,5.693794012069702,1771722200.69221,268784.6922109127
29,42.9,65.0,55.0,26.3,25.0,25.0,50.0,40.0,25.0,23.8,68.4,75.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,4692.0,164993545.3419972,7051.3907762975705,0.0,0.0,173412.0,1.70849609375,3.59765625,3.36279296875,3750789120.0,3786784768.0,58359808.0,3718168576.0,78.0,17179869184.0,6658359296.0,2907570176.0,131929.88617578812,609.5018028704154,223265.96122056452,559.9488107671297,495.0,1187980407.0,1116078080.0,93.1,3910274269184.0,40536834048.0,16106127360.0,14990049280.0,229138.0,5.895596981048584,1771722200.894013,268784.8940150738
30,20.0,30.0,5.3,23.8,20.0,14.3,15.8,5.0,0.0,0.0,50.0,40.0,3504.0,3504.0,702.0,21.4,78.6,0.0,9.1,12.2,4847.0,5622038.212792698,198.92288739783947,0.0,0.0,171574.0,1.70849609375,3.59765625,3.36279296875,3743072256.0,3784753152.0,65323008.0,3705307136.0,78.0,17179869184.0,6554140672.0,2811068416.0,132403.07385200195,223.7882483225694,96756.09243030912,184.00367084300152,495.0,1187985902.0,1116078080.0,93.1,3910299828224.0,40536834048.0,16106127360.0,14990049280.0,226154.0,6.096681118011475,1771722201.095097,268785.09509801865
31,25.0,21.1,19.0,15.0,10.0,10.0,19.0,19.0,14.3,10.5,35.0,20.0,3504.0,3504.0,702.0,18.2,81.8,0.0,7.0,11.2,4919.0,70888670.0391995,2223.0291613013383,0.0,0.0,170571.0,1.70849609375,3.59765625,3.36279296875,3742760960.0,3784638464.0,64503808.0,3705978880.0,78.0,17179869184.0,6537396224.0,2794635264.0,40740.61496505719,69.6250744031739,10185.153741264296,69.6250744031739,495.0,1187991854.0,1132855296.0,93.0,3910299844608.0,40536834048.0,16106127360.0,14973272064.0,226194.0,6.297758102416992,1771722201.296174,268785.29617500305
32,21.1,36.4,15.8,25.0,15.0,5.6,5.0,5.3,5.0,0.0,60.0,25.0,3504.0,3504.0,702.0,18.6,81.4,0.0,7.6,11.0,5273.0,4728658.671956416,154.2594318580879,0.0,0.0,169427.0,1.70849609375,3.59765625,3.36279296875,3668918272.0,3714318336.0,72253440.0,3627892736.0,78.4,17179869184.0,6444810240.0,2775891968.0,117197.35932650602,144.30721044788868,50955.37362022001,129.37887833258986,495.0,1188017266.0,1132855296.0,93.0,3910299877376.0,40536834048.0,16106127360.0,14973272064.0,221429.0,6.498718023300171,1771722201.497134,268785.49713516235
33,25.0,35.0,23.8,20.0,15.0,9.5,40.0,23.8,30.0,14.3,80.0,42.1,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,5639.0,44019493.44949902,1634.8712800824046,0.0,0.0,169421.0,1.70849609375,3.59765625,3.36279296875,3668918272.0,3714318336.0,72253440.0,3627892736.0,78.4,17179869184.0,6444810240.0,2775891968.0,45246.16731903736,103.09999063582733,15082.055773012456,93.28094390860568,495.0,1188052273.0,1141243904.0,92.9,3910299877376.0,40536834048.0,16106127360.0,14964883456.0,218266.0,6.7024030685424805,1771722201.700819,268785.70082092285
