idx,cpu0_pct,cpu10_pct,cpu11_pct,cpu1_pct,cpu2_pct,cpu3_pct,cpu4_pct,cpu5_pct,cpu6_pct,cpu7_pct,cpu8_pct,cpu9_pct,cpu_freq_current_mhz,cpu_freq_max_mhz,cpu_freq_min_mhz,cpu_pct,cpu_times_idle_pct,cpu_times_nice_pct,cpu_times_system_pct,cpu_times_user_pct,ctx_switches,disk_read_Bps,disk_read_IOPS,disk_write_Bps,disk_write_IOPS,interrupts,load1,load15,load5,mem_active_bytes,mem_available_bytes,mem_free_bytes,mem_inactive_bytes,mem_percent,mem_total_bytes,mem_used_bytes,mem_wired_bytes,net_recv_Bps,net_recv_Pps,net_sent_Bps,net_sent_Pps,pids_count,soft_interrupts,swap_free_bytes,swap_percent,swap_sin_bytes,swap_sout_bytes,swap_total_bytes,swap_used_bytes,syscalls,t_rel_s,ts_unix_s,uptime_s
0,5.9,0.0,0.0,5.7,5.9,5.9,74.3,76.5,14.7,0.0,55.9,0.0,3504.0,3504.0,702.0,20.4,79.6,0.0,3.4,17.0,14704.0,0.0,0.0,0.0,0.0,226103.0,3.0078125,2.30224609375,2.54248046875,2627944448.0,2696380416.0,74252288.0,2605776896.0,84.3,17179869184.0,6365855744.0,3737911296.0,3522.2289982934076,20.638060536875436,0.0,13.758707024583623,499.0,1213712812.0,1588854784.0,90.8,3936588152832.0,41284059136.0,17179869184.0,15591014400.0,159966.0,0.0601739883422851,1771740298.389045,286882.3890450001
1,7.1,0.0,0.0,3.6,3.4,10.0,44.8,40.0,10.0,13.8,0.0,0.0,3504.0,3504.0,702.0,11.2,88.8,0.0,1.4,9.7,14422.0,0.0,0.0,0.0,0.0,221032.0,3.0078125,2.30224609375,2.54248046875,2617131008.0,2856927232.0,219922432.0,2620604416.0,83.4,17179869184.0,6238519296.0,3621388288.0,3522.2289982934076,20.638060536875436,0.0,13.758707024583623,499.0,1213713277.0,1588854784.0,90.8,3936588152832.0,41284059136.0,17179869184.0,15591014400.0,159949.0,0.3508989810943603,1771740298.67977,286882.6797699928
2,13.0,0.0,0.0,16.7,18.2,9.1,50.0,36.4,9.1,8.7,0.0,0.0,3504.0,3504.0,702.0,13.3,86.7,0.0,1.5,11.8,14293.0,821441.7078807366,129.24158815397874,255559.6424517847,35.652851904545855,217206.0,2.8466796875,2.29443359375,2.5166015625,2675605504.0,2861858816.0,217792512.0,2627649536.0,83.3,17179869184.0,6234308608.0,3558703104.0,0.0,22.28303244034116,18254.26017512748,17.826425952272928,499.0,1213713373.0,1588854784.0,90.8,3936588152832.0,41284059136.0,17179869184.0,15591014400.0,160373.0,0.5752849578857422,1771740298.904156,286882.9041559696
3,13.3,0.0,0.0,3.7,6.9,6.9,57.1,27.6,6.9,6.9,0.0,0.0,3504.0,3504.0,702.0,10.7,89.3,0.0,1.2,9.5,14253.0,0.0,0.0,0.0,0.0,217206.0,2.8466796875,2.29443359375,2.5166015625,2674278400.0,2863120384.0,217137152.0,2629566464.0,83.3,17179869184.0,6232981504.0,3558703104.0,7084.032265167491,10.37700038842894,0.0,6.9180002589526275,499.0,1213713381.0,1588854784.0,90.8,3936588152832.0,41284059136.0,17179869184.0,15591014400.0,160490.0,0.8643858432769775,1771740299.1932569,286883.193256855
4,0.0,0.0,0.0,8.0,0.0,0.0,56.0,20.8,16.7,4.2,0.0,4.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,14203.0,0.0,0.0,0.0,0.0,217228.0,2.8466796875,2.29443359375,2.5166015625,2674278400.0,2863120384.0,217137152.0,2629566464.0,83.3,17179869184.0,6232981504.0,3558703104.0,0.0,0.0,0.0,0.0,499.0,1213713387.0,1588854784.0,90.8,3936588152832.0,41284059136.0,17179869184.0,15591014400.0,160554.0,1.1103849411010742,1771740299.439256,286883.43925595284
5,13.0,0.0,0.0,8.7,8.7,4.5,45.5,34.8,4.3,17.4,4.3,0.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,14210.0,0.0,0.0,0.0,0.0,209579.0,2.8466796875,2.29443359375,2.5166015625,2674278400.0,2863120384.0,217137152.0,2629566464.0,83.3,17179869184.0,6232981504.0,3558703104.0,0.0,4.442765670100362,0.0,0.0,499.0,1213713429.0,1588854784.0,90.8,3936588152832.0,41284059136.0,17179869184.0,15591014400.0,164569.0,1.3354699611663818,1771740299.664341,286883.6643409729
6,5.0,0.0,0.0,0.0,0.0,5.0,57.1,23.8,5.0,13.6,0.0,0.0,3504.0,3504.0,702.0,10.1,89.9,0.0,0.9,9.2,14155.0,0.0,0.0,0.0,0.0,209579.0,2.8466796875,2.29443359375,2.5166015625,2733031424.0,2928771072.0,215531520.0,2696822784.0,83.0,17179869184.0,6166773760.0,3433742336.0,4931.659307587464,14.44822062769765,14794.977922762391,19.264294170263533,499.0,1213713452.0,1588854784.0,90.8,3936588152832.0,41284059136.0,17179869184.0,15591014400.0,164601.0,1.543107986450195,1771740299.871979,286883.8719789982
7,37.9,0.0,0.0,41.4,33.3,27.6,55.2,17.9,23.3,10.7,0.0,0.0,3504.0,3504.0,702.0,20.7,79.3,0.0,5.8,15.0,13442.0,1747423.1853929611,336.43778777454355,1747423.1853929611,364.18523418893886,215643.0,2.8466796875,2.29443359375,2.5166015625,2663677952.0,2900590592.0,203390976.0,2680324096.0,83.1,17179869184.0,6196772864.0,3533094912.0,3551.6731410426037,13.87372320719767,0.0,6.936861603598835,500.0,1213714375.0,1588854784.0,90.8,3936588693504.0,41284059136.0,17179869184.0,15591014400.0,163594.0,1.8314228057861328,1771740300.1602938,286884.1602938175
8,16.7,0.0,0.0,16.7,4.3,4.2,33.3,37.5,21.7,4.2,0.0,0.0,3504.0,3504.0,702.0,11.6,88.4,0.0,1.8,9.8,13509.0,0.0,0.0,0.0,0.0,218740.0,2.8466796875,2.29443359375,2.5166015625,2645557248.0,2869280768.0,204488704.0,2647916544.0,83.3,17179869184.0,6229393408.0,3583836160.0,0.0,4.225679671561343,0.0,0.0,500.0,1213714417.0,1588854784.0,90.8,3936588693504.0,41284059136.0,17179869184.0,15591014400.0,161616.0,2.068071126937866,1771740300.396942,286884.3969421387
9,27.6,3.4,3.4,13.8,10.3,7.1,55.2,27.6,3.4,3.6,3.4,0.0,3504.0,3504.0,702.0,13.3,86.7,0.0,1.7,11.6,12216.0,8261437.092115303,147.49822082974515,0.0,0.0,218756.0,2.8466796875,2.29443359375,2.5166015625,2674606080.0,2848129024.0,183418880.0,2647916544.0,83.4,17179869184.0,6258704384.0,3584098304.0,0.0,0.0,0.0,0.0,501.0,1213715281.0,1588854784.0,90.8,3936590872576.0,41284059136.0,17179869184.0,15591014400.0,161616.0,2.359600067138672,1771740300.688471,286884.6884710789
