idx,cpu0_pct,cpu10_pct,cpu11_pct,cpu1_pct,cpu2_pct,cpu3_pct,cpu4_pct,cpu5_pct,cpu6_pct,cpu7_pct,cpu8_pct,cpu9_pct,cpu_freq_current_mhz,cpu_freq_max_mhz,cpu_freq_min_mhz,cpu_pct,cpu_times_idle_pct,cpu_times_nice_pct,cpu_times_system_pct,cpu_times_user_pct,ctx_switches,disk_read_Bps,disk_read_IOPS,disk_write_Bps,disk_write_IOPS,interrupts,load1,load15,load5,mem_active_bytes,mem_available_bytes,mem_free_bytes,mem_inactive_bytes,mem_percent,mem_total_bytes,mem_used_bytes,mem_wired_bytes,net_recv_Bps,net_recv_Pps,net_sent_Bps,net_sent_Pps,pids_count,soft_interrupts,swap_free_bytes,swap_percent,swap_sin_bytes,swap_sout_bytes,swap_total_bytes,swap_used_bytes,syscalls,t_rel_s,ts_unix_s,uptime_s
0,8.7,0.0,0.0,4.3,8.3,8.0,33.3,61.5,12.5,0.0,12.0,0.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,6767.0,468087.62906906253,14.284900789461137,0.0,0.0,149405.0,2.7373046875,1.96044921875,2.22509765625,3336929280.0,3357573120.0,63684608.0,3278209024.0,80.5,17179869184.0,5855100928.0,2518171648.0,0.0,0.0,0.0,0.0,489.0,1212001848.0,1526792192.0,91.1,3935865962496.0,41257664512.0,17179869184.0,15653076992.0,202388.0,0.0025157928466796,1771739251.265486,285835.26548600197
1,18.2,0.0,0.0,13.6,4.8,0.0,60.0,55.0,30.0,10.0,0.0,0.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,4818.0,468087.62906906253,14.284900789461137,0.0,0.0,223208.0,2.7373046875,1.96044921875,2.22509765625,3336929280.0,3357573120.0,63684608.0,3278209024.0,80.5,17179869184.0,5855100928.0,2518171648.0,0.0,0.0,0.0,0.0,489.0,1212017297.0,1526792192.0,91.1,3935865962496.0,41257664512.0,17179869184.0,15653076992.0,163337.0,0.212526798248291,1771739251.475497,285835.47549796104
2,14.3,0.0,0.0,15.0,4.8,9.5,100.0,0.0,4.8,0.0,0.0,0.0,3504.0,3504.0,702.0,13.6,86.4,0.0,3.9,9.6,4952.0,1228653.3099241806,152.36276164734383,0.0,0.0,223027.0,2.7373046875,1.96044921875,2.22509765625,2705391616.0,2754379776.0,65994752.0,2673213440.0,84.0,17179869184.0,6359465984.0,3654074368.0,0.0,0.0,0.0,0.0,489.0,1212018021.0,1526792192.0,91.1,3935866224640.0,41257664512.0,17179869184.0,15653076992.0,163160.0,0.4225516319274902,1771739251.6855218,285835.68552303314
3,5.0,0.0,0.0,9.5,9.5,9.5,100.0,0.0,0.0,8.7,0.0,0.0,3504.0,3504.0,702.0,11.9,88.1,0.0,2.4,9.5,5094.0,19502.89842068458,4.761449809737447,0.0,0.0,223692.0,2.7373046875,1.96044921875,2.22509765625,2695086080.0,2746712064.0,68304896.0,2663219200.0,84.0,17179869184.0,6360055808.0,3664969728.0,0.0,14.28434942921234,14627.173815513435,19.045799238949787,489.0,1212018645.0,1526792192.0,91.1,3935866224640.0,41257664512.0,17179869184.0,15653076992.0,162550.0,0.6325728893280029,1771739251.895543,285835.89554309845
4,14.3,0.0,0.0,9.1,4.8,0.0,100.0,4.8,4.8,0.0,0.0,0.0,3504.0,3504.0,702.0,11.9,88.1,0.0,2.4,9.5,6921.0,0.0,0.0,273026.6303748412,38.08965267506155,224014.0,2.7373046875,1.96044921875,2.22509765625,2679291904.0,2756739072.0,98238464.0,2643312640.0,84.0,17179869184.0,6349766656.0,3670474752.0,0.0,0.0,0.0,0.0,489.0,1212019253.0,1526792192.0,91.1,3935866224640.0,41257664512.0,17179869184.0,15653076992.0,161329.0,0.8426008224487305,1771739252.105571,285836.1055738926
5,9.5,0.0,0.0,14.3,9.5,9.1,100.0,0.0,0.0,0.0,0.0,0.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,6793.0,78009.37974124574,4.761314681472518,0.0,0.0,224069.0,2.7373046875,1.96044921875,2.22509765625,2679275520.0,2756739072.0,98238464.0,2643312640.0,84.0,17179869184.0,6349864960.0,3670589440.0,0.0,14.283944044417552,0.0,0.0,489.0,1212019367.0,1526792192.0,91.1,3935866224640.0,41257664512.0,17179869184.0,15653076992.0,161401.0,1.052628993988037,1771739252.3155992,285836.31559991837
6,4.8,0.0,0.0,0.0,0.0,0.0,72.7,0.0,0.0,25.0,0.0,0.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,6806.0,0.0,0.0,0.0,0.0,224069.0,2.7373046875,1.96044921875,2.22509765625,2679275520.0,2756739072.0,98238464.0,2643312640.0,84.0,17179869184.0,6349864960.0,3670589440.0,4875.774420777428,19.045993831161827,4875.774420777428,9.522996915580912,489.0,1212019380.0,1526792192.0,91.1,3935866224640.0,41257664512.0,17179869184.0,15653076992.0,161455.0,1.2626466751098633,1771739252.525617,285836.5256178379
7,4.8,0.0,0.0,4.8,5.0,0.0,100.0,0.0,8.7,0.0,0.0,0.0,3504.0,3504.0,702.0,10.2,89.8,0.0,1.3,8.9,6868.0,0.0,0.0,0.0,0.0,218026.0,2.7373046875,1.96044921875,2.22509765625,2726920192.0,2807087104.0,97353728.0,2694529024.0,83.7,17179869184.0,6299058176.0,3572137984.0,0.0,4.761514674029034,0.0,9.523029348058069,489.0,1212019385.0,1526792192.0,91.1,3935866224640.0,41257664512.0,17179869184.0,15653076992.0,164455.0,1.472663640975952,1771739252.735634,285836.7356350422
8,9.1,0.0,0.0,4.8,9.1,8.7,100.0,4.8,0.0,0.0,0.0,0.0,3504.0,3504.0,702.0,11.4,88.6,0.0,2.7,8.6,6784.0,0.0,0.0,0.0,0.0,218026.0,2.7373046875,1.96044921875,2.22509765625,2727985152.0,2807824384.0,95977472.0,2696642560.0,83.7,17179869184.0,6300123136.0,3572137984.0,0.0,4.761498457790457,0.0,0.0,489.0,1212019407.0,1526792192.0,91.1,3935866224640.0,41257664512.0,17179869184.0,15653076992.0,164590.0,1.682682752609253,1771739252.945653,285836.94565296173
9,60.0,0.0,0.0,54.5,52.4,52.6,19.0,4.5,0.0,81.8,0.0,0.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,4738.0,12111079.939770965,352.34088618055995,273035.6186099734,38.090906614114594,218093.0,2.7373046875,1.96044921875,2.22509765625,2742370304.0,2791456768.0,62078976.0,2713796608.0,83.8,17179869184.0,6315606016.0,3573235712.0,0.0,4.761363326764324,0.0,0.0,493.0,1212021614.0,1526792192.0,91.1,3935869075456.0,41257664512.0,17179869184.0,15653076992.0,165637.0,1.8927066326141355,1771739253.1556768,285837.15567684174
