idx,cpu0_pct,cpu10_pct,cpu11_pct,cpu1_pct,cpu2_pct,cpu3_pct,cpu4_pct,cpu5_pct,cpu6_pct,cpu7_pct,cpu8_pct,cpu9_pct,cpu_freq_current_mhz,cpu_freq_max_mhz,cpu_freq_min_mhz,cpu_pct,cpu_times_idle_pct,cpu_times_nice_pct,cpu_times_system_pct,cpu_times_user_pct,ctx_switches,disk_read_Bps,disk_read_IOPS,disk_write_Bps,disk_write_IOPS,interrupts,load1,load15,load5,mem_active_bytes,mem_available_bytes,mem_free_bytes,mem_inactive_bytes,mem_percent,mem_total_bytes,mem_used_bytes,mem_wired_bytes,net_recv_Bps,net_recv_Pps,net_sent_Bps,net_sent_Pps,pids_count,soft_interrupts,swap_free_bytes,swap_percent,swap_sin_bytes,swap_sout_bytes,swap_total_bytes,swap_used_bytes,syscalls,t_rel_s,ts_unix_s,uptime_s
0,8.3,0.0,0.0,8.7,8.3,4.3,100.0,0.0,0.0,0.0,91.7,4.2,3504.0,3504.0,702.0,18.8,81.2,0.0,2.1,16.7,45545.0,78011.50512266585,4.761444404459586,0.0,0.0,147462.0,2.44580078125,2.54248046875,2.60986328125,3543613440.0,4852023296.0,737460224.0,4106829824.0,71.8,17179869184.0,5959630848.0,2416017408.0,0.0,9.522888808919172,0.0,0.0,560.0,1219805333.0,1421869056.0,92.2,3940672290816.0,41360818176.0,18253611008.0,16831741952.0,250661.0,0.001882791519165,1771746805.2311308,293389.23113179207
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,3504.0,3504.0,702.0,8.5,91.5,0.0,1.2,7.3,15483.0,78011.50512266585,4.761444404459586,0.0,0.0,147476.0,2.44580078125,2.54248046875,2.60986328125,4035887104.0,4359487488.0,244908032.0,4106829824.0,74.6,17179869184.0,6452133888.0,2416246784.0,0.0,9.522888808919172,0.0,0.0,560.0,1219835351.0,1421869056.0,92.2,3940672290816.0,41360818176.0,18253611008.0,16831741952.0,250661.0,0.2119040489196777,1771746805.441152,293389.4411520958
2,15.0,40.0,28.6,9.5,9.5,9.5,19.0,5.3,0.0,0.0,68.2,65.0,3504.0,3504.0,702.0,22.8,77.2,0.0,12.2,10.6,3746.0,0.0,0.0,0.0,0.0,147832.0,2.44580078125,2.54248046875,2.60986328125,3985063936.0,4023353344.0,58408960.0,3960799232.0,76.6,17179869184.0,6407143424.0,2422079488.0,0.0,4.921240053221571,0.0,0.0,560.0,1219875625.0,1421869056.0,92.2,3940672290816.0,41360818176.0,18253611008.0,16831741952.0,241817.0,0.4151039123535156,1771746805.644352,293389.6443529129
3,11.5,11.5,4.0,8.0,11.5,7.7,15.4,3.8,0.0,0.0,56.0,56.0,3504.0,3504.0,702.0,15.3,84.7,0.0,2.9,12.3,52893.0,1325105.8160464722,159.80721261385,0.0,0.0,147548.0,2.44580078125,2.54248046875,2.60986328125,3577511936.0,4421124096.0,862486528.0,3554492416.0,74.3,17179869184.0,5994938368.0,2417426432.0,0.0,3.897736893020732,3991.282578453229,7.795473786041463,560.0,1219878437.0,1421869056.0,92.2,3940672290816.0,41360818176.0,18253611008.0,16831741952.0,216949.0,0.6716620922088623,1771746805.90091,293389.90091204643
4,8.0,16.0,8.0,8.0,4.0,0.0,8.3,3.8,0.0,0.0,52.0,38.5,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,52792.0,1344374.035766275,166.08536539375334,0.0,0.0,147548.0,2.44580078125,2.54248046875,2.60986328125,3579871232.0,4420501504.0,860553216.0,3555524608.0,74.3,17179869184.0,5997297664.0,2417426432.0,8098.638769676354,23.72648077053619,0.0,7.908826923512064,560.0,1219878509.0,1421869056.0,92.2,3940672290816.0,41360818176.0,18253611008.0,16831741952.0,217012.0,0.9245450496673584,1771746806.153793,293390.1537940502
5,3.6,14.3,17.9,6.9,7.1,3.6,0.0,0.0,0.0,0.0,57.1,39.3,3504.0,3504.0,702.0,12.4,87.6,0.0,0.8,11.6,52791.0,0.0,0.0,202098.44566189175,28.194537620241594,147548.0,2.44580078125,2.54248046875,2.60986328125,3579985920.0,4419420160.0,859488256.0,3555508224.0,74.3,17179869184.0,5997412352.0,2417426432.0,3608.900815390924,3.524317202530199,0.0,0.0,560.0,1219878567.0,1421869056.0,92.2,3940672290816.0,41360818176.0,18253611008.0,16831741952.0,217011.0,1.2082879543304443,1771746806.437536,293390.4375369549
6,9.1,9.5,4.5,0.0,4.5,4.5,4.5,0.0,0.0,0.0,63.6,36.4,3504.0,3504.0,702.0,11.5,88.5,0.0,0.8,10.7,52757.0,0.0,0.0,0.0,0.0,147717.0,2.44580078125,2.54248046875,2.60986328125,3578642432.0,4418551808.0,859979776.0,3554148352.0,74.3,17179869184.0,5998837760.0,2420195328.0,0.0,0.0,0.0,0.0,560.0,1219878570.0,1421869056.0,92.2,3940672290816.0,41360818176.0,18253611008.0,16831741952.0,216928.0,1.4260320663452148,1771746806.65528,293390.6552801132
7,4.8,21.7,9.5,9.1,0.0,4.8,9.5,4.8,0.0,0.0,66.7,38.1,3504.0,3504.0,702.0,14.2,85.8,0.0,1.6,12.6,52757.0,0.0,0.0,0.0,0.0,147717.0,2.44580078125,2.54248046875,2.60986328125,3580723200.0,4421206016.0,860536832.0,3556245504.0,74.3,17179869184.0,5996707840.0,2415984640.0,0.0,14.305737683484336,4883.0251292959865,14.305737683484336,560.0,1219878570.0,1421869056.0,92.2,3940672290816.0,41360818176.0,18253611008.0,16831741952.0,216928.0,1.6357369422912598,1771746806.864985,293390.86498618126
8,4.3,21.7,12.5,12.5,8.3,4.2,8.3,0.0,0.0,4.2,33.3,45.8,3504.0,3504.0,702.0,12.9,87.1,0.0,0.7,12.2,52757.0,0.0,0.0,0.0,0.0,147717.0,2.44580078125,2.54248046875,2.60986328125,3580723200.0,4421206016.0,860536832.0,3556245504.0,74.3,17179869184.0,5996707840.0,2415984640.0,8517.079494008254,12.476190665051153,4258.539747004127,8.317460443367436,560.0,1219878570.0,1421869056.0,92.2,3940672290816.0,41360818176.0,18253611008.0,16831741952.0,216928.0,1.876194953918457,1771746807.105443,293391.1054441929
9,13.3,13.3,9.7,3.6,3.4,3.6,0.0,6.9,10.0,3.3,50.0,41.4,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,52757.0,140042.96844444337,23.933124490017175,0.0,0.0,147717.0,2.44580078125,2.54248046875,2.60986328125,3580723200.0,4421206016.0,860536832.0,3556245504.0,74.3,17179869184.0,5996707840.0,2415984640.0,3501.074211111084,3.419017784288168,0.0,0.0,563.0,1219878570.0,1421869056.0,92.2,3940672290816.0,41360818176.0,18253611008.0,16831741952.0,216928.0,2.168677806854248,1771746807.397926,293391.39792585373
10,40.9,18.2,14.3,36.4,36.4,27.3,4.3,0.0,0.0,8.7,57.1,30.4,3504.0,3504.0,702.0,17.3,82.7,0.0,2.6,14.7,51031.0,12575285.741209617,522.1019768724752,0.0,0.0,154387.0,2.44580078125,2.54248046875,2.60986328125,3512926208.0,4374200320.0,830488576.0,3538075648.0,74.5,17179869184.0,6042402816.0,2529476608.0,0.0,4.4624100587391045,0.0,0.0,563.0,1219880410.0,1421869056.0,92.2,3940675747840.0,41360818176.0,18253611008.0,16831741952.0,215947.0,2.392771005630493,1771746807.622019,293391.6220200062
