idx,cpu0_pct,cpu10_pct,cpu11_pct,cpu1_pct,cpu2_pct,cpu3_pct,cpu4_pct,cpu5_pct,cpu6_pct,cpu7_pct,cpu8_pct,cpu9_pct,cpu_freq_current_mhz,cpu_freq_max_mhz,cpu_freq_min_mhz,cpu_pct,cpu_times_idle_pct,cpu_times_nice_pct,cpu_times_system_pct,cpu_times_user_pct,ctx_switches,disk_read_Bps,disk_read_IOPS,disk_write_Bps,disk_write_IOPS,interrupts,load1,load15,load5,mem_active_bytes,mem_available_bytes,mem_free_bytes,mem_inactive_bytes,mem_percent,mem_total_bytes,mem_used_bytes,mem_wired_bytes,net_recv_Bps,net_recv_Pps,net_sent_Bps,net_sent_Pps,pids_count,soft_interrupts,swap_free_bytes,swap_percent,swap_sin_bytes,swap_sout_bytes,swap_total_bytes,swap_used_bytes,syscalls,t_rel_s,ts_unix_s,uptime_s
0,3.1,0.0,0.0,6.1,3.1,3.0,0.0,0.0,0.0,0.0,73.5,0.0,3504.0,3504.0,702.0,10.2,89.8,0.0,1.0,9.2,36366.0,0.0,0.0,0.0,0.0,149609.0,1.73095703125,1.80126953125,1.80908203125,4573790208.0,5525651456.0,574947328.0,4930846720.0,67.8,17179869184.0,7024984064.0,2451193856.0,0.0,0.0,0.0,0.0,515.0,1216257700.0,901775360.0,95.1,3938374696960.0,41311354880.0,18253611008.0,17351835648.0,300955.0,0.0023999214172363,1771742558.546866,289142.54686689377
1,4.8,0.0,0.0,9.5,9.1,9.5,0.0,0.0,0.0,0.0,0.0,100.0,3504.0,3504.0,702.0,11.2,88.8,0.0,2.8,8.4,6304.0,0.0,0.0,0.0,0.0,149644.0,1.73095703125,1.80126953125,1.80908203125,5037309952.0,5062148096.0,82411520.0,4959879168.0,70.5,17179869184.0,7489077248.0,2451767296.0,0.0,0.0,0.0,0.0,516.0,1216287674.0,901775360.0,95.1,3938374696960.0,41311354880.0,18253611008.0,17351835648.0,302721.0,0.2124130725860595,1771742558.756879,289142.7568798065
2,20.0,55.0,57.9,11.1,10.5,0.0,35.0,15.0,0.0,0.0,70.0,70.0,3504.0,3504.0,702.0,28.9,71.1,0.0,14.9,14.0,4484.0,30521914.47808888,1478.3413042598136,1329708.070426124,59.932755578100554,149673.0,1.73095703125,1.80126953125,1.80908203125,4872126464.0,4916183040.0,64552960.0,4842749952.0,71.4,17179869184.0,7324368896.0,2452242432.0,5114.261809331247,4.994396298175046,0.0,0.0,516.0,1216323360.0,901775360.0,95.1,3938375335936.0,41311633408.0,18253611008.0,17351835648.0,295577.0,0.4126369953155517,1771742558.957103,289142.9571042061
3,14.3,40.9,50.0,14.3,10.0,4.8,23.8,14.3,0.0,0.0,90.5,95.2,3504.0,3504.0,702.0,30.0,70.0,0.0,11.9,18.2,4484.0,23050698.873593856,1671.1436737900049,0.0,0.0,149673.0,1.73095703125,1.80126953125,1.80908203125,4422533120.0,5128339456.0,762888192.0,4346134528.0,70.1,17179869184.0,6874562560.0,2452029440.0,0.0,0.0,0.0,0.0,516.0,1216323360.0,901775360.0,95.1,3938375368704.0,41311633408.0,18253611008.0,17351835648.0,295577.0,0.6226720809936523,1771742559.167138,289143.167140007
4,10.0,5.0,42.9,9.5,18.2,9.5,90.5,0.0,0.0,0.0,71.4,66.7,3504.0,3504.0,702.0,27.1,72.9,0.0,4.8,22.3,4484.0,49373099.563454345,2128.012948407271,272995.02128292294,38.085242924514915,149673.0,1.73095703125,1.80126953125,1.80908203125,4388061184.0,5164826624.0,797114368.0,4341497856.0,69.9,17179869184.0,6839156736.0,2451095552.0,0.0,4.760655365564364,0.0,0.0,517.0,1216323360.0,901775360.0,95.1,3938382168064.0,41311633408.0,18253611008.0,17351835648.0,295577.0,0.8327269554138184,1771742559.377193,289143.37719511986
5,10.0,4.8,4.8,14.3,4.8,4.8,95.2,14.3,0.0,0.0,100.0,86.4,3504.0,3504.0,702.0,28.3,71.7,0.0,5.2,23.1,47312.0,858046.6826898956,42.84901092090432,0.0,0.0,149633.0,1.73095703125,1.80126953125,1.80908203125,4407885824.0,5144887296.0,756023296.0,4369694720.0,70.1,17179869184.0,6859472896.0,2451587072.0,0.0,0.0,0.0,0.0,518.0,1216353655.0,901775360.0,95.1,3938382839808.0,41311633408.0,18253611008.0,17351835648.0,266705.0,1.0427680015563965,1771742559.587234,289143.5872349739
6,13.6,95.2,0.0,9.1,10.0,4.8,100.0,0.0,0.0,0.0,81.0,0.0,3504.0,3504.0,702.0,26.4,73.6,0.0,2.0,24.4,54225.0,1540464.9119233086,85.69140753133516,0.0,0.0,149548.0,1.73095703125,1.80126953125,1.80908203125,4345659392.0,5209358336.0,869089280.0,4320903168.0,69.7,17179869184.0,6795853824.0,2450194432.0,0.0,0.0,0.0,0.0,515.0,1216353997.0,901775360.0,95.1,3938383167488.0,41311633408.0,18253611008.0,17351835648.0,263727.0,1.2528250217437744,1771742559.797291,289143.7972910404
7,31.8,0.0,0.0,26.3,36.4,33.3,0.0,100.0,0.0,0.0,100.0,0.0,3504.0,3504.0,702.0,27.7,72.3,0.0,4.3,23.3,54225.0,351027.4650229865,33.32780294000795,0.0,0.0,149548.0,1.73095703125,1.80126953125,1.80908203125,4356767744.0,5196709888.0,849346560.0,4327653376.0,69.8,17179869184.0,6807650304.0,2450882560.0,0.0,0.0,0.0,0.0,518.0,1216353997.0,901775360.0,95.1,3938383740928.0,41311633408.0,18253611008.0,17351835648.0,263727.0,1.4628589153289795,1771742560.007325,289144.0073258877
8,15.0,0.0,0.0,18.2,15.0,14.3,100.0,0.0,0.0,0.0,100.0,0.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,54225.0,11701061.606308725,233.2975336544301,0.0,0.0,149548.0,1.73095703125,1.80126953125,1.80908203125,4356767744.0,5196709888.0,849346560.0,4327653376.0,69.8,17179869184.0,6807650304.0,2450882560.0,0.0,0.0,0.0,0.0,518.0,1216353997.0,901775360.0,95.1,3938383740928.0,41311633408.0,18253611008.0,17351835648.0,263727.0,1.6728911399841309,1771742560.2173572,289144.21735811234
9,4.8,0.0,0.0,4.8,0.0,0.0,100.0,4.8,0.0,0.0,100.0,0.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,54225.0,0.0,0.0,273031.589327939,38.090344493295056,149548.0,1.73095703125,1.80126953125,1.80908203125,4356767744.0,5196709888.0,849346560.0,4327653376.0,69.8,17179869184.0,6807650304.0,2450882560.0,0.0,0.0,0.0,0.0,518.0,1216353997.0,901775360.0,95.1,3938383740928.0,41311633408.0,18253611008.0,17351835648.0,263727.0,1.8829190731048584,1771742560.427385,289144.4273850918
