idx,cpu0_pct,cpu10_pct,cpu11_pct,cpu1_pct,cpu2_pct,cpu3_pct,cpu4_pct,cpu5_pct,cpu6_pct,cpu7_pct,cpu8_pct,cpu9_pct,cpu_freq_current_mhz,cpu_freq_max_mhz,cpu_freq_min_mhz,cpu_pct,cpu_times_idle_pct,cpu_times_nice_pct,cpu_times_system_pct,cpu_times_user_pct,ctx_switches,disk_read_Bps,disk_read_IOPS,disk_write_Bps,disk_write_IOPS,interrupts,load1,load15,load5,mem_active_bytes,mem_available_bytes,mem_free_bytes,mem_inactive_bytes,mem_percent,mem_total_bytes,mem_used_bytes,mem_wired_bytes,net_recv_Bps,net_recv_Pps,net_sent_Bps,net_sent_Pps,pids_count,soft_interrupts,swap_free_bytes,swap_percent,swap_sin_bytes,swap_sout_bytes,swap_total_bytes,swap_used_bytes,syscalls,t_rel_s,ts_unix_s,uptime_s
0,11.1,7.4,0.0,11.1,7.4,3.7,0.0,0.0,0.0,0.0,11.1,88.9,3504.0,3504.0,702.0,11.8,88.2,0.0,1.5,10.2,19450.0,0.0,0.0,272701.90159889887,38.044350111453525,161634.0,1.9501953125,1.93994140625,1.8994140625,4625956864.0,4672880640.0,125534208.0,4543561728.0,72.8,17179869184.0,7041122304.0,2415165440.0,0.0,9.51108752786338,0.0,9.51108752786338,507.0,1198858590.0,1256062976.0,92.7,3926786179072.0,41044377600.0,17179869184.0,15923806208.0,272229.0,0.0018990039825439,1771731787.758943,278371.7589440346
1,9.5,0.0,0.0,5.0,4.8,4.8,0.0,0.0,0.0,0.0,18.2,85.7,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,18328.0,0.0,0.0,272701.90159889887,38.044350111453525,161634.0,1.9501953125,1.93994140625,1.8994140625,4625956864.0,4672880640.0,125534208.0,4543561728.0,72.8,17179869184.0,7041122304.0,2415165440.0,0.0,9.51108752786338,0.0,9.51108752786338,507.0,1198859670.0,1256062976.0,92.7,3926786179072.0,41044377600.0,17179869184.0,15923806208.0,272229.0,0.2121808528900146,1771731787.969225,278371.9692249298
2,10.0,0.0,0.0,14.3,4.8,0.0,0.0,0.0,0.0,0.0,19.0,95.0,3504.0,3504.0,702.0,11.2,88.8,0.0,1.0,10.2,18336.0,0.0,0.0,0.0,0.0,161634.0,1.9501953125,1.93994140625,1.8994140625,4305354752.0,4760649728.0,296615936.0,4460199936.0,72.3,17179869184.0,6953566208.0,2648211456.0,0.0,0.0,0.0,0.0,507.0,1198859673.0,1256062976.0,92.7,3926786179072.0,41044377600.0,17179869184.0,15923806208.0,272229.0,0.4181439876556396,1771731788.175188,278372.17518901825
3,9.5,0.0,0.0,5.0,5.0,4.8,0.0,0.0,0.0,0.0,19.0,86.4,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,18407.0,738981.8365928064,113.9466236522625,0.0,0.0,161634.0,1.9501953125,1.93994140625,1.8994140625,4307009536.0,4761812992.0,297779200.0,4460199936.0,72.3,17179869184.0,6955220992.0,2648211456.0,0.0,0.0,0.0,0.0,507.0,1198859694.0,1256062976.0,92.7,3926786179072.0,41044377600.0,17179869184.0,15923806208.0,272229.0,0.6287689208984375,1771731788.385813,278372.3858139515
4,14.3,0.0,4.8,9.5,23.8,14.3,0.0,0.0,0.0,0.0,25.0,80.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,18276.0,0.0,0.0,0.0,0.0,161969.0,1.9501953125,1.93994140625,1.8994140625,4307222528.0,4754440192.0,295632896.0,4454973440.0,72.3,17179869184.0,6960922624.0,2653700096.0,0.0,0.0,0.0,0.0,507.0,1198859787.0,1256062976.0,92.7,3926786179072.0,41044377600.0,17179869184.0,15923806208.0,271910.0,0.8339099884033203,1771731788.590954,278372.5909540653
5,5.0,0.0,0.0,9.5,14.3,0.0,0.0,0.0,0.0,0.0,28.6,85.7,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,18351.0,0.0,0.0,0.0,0.0,158563.0,1.9501953125,1.93994140625,1.8994140625,4307222528.0,4754440192.0,295632896.0,4454973440.0,72.3,17179869184.0,6960922624.0,2653700096.0,0.0,0.0,0.0,0.0,507.0,1198859810.0,1256062976.0,92.7,3926786179072.0,41044377600.0,17179869184.0,15923806208.0,271896.0,1.039064884185791,1771731788.796109,278372.7961101532
6,9.5,0.0,0.0,5.0,5.0,8.7,0.0,0.0,0.0,0.0,14.3,90.9,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,18302.0,0.0,0.0,268829.69955492765,37.504143353087,158563.0,1.9501953125,1.93994140625,1.8994140625,4307222528.0,4754440192.0,295632896.0,4454973440.0,72.3,17179869184.0,6960922624.0,2653700096.0,0.0,4.688017919135875,0.0,4.688017919135875,507.0,1198859817.0,1256062976.0,92.7,3926786179072.0,41044377600.0,17179869184.0,15923806208.0,271896.0,1.252375841140747,1771731789.00942,278373.00941991806
7,9.5,0.0,0.0,9.5,9.5,0.0,0.0,0.0,0.0,0.0,30.0,75.0,3504.0,3504.0,702.0,11.9,88.1,0.0,1.0,10.9,18245.0,0.0,0.0,0.0,0.0,158563.0,1.9501953125,1.93994140625,1.8994140625,4362780672.0,4753702912.0,295124992.0,4454744064.0,72.3,17179869184.0,6960676864.0,2597896192.0,0.0,9.679271038023115,0.0,9.679271038023115,507.0,1198859819.0,1256062976.0,92.7,3926786179072.0,41044377600.0,17179869184.0,15923806208.0,271896.0,1.4590020179748535,1771731789.216046,278373.21604704857
8,4.8,0.0,0.0,4.5,4.8,0.0,0.0,0.0,0.0,0.0,18.2,90.5,3504.0,3504.0,702.0,10.2,89.8,0.0,0.0,10.2,18259.0,0.0,0.0,0.0,0.0,158563.0,1.9501953125,1.93994140625,1.8994140625,4362846208.0,4753932288.0,295354368.0,4454744064.0,72.3,17179869184.0,6960742400.0,2597896192.0,0.0,0.0,0.0,0.0,507.0,1198859830.0,1256062976.0,92.7,3926786179072.0,41044377600.0,17179869184.0,15923806208.0,271896.0,1.6729819774627686,1771731789.430026,278373.4300260544
9,19.0,0.0,0.0,15.0,14.3,0.0,0.0,0.0,0.0,0.0,14.3,90.9,3504.0,3504.0,702.0,13.0,87.0,0.0,1.6,11.5,18307.0,0.0,0.0,0.0,0.0,158563.0,1.9501953125,1.93994140625,1.8994140625,4362846208.0,4753932288.0,295354368.0,4454744064.0,72.3,17179869184.0,6960742400.0,2597896192.0,0.0,0.0,0.0,0.0,507.0,1198859872.0,1256062976.0,92.7,3926786179072.0,41044377600.0,17179869184.0,15923806208.0,271896.0,1.8846960067749023,1771731789.64174,278373.64174103737
10,9.5,0.0,0.0,9.1,9.1,8.7,0.0,0.0,0.0,0.0,18.2,95.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,18328.0,0.0,0.0,0.0,0.0,148157.0,1.9501953125,1.93994140625,1.8994140625,4362846208.0,4753932288.0,295354368.0,4454744064.0,72.3,17179869184.0,6960742400.0,2597896192.0,0.0,4.674756805435432,4786.950968765882,9.349513610870863,507.0,1198859916.0,1256062976.0,92.7,3926786179072.0,41044377600.0,17179869184.0,15923806208.0,273752.0,2.098611831665039,1771731789.855656,278373.8556559086
11,25.0,0.0,0.0,25.0,28.6,20.0,0.0,0.0,0.0,0.0,15.8,85.7,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,18760.0,11571347.657072708,226.00288392720137,281737.1603461181,39.30484937864371,148141.0,1.9501953125,1.93994140625,1.8994140625,4362846208.0,4753932288.0,295354368.0,4454744064.0,72.3,17179869184.0,6960742400.0,2597896192.0,0.0,0.0,0.0,0.0,506.0,1198860637.0,1256062976.0,92.7,3926786179072.0,41044377600.0,17179869184.0,15923806208.0,273460.0,2.3021490573883057,1771731790.0591931,278374.0591931343
12,8.7,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,21.7,90.9,3504.0,3504.0,702.0,13.1,86.9,0.0,1.6,11.5,18775.0,0.0,0.0,0.0,0.0,148141.0,1.9501953125,1.93994140625,1.8994140625,4499734528.0,4788109312.0,303824896.0,4480466944.0,72.1,17179869184.0,6926876672.0,2427142144.0,0.0,4.510421393806309,0.0,4.510421393806309,506.0,1198860644.0,1256062976.0,92.7,3926788341760.0,41044377600.0,17179869184.0,15923806208.0,273466.0,2.5238571166992188,1771731790.2809012,278374.2809019089
13,9.5,4.8,0.0,9.5,14.3,9.5,0.0,0.0,0.0,0.0,38.1,63.6,3504.0,3504.0,702.0,12.6,87.4,0.0,2.0,10.6,18783.0,0.0,0.0,0.0,0.0,148141.0,1.9501953125,1.93994140625,1.8994140625,4500078592.0,4788240384.0,303955968.0,4480466944.0,72.1,17179869184.0,6927220736.0,2427142144.0,9719.011608593528,23.72805568504279,4859.505804296764,14.236833411025676,506.0,1198860667.0,1256062976.0,92.7,3926788341760.0,41044377600.0,17179869184.0,15923806208.0,273466.0,2.734578847885132,1771731790.491623,278374.4916229248
14,38.1,4.5,0.0,47.6,40.9,28.6,0.0,0.0,0.0,0.0,28.6,81.0,3504.0,3504.0,702.0,22.2,77.8,0.0,3.9,18.3,17294.0,802773.5100614468,51.330616459007125,0.0,0.0,148702.0,1.9501953125,1.93994140625,1.8994140625,4500078592.0,4788240384.0,303955968.0,4480466944.0,72.1,17179869184.0,6927220736.0,2427142144.0,0.0,0.0,0.0,0.0,509.0,1198862316.0,1256062976.0,92.7,3926788341760.0,41044377600.0,17179869184.0,15923806208.0,273768.0,2.9488749504089355,1771731790.705919,278374.705919981
15,5.0,68.4,0.0,9.5,5.3,14.3,0.0,0.0,0.0,0.0,90.0,40.0,3504.0,3504.0,702.0,19.1,80.9,0.0,3.7,15.4,15101.0,560186.1600823563,34.19104980971413,0.0,0.0,158405.0,1.9501953125,1.93994140625,1.8994140625,4500078592.0,4788240384.0,303955968.0,4480466944.0,72.1,17179869184.0,6927220736.0,2427142144.0,0.0,0.0,0.0,0.0,509.0,1198865058.0,1256062976.0,92.7,3926788341760.0,41044377600.0,17179869184.0,15923806208.0,271921.0,3.15360689163208,1771731790.910651,278374.9106519222
16,14.3,69.6,9.5,9.5,13.6,4.8,0.0,4.5,0.0,0.0,86.4,36.4,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,12254.0,75634.76312887284,4.616379585502493,0.0,0.0,159007.0,1.9501953125,1.93994140625,1.8994140625,4500078592.0,4788240384.0,303955968.0,4480466944.0,72.1,17179869184.0,6927220736.0,2427142144.0,0.0,0.0,0.0,0.0,511.0,1198868183.0,1256062976.0,92.7,3926788341760.0,41044377600.0,17179869184.0,15923806208.0,271895.0,3.370227813720703,1771731791.127272,278375.12727189064
17,13.6,61.9,9.1,9.5,9.5,4.5,0.0,0.0,0.0,0.0,77.3,47.6,3504.0,3504.0,702.0,20.3,79.7,0.0,4.2,16.0,17798.0,0.0,0.0,0.0,0.0,158929.0,1.9501953125,1.93994140625,1.8994140625,4371595264.0,4738433024.0,287506432.0,4446797824.0,72.4,17179869184.0,6975488000.0,2603892736.0,0.0,0.0,0.0,0.0,508.0,1198869968.0,1256062976.0,92.7,3926789210112.0,41044377600.0,17179869184.0,15923806208.0,271411.0,3.583591938018799,1771731791.340636,278375.3406369686
