idx,all_power,ane_power,cpu_power,ecpu_usage_0,ecpu_usage_1,gpu_power,gpu_ram_power,gpu_usage_0,gpu_usage_1,memory_ram_total,memory_ram_usage,memory_swap_total,memory_swap_usage,pcpu_usage_0,pcpu_usage_1,ram_power,sys_power,temp_cpu_temp_avg,temp_gpu_temp_avg,timestamp
0,4.763388156890869,0.0,4.763388156890869,1288.0,0.1123229190707206,0.0,0.0,0.0,0.0,17179869184.0,13595279360.0,5368709120.0,3956932608.0,1634.0,0.1286390423774719,1.324148654937744,24.85845184326172,46.40625762939453,41.11170196533203,2026.0
1,4.763388156890869,0.0,4.763388156890869,1288.0,0.1123229190707206,0.0,0.0,0.0,0.0,17179869184.0,13595279360.0,5368709120.0,3956932608.0,1634.0,0.1286390423774719,1.324148654937744,24.85845184326172,46.40625762939453,41.11170196533203,2026.0
2,4.763388156890869,0.0,4.763388156890869,1288.0,0.1123229190707206,0.0,0.0,0.0,0.0,17179869184.0,13595279360.0,5368709120.0,3956932608.0,1634.0,0.1286390423774719,1.324148654937744,24.85845184326172,46.40625762939453,41.11170196533203,2026.0
3,4.763388156890869,0.0,4.763388156890869,1288.0,0.1123229190707206,0.0,0.0,0.0,0.0,17179869184.0,13595279360.0,5368709120.0,3956932608.0,1634.0,0.1286390423774719,1.324148654937744,24.85845184326172,46.40625762939453,41.11170196533203,2026.0
4,4.763388156890869,0.0,4.763388156890869,1288.0,0.1123229190707206,0.0,0.0,0.0,0.0,17179869184.0,13595279360.0,5368709120.0,3956932608.0,1634.0,0.1286390423774719,1.324148654937744,24.85845184326172,46.40625762939453,41.11170196533203,2026.0
5,4.650332450866699,0.0,4.650332450866699,1032.0,0.0601971037685871,0.0,0.0,0.0,0.0,17179869184.0,13595918336.0,5368709120.0,3956932608.0,1697.0,0.1282405257225036,1.3096197843551636,23.771255493164062,45.113014221191406,5.8734002113342285,2026.0
6,4.650332450866699,0.0,4.650332450866699,1032.0,0.0601971037685871,0.0,0.0,0.0,0.0,17179869184.0,13595918336.0,5368709120.0,3956932608.0,1697.0,0.1282405257225036,1.3096197843551636,23.771255493164062,45.113014221191406,5.8734002113342285,2026.0
7,4.650332450866699,0.0,4.650332450866699,1032.0,0.0601971037685871,0.0,0.0,0.0,0.0,17179869184.0,13595918336.0,5368709120.0,3956932608.0,1697.0,0.1282405257225036,1.3096197843551636,23.771255493164062,45.113014221191406,5.8734002113342285,2026.0
8,4.650332450866699,0.0,4.650332450866699,1032.0,0.0601971037685871,0.0,0.0,0.0,0.0,17179869184.0,13595918336.0,5368709120.0,3956932608.0,1697.0,0.1282405257225036,1.3096197843551636,23.771255493164062,45.113014221191406,5.8734002113342285,2026.0
9,4.650332450866699,0.0,4.650332450866699,1032.0,0.0601971037685871,0.0,0.0,0.0,0.0,17179869184.0,13595918336.0,5368709120.0,3956932608.0,1697.0,0.1282405257225036,1.3096197843551636,23.771255493164062,45.113014221191406,5.8734002113342285,2026.0
10,4.639819622039795,0.0,4.639819622039795,1151.0,0.0753486305475235,0.0,0.0,0.0,0.0,17179869184.0,13596884992.0,5368709120.0,3956932608.0,1694.0,0.1314638555049896,1.3159124851226809,23.573265075683594,45.73293685913086,5.8734002113342285,2026.0
11,4.639819622039795,0.0,4.639819622039795,1151.0,0.0753486305475235,0.0,0.0,0.0,0.0,17179869184.0,13596884992.0,5368709120.0,3956932608.0,1694.0,0.1314638555049896,1.3159124851226809,23.573265075683594,45.73293685913086,5.8734002113342285,2026.0
12,4.639819622039795,0.0,4.639819622039795,1151.0,0.0753486305475235,0.0,0.0,0.0,0.0,17179869184.0,13596884992.0,5368709120.0,3956932608.0,1694.0,0.1314638555049896,1.3159124851226809,23.573265075683594,45.73293685913086,5.8734002113342285,2026.0
13,4.639819622039795,0.0,4.639819622039795,1151.0,0.0753486305475235,0.0,0.0,0.0,0.0,17179869184.0,13596884992.0,5368709120.0,3956932608.0,1694.0,0.1314638555049896,1.3159124851226809,23.573265075683594,45.73293685913086,5.8734002113342285,2026.0
14,4.639819622039795,0.0,4.639819622039795,1151.0,0.0753486305475235,0.0,0.0,0.0,0.0,17179869184.0,13596884992.0,5368709120.0,3956932608.0,1694.0,0.1314638555049896,1.3159124851226809,23.573265075683594,45.73293685913086,5.8734002113342285,2026.0
15,4.814119338989258,0.0,4.814119338989258,1373.0,0.1417420208454132,0.0,0.0,0.0,0.0,17179869184.0,13644578816.0,5368709120.0,3956932608.0,2136.0,0.1360661089420318,1.335093379020691,23.60791778564453,45.66118240356445,5.8734002113342285,2026.0
16,4.814119338989258,0.0,4.814119338989258,1373.0,0.1417420208454132,0.0,0.0,0.0,0.0,17179869184.0,13644578816.0,5368709120.0,3956932608.0,2136.0,0.1360661089420318,1.335093379020691,23.60791778564453,45.66118240356445,5.8734002113342285,2026.0
17,4.814119338989258,0.0,4.814119338989258,1373.0,0.1417420208454132,0.0,0.0,0.0,0.0,17179869184.0,13644578816.0,5368709120.0,3956932608.0,2136.0,0.1360661089420318,1.335093379020691,23.60791778564453,45.66118240356445,5.8734002113342285,2026.0
18,4.814119338989258,0.0,4.814119338989258,1373.0,0.1417420208454132,0.0,0.0,0.0,0.0,17179869184.0,13644578816.0,5368709120.0,3956932608.0,2136.0,0.1360661089420318,1.335093379020691,23.60791778564453,45.66118240356445,5.8734002113342285,2026.0
19,4.814119338989258,0.0,4.814119338989258,1373.0,0.1417420208454132,0.0,0.0,0.0,0.0,17179869184.0,13644578816.0,5368709120.0,3956932608.0,2136.0,0.1360661089420318,1.335093379020691,23.60791778564453,45.66118240356445,5.8734002113342285,2026.0
20,4.814119338989258,0.0,4.814119338989258,1373.0,0.1417420208454132,0.0,0.0,0.0,0.0,17179869184.0,13644578816.0,5368709120.0,3956932608.0,2136.0,0.1360661089420318,1.335093379020691,23.60791778564453,45.66118240356445,5.8734002113342285,2026.0
21,7.724874496459961,0.0,7.72459602355957,1441.0,0.1118221208453178,0.0002784099197015,0.0,111.0,0.000384438841138,17179869184.0,13689225216.0,5368709120.0,3956932608.0,2388.0,0.3046725690364837,1.4132261276245115,23.880447387695312,46.605979919433594,5.8734002113342285,2026.0
22,7.724874496459961,0.0,7.72459602355957,1441.0,0.1118221208453178,0.0002784099197015,0.0,111.0,0.000384438841138,17179869184.0,13689225216.0,5368709120.0,3956932608.0,2388.0,0.3046725690364837,1.4132261276245115,23.880447387695312,46.605979919433594,5.8734002113342285,2026.0
23,7.724874496459961,0.0,7.72459602355957,1441.0,0.1118221208453178,0.0002784099197015,0.0,111.0,0.000384438841138,17179869184.0,13689225216.0,5368709120.0,3956932608.0,2388.0,0.3046725690364837,1.4132261276245115,23.880447387695312,46.605979919433594,5.8734002113342285,2026.0
24,7.724874496459961,0.0,7.72459602355957,1441.0,0.1118221208453178,0.0002784099197015,0.0,111.0,0.000384438841138,17179869184.0,13689225216.0,5368709120.0,3956932608.0,2388.0,0.3046725690364837,1.4132261276245115,23.880447387695312,46.605979919433594,5.8734002113342285,2026.0
25,7.724874496459961,0.0,7.72459602355957,1441.0,0.1118221208453178,0.0002784099197015,0.0,111.0,0.000384438841138,17179869184.0,13689225216.0,5368709120.0,3956932608.0,2388.0,0.3046725690364837,1.4132261276245115,23.880447387695312,46.605979919433594,5.8734002113342285,2026.0
26,4.848527431488037,0.0,4.848527431488037,1544.0,0.174314871430397,0.0,0.0,0.0,0.0,17179869184.0,13687177216.0,5368709120.0,3956932608.0,1747.0,0.136511743068695,1.346881628036499,25.71778106689453,50.21958541870117,41.85076141357422,2026.0
27,4.848527431488037,0.0,4.848527431488037,1544.0,0.174314871430397,0.0,0.0,0.0,0.0,17179869184.0,13687177216.0,5368709120.0,3956932608.0,1747.0,0.136511743068695,1.346881628036499,25.71778106689453,50.21958541870117,41.85076141357422,2026.0
28,4.848527431488037,0.0,4.848527431488037,1544.0,0.174314871430397,0.0,0.0,0.0,0.0,17179869184.0,13687177216.0,5368709120.0,3956932608.0,1747.0,0.136511743068695,1.346881628036499,25.71778106689453,50.21958541870117,41.85076141357422,2026.0
29,4.848527431488037,0.0,4.848527431488037,1544.0,0.174314871430397,0.0,0.0,0.0,0.0,17179869184.0,13687177216.0,5368709120.0,3956932608.0,1747.0,0.136511743068695,1.346881628036499,25.71778106689453,50.21958541870117,41.85076141357422,2026.0
30,4.848527431488037,0.0,4.848527431488037,1544.0,0.174314871430397,0.0,0.0,0.0,0.0,17179869184.0,13687177216.0,5368709120.0,3956932608.0,1747.0,0.136511743068695,1.346881628036499,25.71778106689453,50.21958541870117,41.85076141357422,2026.0
31,4.630654335021973,0.0,4.630654335021973,1148.0,0.0806124359369278,0.0,0.0,0.0,0.0,17179869184.0,13687128064.0,5368709120.0,3956932608.0,1511.0,0.1292462199926376,1.3127052783966064,26.41954803466797,46.8447151184082,5.8734002113342285,2026.0
