idx,ane_power_w,cpu_avg_freq_mhz,cpu_power_w,cpu_residency_active_pct,cpu_temp_c,cpu_usage_pct,fan_rpm,gpu_avg_freq_mhz,gpu_power_w,gpu_residency_active_pct,gpu_temp_c,gpu_usage_pct,soc_temp_c
0,0.0,1892.0,7.046193599700928,36.99,46.61982727050781,1985.0,0.0,1367.0,0.2280215919017791,100.0,61.31357955932617,587.0,0.0
1,0.0,1892.0,7.046193599700928,36.99,46.61982727050781,1985.0,0.0,1367.0,0.2280215919017791,100.0,61.31357955932617,587.0,0.0
2,0.0,1892.0,7.046193599700928,36.99,46.61982727050781,1985.0,0.0,1367.0,0.2280215919017791,100.0,61.31357955932617,587.0,0.0
3,0.0,1892.0,7.141654014587402,36.99,46.2857551574707,1881.0,0.0,1367.0,0.1627082526683807,100.0,60.45613861083984,834.0,0.0
4,0.0,1892.0,7.141654014587402,36.99,46.2857551574707,1881.0,0.0,1367.0,0.1627082526683807,100.0,60.45613861083984,834.0,0.0
5,0.0,1892.0,7.141654014587402,36.99,46.2857551574707,1881.0,0.0,1367.0,0.1627082526683807,100.0,60.45613861083984,834.0,0.0
6,0.0,1892.0,7.141654014587402,36.99,46.2857551574707,1881.0,0.0,1367.0,0.1627082526683807,100.0,60.45613861083984,834.0,0.0
7,0.0,1892.0,7.141654014587402,36.99,46.2857551574707,1881.0,0.0,1367.0,0.1627082526683807,100.0,60.45613861083984,834.0,0.0
8,0.0,1892.0,7.213644027709961,36.99,45.68537902832031,1847.0,0.0,1367.0,0.0885066762566566,100.0,59.5437126159668,481.0,0.0
9,0.0,1892.0,7.213644027709961,36.99,45.68537902832031,1847.0,0.0,1367.0,0.0885066762566566,100.0,59.5437126159668,481.0,0.0
10,0.0,1892.0,7.213644027709961,36.99,45.68537902832031,1847.0,0.0,1367.0,0.0885066762566566,100.0,59.5437126159668,481.0,0.0
11,0.0,1892.0,7.213644027709961,36.99,45.68537902832031,1847.0,0.0,1367.0,0.0885066762566566,100.0,59.5437126159668,481.0,0.0
12,0.0,1892.0,6.725327491760254,36.99,45.46846008300781,1832.0,0.0,1367.0,0.23653544485569,100.0,58.9587287902832,879.0,0.0
13,0.0,1892.0,6.725327491760254,36.99,45.46846008300781,1832.0,0.0,1367.0,0.23653544485569,100.0,58.9587287902832,879.0,0.0
14,0.0,1892.0,6.725327491760254,36.99,45.46846008300781,1832.0,0.0,1367.0,0.23653544485569,100.0,58.9587287902832,879.0,0.0
15,0.0,1892.0,6.725327491760254,36.99,45.46846008300781,1832.0,0.0,1367.0,0.23653544485569,100.0,58.9587287902832,879.0,0.0
16,0.0,1892.0,6.725327491760254,36.99,45.46846008300781,1832.0,0.0,1367.0,0.23653544485569,100.0,58.9587287902832,879.0,0.0
17,0.0,1892.0,9.737434387207031,36.99,65.97352600097656,2081.0,0.0,1367.0,0.0855241045355796,100.0,58.26599884033203,609.0,0.0
18,0.0,1892.0,9.737434387207031,36.99,65.97352600097656,2081.0,0.0,1367.0,0.0855241045355796,100.0,58.26599884033203,609.0,0.0
19,0.0,1892.0,9.737434387207031,36.99,65.97352600097656,2081.0,0.0,1367.0,0.0855241045355796,100.0,58.26599884033203,609.0,0.0
20,0.0,1892.0,9.737434387207031,36.99,65.97352600097656,2081.0,0.0,1367.0,0.0855241045355796,100.0,58.26599884033203,609.0,0.0
21,0.0,1892.0,9.345199584960938,36.99,66.85614013671875,2315.0,0.0,1367.0,0.2792857587337494,100.0,57.72182083129883,471.0,0.0
22,0.0,1892.0,9.345199584960938,36.99,66.85614013671875,2315.0,0.0,1367.0,0.2792857587337494,100.0,57.72182083129883,471.0,0.0
23,0.0,1892.0,9.345199584960938,36.99,66.85614013671875,2315.0,0.0,1367.0,0.2792857587337494,100.0,57.72182083129883,471.0,0.0
24,0.0,1892.0,9.345199584960938,36.99,66.85614013671875,2315.0,0.0,1367.0,0.2792857587337494,100.0,57.72182083129883,471.0,0.0
25,0.0,1892.0,7.446880340576172,36.99,64.0364990234375,1868.0,0.0,1367.0,0.0720118805766105,100.0,56.68891143798828,462.0,0.0
26,0.0,1892.0,7.446880340576172,36.99,64.0364990234375,1868.0,0.0,1367.0,0.0720118805766105,100.0,56.68891143798828,462.0,0.0
27,0.0,1892.0,7.446880340576172,36.99,64.0364990234375,1868.0,0.0,1367.0,0.0720118805766105,100.0,56.68891143798828,462.0,0.0
28,0.0,1892.0,7.446880340576172,36.99,64.0364990234375,1868.0,0.0,1367.0,0.0720118805766105,100.0,56.68891143798828,462.0,0.0
29,0.0,1892.0,7.446880340576172,36.99,64.0364990234375,1868.0,0.0,1367.0,0.0720118805766105,100.0,56.68891143798828,462.0,0.0
30,0.0,1892.0,8.819291114807129,36.99,64.51838684082031,2068.0,0.0,1367.0,0.1736466288566589,100.0,56.3713264465332,444.0,0.0
31,0.0,1892.0,8.819291114807129,36.99,64.51838684082031,2068.0,0.0,1367.0,0.1736466288566589,100.0,56.3713264465332,444.0,0.0
32,0.0,1892.0,8.819291114807129,36.99,64.51838684082031,2068.0,0.0,1367.0,0.1736466288566589,100.0,56.3713264465332,444.0,0.0
33,0.0,1892.0,8.819291114807129,36.99,64.51838684082031,2068.0,0.0,1367.0,0.1736466288566589,100.0,56.3713264465332,444.0,0.0
34,0.0,1892.0,8.929176330566406,36.99,64.85416412353516,2133.0,0.0,1367.0,0.2287311851978302,100.0,56.03351974487305,444.0,0.0
35,0.0,1892.0,8.929176330566406,36.99,64.85416412353516,2133.0,0.0,1367.0,0.2287311851978302,100.0,56.03351974487305,444.0,0.0
36,0.0,1892.0,8.929176330566406,36.99,64.85416412353516,2133.0,0.0,1367.0,0.2287311851978302,100.0,56.03351974487305,444.0,0.0
37,0.0,1892.0,8.929176330566406,36.99,64.85416412353516,2133.0,0.0,1367.0,0.2287311851978302,100.0,56.03351974487305,444.0,0.0
38,0.0,1892.0,8.929176330566406,36.99,64.85416412353516,2133.0,0.0,1367.0,0.2287311851978302,100.0,56.03351974487305,444.0,0.0
39,0.0,1892.0,7.851997375488281,36.99,63.66271209716797,2049.0,0.0,1367.0,0.2228589653968811,100.0,55.927101135253906,687.0,0.0
40,0.0,1892.0,7.851997375488281,36.99,63.66271209716797,2049.0,0.0,1367.0,0.2228589653968811,100.0,55.927101135253906,687.0,0.0
