idx,all_power,ane_power,cpu_power,ecpu_usage_0,ecpu_usage_1,gpu_power,gpu_ram_power,gpu_usage_0,gpu_usage_1,memory_ram_total,memory_ram_usage,memory_swap_total,memory_swap_usage,pcpu_usage_0,pcpu_usage_1,ram_power,sys_power,temp_cpu_temp_avg,temp_gpu_temp_avg,timestamp
0,17.966384887695312,0.0,16.847158432006836,2275.0,0.7769132852554321,1.1192269325256348,0.0166944712400436,997.0,0.1920336484909057,17179869184.0,13994885120.0,5368709120.0,4037607424.0,3495.0,0.5499957799911499,0.9690282940864564,33.27740478515625,78.18999481201172,67.20060729980469,2026.0
1,17.966384887695312,0.0,16.847158432006836,2275.0,0.7769132852554321,1.1192269325256348,0.0166944712400436,997.0,0.1920336484909057,17179869184.0,13994885120.0,5368709120.0,4037607424.0,3495.0,0.5499957799911499,0.9690282940864564,33.27740478515625,78.18999481201172,67.20060729980469,2026.0
2,17.966384887695312,0.0,16.847158432006836,2275.0,0.7769132852554321,1.1192269325256348,0.0166944712400436,997.0,0.1920336484909057,17179869184.0,13994885120.0,5368709120.0,4037607424.0,3495.0,0.5499957799911499,0.9690282940864564,33.27740478515625,78.18999481201172,67.20060729980469,2026.0
3,17.966384887695312,0.0,16.847158432006836,2275.0,0.7769132852554321,1.1192269325256348,0.0166944712400436,997.0,0.1920336484909057,17179869184.0,13994885120.0,5368709120.0,4037607424.0,3495.0,0.5499957799911499,0.9690282940864564,33.27740478515625,78.18999481201172,67.20060729980469,2026.0
4,17.966384887695312,0.0,16.847158432006836,2275.0,0.7769132852554321,1.1192269325256348,0.0166944712400436,997.0,0.1920336484909057,17179869184.0,13994885120.0,5368709120.0,4037607424.0,3495.0,0.5499957799911499,0.9690282940864564,33.27740478515625,78.18999481201172,67.20060729980469,2026.0
5,13.451926231384276,0.0,12.14279842376709,2097.0,0.6658724546432495,1.3091278076171875,0.0242253933101892,975.0,0.1400322020053863,17179869184.0,13968392192.0,5368709120.0,4037607424.0,3358.0,0.3185102939605713,0.7864100933074951,33.55486297607422,77.83149719238281,67.36576843261719,2026.0
6,13.451926231384276,0.0,12.14279842376709,2097.0,0.6658724546432495,1.3091278076171875,0.0242253933101892,975.0,0.1400322020053863,17179869184.0,13968392192.0,5368709120.0,4037607424.0,3358.0,0.3185102939605713,0.7864100933074951,33.55486297607422,77.83149719238281,67.36576843261719,2026.0
7,13.451926231384276,0.0,12.14279842376709,2097.0,0.6658724546432495,1.3091278076171875,0.0242253933101892,975.0,0.1400322020053863,17179869184.0,13968392192.0,5368709120.0,4037607424.0,3358.0,0.3185102939605713,0.7864100933074951,33.55486297607422,77.83149719238281,67.36576843261719,2026.0
8,13.451926231384276,0.0,12.14279842376709,2097.0,0.6658724546432495,1.3091278076171875,0.0242253933101892,975.0,0.1400322020053863,17179869184.0,13968392192.0,5368709120.0,4037607424.0,3358.0,0.3185102939605713,0.7864100933074951,33.55486297607422,77.83149719238281,67.36576843261719,2026.0
9,13.451926231384276,0.0,12.14279842376709,2097.0,0.6658724546432495,1.3091278076171875,0.0242253933101892,975.0,0.1400322020053863,17179869184.0,13968392192.0,5368709120.0,4037607424.0,3358.0,0.3185102939605713,0.7864100933074951,33.55486297607422,77.83149719238281,67.36576843261719,2026.0
10,14.81443977355957,0.0,13.500818252563477,1986.0,0.4246119260787964,1.3136212825775146,0.0212475899606943,917.0,0.1893395483493805,17179869184.0,14284505088.0,5368709120.0,4037607424.0,3487.0,0.4133432507514953,0.8686089515686035,31.554988861083984,50.938507080078125,67.03630828857422,2026.0
11,14.81443977355957,0.0,13.500818252563477,1986.0,0.4246119260787964,1.3136212825775146,0.0212475899606943,917.0,0.1893395483493805,17179869184.0,14284505088.0,5368709120.0,4037607424.0,3487.0,0.4133432507514953,0.8686089515686035,31.554988861083984,50.938507080078125,67.03630828857422,2026.0
12,14.81443977355957,0.0,13.500818252563477,1986.0,0.4246119260787964,1.3136212825775146,0.0212475899606943,917.0,0.1893395483493805,17179869184.0,14284505088.0,5368709120.0,4037607424.0,3487.0,0.4133432507514953,0.8686089515686035,31.554988861083984,50.938507080078125,67.03630828857422,2026.0
13,14.81443977355957,0.0,13.500818252563477,1986.0,0.4246119260787964,1.3136212825775146,0.0212475899606943,917.0,0.1893395483493805,17179869184.0,14284505088.0,5368709120.0,4037607424.0,3487.0,0.4133432507514953,0.8686089515686035,31.554988861083984,50.938507080078125,67.03630828857422,2026.0
14,14.81443977355957,0.0,13.500818252563477,1986.0,0.4246119260787964,1.3136212825775146,0.0212475899606943,917.0,0.1893395483493805,17179869184.0,14284505088.0,5368709120.0,4037607424.0,3487.0,0.4133432507514953,0.8686089515686035,31.554988861083984,50.938507080078125,67.03630828857422,2026.0
15,15.605804443359377,0.0,14.698917388916016,2047.0,0.4562839865684509,0.9068874716758728,0.0194695480167865,677.0,0.11508459597826,17179869184.0,14160642048.0,5368709120.0,4037607424.0,3381.0,0.4317433834075928,0.9240899085998536,28.671541213989254,51.61088943481445,67.21430969238281,2026.0
16,15.605804443359377,0.0,14.698917388916016,2047.0,0.4562839865684509,0.9068874716758728,0.0194695480167865,677.0,0.11508459597826,17179869184.0,14160642048.0,5368709120.0,4037607424.0,3381.0,0.4317433834075928,0.9240899085998536,28.671541213989254,51.61088943481445,67.21430969238281,2026.0
17,15.605804443359377,0.0,14.698917388916016,2047.0,0.4562839865684509,0.9068874716758728,0.0194695480167865,677.0,0.11508459597826,17179869184.0,14160642048.0,5368709120.0,4037607424.0,3381.0,0.4317433834075928,0.9240899085998536,28.671541213989254,51.61088943481445,67.21430969238281,2026.0
18,15.605804443359377,0.0,14.698917388916016,2047.0,0.4562839865684509,0.9068874716758728,0.0194695480167865,677.0,0.11508459597826,17179869184.0,14160642048.0,5368709120.0,4037607424.0,3381.0,0.4317433834075928,0.9240899085998536,28.671541213989254,51.61088943481445,67.21430969238281,2026.0
19,15.605804443359377,0.0,14.698917388916016,2047.0,0.4562839865684509,0.9068874716758728,0.0194695480167865,677.0,0.11508459597826,17179869184.0,14160642048.0,5368709120.0,4037607424.0,3381.0,0.4317433834075928,0.9240899085998536,28.671541213989254,51.61088943481445,67.21430969238281,2026.0
20,15.200212478637695,0.0,14.532829284667969,2155.0,0.524099588394165,0.6673828363418579,0.0193821843713521,525.0,0.0859006196260452,17179869184.0,13857554432.0,5368709120.0,4037607424.0,3498.0,0.3668518960475921,0.8404476046562195,30.931432723999023,77.64350891113281,66.61384582519531,2026.0
21,15.200212478637695,0.0,14.532829284667969,2155.0,0.524099588394165,0.6673828363418579,0.0193821843713521,525.0,0.0859006196260452,17179869184.0,13857554432.0,5368709120.0,4037607424.0,3498.0,0.3668518960475921,0.8404476046562195,30.931432723999023,77.64350891113281,66.61384582519531,2026.0
22,15.200212478637695,0.0,14.532829284667969,2155.0,0.524099588394165,0.6673828363418579,0.0193821843713521,525.0,0.0859006196260452,17179869184.0,13857554432.0,5368709120.0,4037607424.0,3498.0,0.3668518960475921,0.8404476046562195,30.931432723999023,77.64350891113281,66.61384582519531,2026.0
23,15.200212478637695,0.0,14.532829284667969,2155.0,0.524099588394165,0.6673828363418579,0.0193821843713521,525.0,0.0859006196260452,17179869184.0,13857554432.0,5368709120.0,4037607424.0,3498.0,0.3668518960475921,0.8404476046562195,30.931432723999023,77.64350891113281,66.61384582519531,2026.0
24,15.200212478637695,0.0,14.532829284667969,2155.0,0.524099588394165,0.6673828363418579,0.0193821843713521,525.0,0.0859006196260452,17179869184.0,13857554432.0,5368709120.0,4037607424.0,3498.0,0.3668518960475921,0.8404476046562195,30.931432723999023,77.64350891113281,66.61384582519531,2026.0
