idx,avg_core_id,avg_weight_ns,first_sample_time_ns,last_sample_time_ns,max_core_id,running_count,running_fraction,sample_span_ns,samples_per_bucket,sentinel_count,total_weight_ns,unique_process_count,unique_thread_count
0,4.389655172413793,1000000.0,334453833.0,533455958.0,10.0,290.0,1.0,199002125.0,290.0,4.0,290000000.0,31.0,46.0
1,3.7893401015228423,1000000.0,534455958.0,734453583.0,10.0,394.0,1.0,199997625.0,394.0,24.0,394000000.0,27.0,55.0
2,4.07051282051282,1000000.0,734454500.0,934452916.0,10.0,468.0,1.0,199998416.0,468.0,33.0,468000000.0,42.0,77.0
3,3.681578947368421,1000000.0,934454291.0,1133454208.0,7.0,380.0,1.0,198999917.0,380.0,26.0,380000000.0,32.0,60.0
4,3.4671532846715327,1000000.0,1134455916.0,1334452458.0,7.0,411.0,1.0,199996542.0,411.0,20.0,411000000.0,36.0,68.0
5,3.07741935483871,1000000.0,1334455958.0,1534452666.0,11.0,465.0,1.0,199996708.0,465.0,99.0,465000000.0,23.0,41.0
6,3.4825396825396826,1000000.0,1534453916.0,1734452875.0,7.0,315.0,1.0,199998959.0,315.0,17.0,315000000.0,16.0,35.0
7,3.3234323432343236,1000000.0,1734454250.0,1933454166.0,7.0,303.0,1.0,198999916.0,303.0,12.0,303000000.0,32.0,50.0
8,4.095419847328245,1000000.0,1934455875.0,2133452500.0,7.0,262.0,1.0,198996625.0,262.0,12.0,262000000.0,22.0,41.0
9,3.980132450331126,1000000.0,2134456125.0,2334452500.0,9.0,302.0,1.0,199996375.0,302.0,13.0,302000000.0,26.0,48.0
10,4.59375,1000000.0,2334459083.0,2534452750.0,11.0,224.0,1.0,199993667.0,224.0,1.0,224000000.0,16.0,26.0
11,3.1671159029649596,1000000.0,2534455416.0,2734452791.0,7.0,371.0,1.0,199997375.0,371.0,21.0,371000000.0,30.0,53.0
12,4.03598971722365,1000000.0,2734455500.0,2933452833.0,8.0,389.0,1.0,198997333.0,389.0,56.0,389000000.0,27.0,47.0
13,5.045180722891566,1000000.0,2934456125.0,3134452458.0,10.0,332.0,1.0,199996333.0,332.0,71.0,332000000.0,14.0,27.0
14,4.25,1000000.0,3135456000.0,3333455791.0,11.0,308.0,1.0,197999791.0,308.0,19.0,308000000.0,28.0,49.0
15,3.833935018050542,1000000.0,3334455958.0,3533455500.0,11.0,277.0,1.0,198999542.0,277.0,12.0,277000000.0,30.0,46.0
16,4.461538461538462,1000000.0,3534456166.0,3734452750.0,9.0,234.0,1.0,199996584.0,234.0,4.0,234000000.0,18.0,29.0
17,7.402439024390244,1000000.0,3735456083.0,3934452416.0,11.0,246.0,1.0,198996333.0,246.0,9.0,246000000.0,16.0,30.0
18,6.891050583657588,1000000.0,3935456083.0,4133456125.0,11.0,257.0,1.0,198000042.0,257.0,7.0,257000000.0,19.0,36.0
19,6.907692307692308,1000000.0,4134456291.0,4334452666.0,11.0,260.0,1.0,199996375.0,260.0,9.0,260000000.0,22.0,38.0
20,7.857142857142857,1000000.0,4335452666.0,4534452458.0,11.0,238.0,1.0,198999792.0,238.0,2.0,238000000.0,12.0,23.0
21,6.457142857142857,1000000.0,4535456083.0,4734452666.0,11.0,315.0,1.0,198996583.0,315.0,17.0,315000000.0,29.0,54.0
22,6.58477508650519,1000000.0,4734453958.0,4934452875.0,11.0,289.0,1.0,199998917.0,289.0,7.0,289000000.0,29.0,47.0
23,6.671378091872792,1000000.0,4934453958.0,5134452666.0,11.0,283.0,1.0,199998708.0,283.0,12.0,283000000.0,36.0,55.0
24,5.853503184713376,1000000.0,5134454541.0,5334452500.0,11.0,314.0,1.0,199997959.0,314.0,19.0,314000000.0,51.0,76.0
25,7.7,1000000.0,5335452750.0,5534452416.0,11.0,230.0,1.0,198999666.0,230.0,6.0,230000000.0,13.0,22.0
26,6.940074906367041,1000000.0,5535460083.0,5733456083.0,11.0,267.0,1.0,197996000.0,267.0,7.0,267000000.0,18.0,35.0
27,7.345132743362832,1000000.0,5734455916.0,5933456125.0,11.0,339.0,1.0,199000209.0,339.0,19.0,339000000.0,36.0,58.0
28,7.470355731225297,1000000.0,5934454166.0,6134452416.0,11.0,253.0,1.0,199998250.0,253.0,14.0,253000000.0,17.0,30.0
29,5.690476190476191,1000000.0,6135452750.0,6333456083.0,11.0,336.0,1.0,198003333.0,336.0,18.0,336000000.0,33.0,64.0
30,7.403292181069959,1000000.0,6334456375.0,6534452791.0,11.0,243.0,1.0,199996416.0,243.0,5.0,243000000.0,15.0,26.0
31,6.479704797047971,1000000.0,6535455875.0,6733469541.0,11.0,271.0,1.0,198013666.0,271.0,7.0,271000000.0,26.0,49.0
32,6.986159169550173,1000000.0,6734455875.0,6934452625.0,11.0,289.0,1.0,199996750.0,289.0,10.0,289000000.0,21.0,42.0
33,6.590909090909091,1000000.0,6935452750.0,7133452458.0,10.0,264.0,1.0,197999708.0,264.0,13.0,264000000.0,26.0,44.0
34,6.1940298507462686,1000000.0,7134455833.0,7334452750.0,11.0,268.0,1.0,199996917.0,268.0,6.0,268000000.0,23.0,40.0
35,7.330543933054393,1000000.0,7334454333.0,7533456083.0,11.0,239.0,1.0,199001750.0,239.0,5.0,239000000.0,21.0,34.0
36,7.4591439688715955,1000000.0,7534456000.0,7734452750.0,11.0,257.0,1.0,199996750.0,257.0,6.0,257000000.0,15.0,30.0
