idx,avg_core_id,avg_weight_ns,max_core_id,running_fraction,samples_per_bucket,sentinel_count,total_weight_ns,unique_process_count,unique_thread_count
0,2.5,1000000.0,8.0,1.0,8.0,0.0,8000000.0,1.0,1.0
1,1.5,1000000.0,3.0,1.0,10.0,0.0,10000000.0,1.0,1.0
2,1.4444444444444444,1000000.0,3.0,1.0,9.0,0.0,9000000.0,1.0,1.0
3,1.6666666666666667,1000000.0,3.0,1.0,9.0,0.0,9000000.0,1.0,1.0
4,1.875,1000000.0,3.0,1.0,8.0,0.0,8000000.0,1.0,1.0
5,2.4166666666666665,1000000.0,4.0,1.0,12.0,0.0,12000000.0,1.0,2.0
6,1.5555555555555556,1000000.0,3.0,1.0,9.0,0.0,9000000.0,1.0,1.0
7,2.1818181818181817,1000000.0,3.0,1.0,11.0,0.0,11000000.0,1.0,2.0
8,1.4,1000000.0,3.0,1.0,15.0,0.0,15000000.0,1.0,1.0
9,1.25,1000000.0,3.0,1.0,4.0,0.0,4000000.0,1.0,1.0
10,1.0,1000000.0,2.0,1.0,11.0,0.0,11000000.0,1.0,1.0
11,2.6666666666666665,1000000.0,6.0,1.0,6.0,0.0,6000000.0,1.0,2.0
12,2.0,1000000.0,8.0,1.0,8.0,0.0,8000000.0,1.0,1.0
13,1.0,1000000.0,3.0,1.0,9.0,0.0,9000000.0,1.0,1.0
14,1.0,1000000.0,3.0,1.0,6.0,0.0,6000000.0,1.0,2.0
15,1.1428571428571428,1000000.0,2.0,1.0,7.0,0.0,7000000.0,1.0,1.0
16,2.125,1000000.0,3.0,1.0,8.0,0.0,8000000.0,1.0,1.0
17,0.75,1000000.0,2.0,1.0,8.0,0.0,8000000.0,1.0,1.0
18,2.5555555555555554,1000000.0,3.0,1.0,9.0,0.0,9000000.0,1.0,1.0
19,1.9090909090909092,1000000.0,3.0,1.0,11.0,0.0,11000000.0,1.0,1.0
20,1.4,1000000.0,3.0,1.0,5.0,0.0,5000000.0,1.0,1.0
21,1.4,1000000.0,3.0,1.0,10.0,0.0,10000000.0,1.0,2.0
22,1.6,1000000.0,5.0,1.0,5.0,0.0,5000000.0,1.0,1.0
23,1.2857142857142858,1000000.0,3.0,1.0,7.0,0.0,7000000.0,1.0,1.0
24,1.6,1000000.0,2.0,1.0,10.0,0.0,10000000.0,1.0,1.0
25,1.2,1000000.0,2.0,1.0,10.0,0.0,10000000.0,1.0,1.0
26,1.625,1000000.0,3.0,1.0,16.0,0.0,16000000.0,1.0,1.0
27,2.0714285714285716,1000000.0,3.0,1.0,14.0,0.0,14000000.0,1.0,1.0
28,1.625,1000000.0,3.0,1.0,8.0,0.0,8000000.0,1.0,1.0
29,1.3333333333333333,1000000.0,3.0,1.0,9.0,0.0,9000000.0,1.0,2.0
30,0.7777777777777778,1000000.0,3.0,1.0,9.0,0.0,9000000.0,1.0,1.0
31,1.7142857142857142,1000000.0,3.0,1.0,7.0,0.0,7000000.0,1.0,1.0
32,2.090909090909091,1000000.0,3.0,1.0,11.0,0.0,11000000.0,1.0,2.0
33,0.875,1000000.0,3.0,1.0,8.0,0.0,8000000.0,1.0,3.0
34,2.0,1000000.0,3.0,1.0,9.0,0.0,9000000.0,1.0,2.0
35,1.25,1000000.0,3.0,1.0,8.0,0.0,8000000.0,1.0,1.0
36,2.0,1000000.0,3.0,1.0,7.0,0.0,7000000.0,1.0,1.0
37,2.25,1000000.0,3.0,1.0,8.0,0.0,8000000.0,1.0,1.0
38,1.4444444444444444,1000000.0,3.0,1.0,9.0,0.0,9000000.0,1.0,1.0
39,1.0,1000000.0,3.0,1.0,10.0,0.0,10000000.0,1.0,2.0
40,1.6666666666666667,1000000.0,3.0,1.0,6.0,0.0,6000000.0,1.0,1.0
41,1.6153846153846154,1000000.0,3.0,1.0,13.0,0.0,13000000.0,1.0,1.0
42,1.5,1000000.0,3.0,1.0,10.0,0.0,10000000.0,1.0,1.0
43,2.25,1000000.0,3.0,1.0,8.0,0.0,8000000.0,1.0,1.0
44,1.7142857142857142,1000000.0,3.0,1.0,7.0,0.0,7000000.0,1.0,1.0
45,1.2727272727272727,1000000.0,3.0,1.0,11.0,0.0,11000000.0,1.0,1.0
46,1.125,1000000.0,3.0,1.0,8.0,0.0,8000000.0,1.0,1.0
47,1.25,1000000.0,7.0,1.0,8.0,0.0,8000000.0,1.0,1.0
48,3.25,1000000.0,4.0,1.0,4.0,0.0,4000000.0,1.0,1.0
49,1.7777777777777777,1000000.0,3.0,1.0,9.0,0.0,9000000.0,1.0,1.0
50,2.3,1000000.0,5.0,1.0,10.0,0.0,10000000.0,1.0,2.0
51,1.4285714285714286,1000000.0,3.0,1.0,7.0,0.0,7000000.0,1.0,1.0
52,1.1538461538461535,1000000.0,3.0,1.0,13.0,0.0,13000000.0,1.0,1.0
53,1.8888888888888888,1000000.0,3.0,1.0,9.0,0.0,9000000.0,1.0,1.0
54,0.8461538461538461,1000000.0,3.0,1.0,13.0,0.0,13000000.0,1.0,2.0
55,2.0,1000000.0,3.0,1.0,6.0,0.0,6000000.0,1.0,1.0
56,2.230769230769231,1000000.0,3.0,1.0,13.0,0.0,13000000.0,1.0,2.0
57,1.3,1000000.0,3.0,1.0,10.0,0.0,10000000.0,1.0,2.0
58,0.1428571428571428,1000000.0,2.0,1.0,14.0,0.0,14000000.0,1.0,2.0
59,1.5,1000000.0,3.0,1.0,10.0,0.0,10000000.0,1.0,1.0
60,1.25,1000000.0,3.0,1.0,8.0,0.0,8000000.0,1.0,1.0
61,1.5384615384615383,1000000.0,3.0,1.0,13.0,0.0,13000000.0,1.0,1.0
62,1.2857142857142858,1000000.0,3.0,1.0,14.0,0.0,14000000.0,1.0,2.0
63,0.75,1000000.0,2.0,1.0,8.0,0.0,8000000.0,1.0,1.0
64,1.0769230769230769,1000000.0,3.0,1.0,13.0,0.0,13000000.0,1.0,2.0
65,1.4444444444444444,1000000.0,3.0,1.0,9.0,0.0,9000000.0,1.0,2.0
66,1.625,1000000.0,3.0,1.0,8.0,0.0,8000000.0,1.0,1.0
67,1.0666666666666669,1000000.0,3.0,1.0,15.0,0.0,15000000.0,1.0,1.0
68,1.1666666666666667,1000000.0,3.0,1.0,12.0,0.0,12000000.0,1.0,2.0
69,2.0833333333333335,1000000.0,3.0,1.0,12.0,0.0,12000000.0,1.0,2.0
70,1.1666666666666667,1000000.0,2.0,1.0,6.0,0.0,6000000.0,1.0,1.0
71,1.4166666666666667,1000000.0,3.0,1.0,12.0,0.0,12000000.0,1.0,1.0
72,1.5714285714285714,1000000.0,3.0,1.0,7.0,1.0,7000000.0,1.0,1.0
73,4.2,1000000.0,9.0,1.0,5.0,0.0,5000000.0,1.0,1.0
74,1.3333333333333333,1000000.0,2.0,1.0,6.0,0.0,6000000.0,1.0,1.0
75,1.6923076923076923,1000000.0,3.0,1.0,13.0,0.0,13000000.0,1.0,1.0
76,1.0,1000000.0,2.0,1.0,7.0,0.0,7000000.0,1.0,1.0
77,1.0,1000000.0,3.0,1.0,10.0,0.0,10000000.0,1.0,1.0
78,2.3846153846153846,1000000.0,3.0,1.0,13.0,0.0,13000000.0,1.0,2.0
79,1.2857142857142858,1000000.0,3.0,1.0,7.0,0.0,7000000.0,1.0,1.0
80,1.3571428571428572,1000000.0,3.0,1.0,14.0,0.0,14000000.0,1.0,1.0
81,1.5714285714285714,1000000.0,3.0,1.0,7.0,0.0,7000000.0,1.0,1.0
82,1.2941176470588236,1000000.0,3.0,1.0,17.0,0.0,17000000.0,1.0,2.0
83,1.4,1000000.0,3.0,1.0,10.0,0.0,10000000.0,1.0,1.0
84,1.1428571428571428,1000000.0,3.0,1.0,7.0,0.0,7000000.0,1.0,1.0
85,2.5454545454545454,1000000.0,3.0,1.0,11.0,0.0,11000000.0,1.0,1.0
86,1.7692307692307692,1000000.0,3.0,1.0,13.0,0.0,13000000.0,1.0,1.0
87,2.3,1000000.0,3.0,1.0,10.0,0.0,10000000.0,1.0,1.0
88,2.0,1000000.0,3.0,1.0,15.0,0.0,15000000.0,1.0,1.0
89,1.875,1000000.0,3.0,1.0,8.0,0.0,8000000.0,1.0,1.0
90,0.9090909090909092,1000000.0,3.0,1.0,11.0,0.0,11000000.0,1.0,1.0
91,1.3333333333333333,1000000.0,3.0,1.0,15.0,0.0,15000000.0,1.0,1.0
92,1.3,1000000.0,3.0,1.0,10.0,0.0,10000000.0,1.0,1.0
93,1.2307692307692308,1000000.0,3.0,1.0,13.0,0.0,13000000.0,1.0,1.0
94,1.0,1000000.0,2.0,1.0,4.0,0.0,4000000.0,1.0,1.0
95,1.0833333333333333,1000000.0,3.0,1.0,12.0,0.0,12000000.0,1.0,1.0
96,0.5833333333333334,1000000.0,2.0,1.0,12.0,0.0,12000000.0,1.0,1.0
97,1.0,1000000.0,3.0,1.0,9.0,0.0,9000000.0,1.0,1.0
98,2.25,1000000.0,8.0,1.0,8.0,0.0,8000000.0,1.0,2.0
99,1.5,1000000.0,4.0,1.0,8.0,0.0,8000000.0,1.0,1.0
100,1.6428571428571428,1000000.0,3.0,1.0,14.0,0.0,14000000.0,1.0,1.0
101,1.6470588235294117,1000000.0,3.0,1.0,17.0,0.0,17000000.0,1.0,1.0
102,3.0,1000000.0,3.0,1.0,10.0,0.0,10000000.0,1.0,1.0
103,1.1428571428571428,1000000.0,3.0,1.0,14.0,0.0,14000000.0,1.0,2.0
104,1.0,1000000.0,3.0,1.0,5.0,0.0,5000000.0,1.0,1.0
105,1.0909090909090908,1000000.0,2.0,1.0,11.0,0.0,11000000.0,1.0,1.0
106,0.8666666666666667,1000000.0,2.0,1.0,15.0,0.0,15000000.0,1.0,1.0
107,1.375,1000000.0,3.0,1.0,8.0,0.0,8000000.0,1.0,1.0
108,2.2857142857142856,1000000.0,3.0,1.0,14.0,0.0,14000000.0,1.0,1.0
109,1.4615384615384617,1000000.0,3.0,1.0,13.0,0.0,13000000.0,1.0,1.0
110,1.7272727272727273,1000000.0,3.0,1.0,11.0,0.0,11000000.0,1.0,1.0
111,1.6923076923076923,1000000.0,3.0,1.0,13.0,0.0,13000000.0,1.0,1.0
112,1.2,1000000.0,3.0,1.0,5.0,0.0,5000000.0,1.0,1.0
113,1.4545454545454546,1000000.0,3.0,1.0,11.0,0.0,11000000.0,1.0,1.0
114,1.7777777777777777,1000000.0,3.0,1.0,18.0,0.0,18000000.0,1.0,1.0
115,0.6666666666666666,1000000.0,2.0,1.0,9.0,0.0,9000000.0,1.0,1.0
116,1.0,1000000.0,3.0,1.0,14.0,0.0,14000000.0,1.0,1.0
