idx,avg_core_id,avg_weight_ns,first_sample_time_ns,last_sample_time_ns,max_core_id,running_count,running_fraction,sample_span_ns,samples_per_bucket,sentinel_count,total_weight_ns,unique_process_count,unique_thread_count
0,5.205,1000000.0,280592708.0,479591625.0,6.0,200.0,1.0,198998917.0,200.0,0.0,200000000.0,1.0,3.0
1,4.810945273631841,1000000.0,480595041.0,680591875.0,7.0,201.0,1.0,199996834.0,201.0,0.0,201000000.0,1.0,1.0
2,4.318407960199005,1000000.0,681591583.0,880591500.0,6.0,201.0,1.0,198999917.0,201.0,0.0,201000000.0,1.0,2.0
3,4.628140703517588,1000000.0,881591625.0,1080591833.0,7.0,199.0,1.0,199000208.0,199.0,0.0,199000000.0,1.0,2.0
4,4.895522388059701,1000000.0,1081594958.0,1279591750.0,6.0,201.0,1.0,197996792.0,201.0,0.0,201000000.0,1.0,2.0
5,4.9054726368159205,1000000.0,1280595083.0,1479595041.0,6.0,201.0,1.0,198999958.0,201.0,0.0,201000000.0,1.0,2.0
6,4.8817733990147785,1000000.0,1480595000.0,1680591708.0,5.0,203.0,1.0,199996708.0,203.0,0.0,203000000.0,1.0,3.0
7,4.78,1000000.0,1681595000.0,1880591500.0,6.0,200.0,1.0,198996500.0,200.0,0.0,200000000.0,1.0,2.0
8,4.91,1000000.0,1881595041.0,2080591666.0,6.0,200.0,1.0,198996625.0,200.0,0.0,200000000.0,1.0,2.0
9,5.282178217821782,1000000.0,2081594833.0,2280591583.0,7.0,202.0,1.0,198996750.0,202.0,0.0,202000000.0,1.0,2.0
10,5.024875621890548,1000000.0,2281595250.0,2479591541.0,7.0,201.0,1.0,197996291.0,201.0,0.0,201000000.0,1.0,3.0
11,4.920792079207921,1000000.0,2480595083.0,2680591833.0,5.0,202.0,1.0,199996750.0,202.0,0.0,202000000.0,1.0,2.0
12,4.741293532338308,1000000.0,2681595083.0,2880591583.0,5.0,201.0,1.0,198996500.0,201.0,0.0,201000000.0,1.0,2.0
13,4.819512195121951,1000000.0,2881591666.0,3080591583.0,5.0,205.0,1.0,198999917.0,205.0,0.0,205000000.0,1.0,3.0
14,7.54320987654321,1000000.0,3081591583.0,3280591625.0,10.0,243.0,1.0,199000042.0,243.0,0.0,243000000.0,1.0,3.0
15,8.25,1000000.0,3281595083.0,3480591666.0,10.0,240.0,1.0,198996583.0,240.0,0.0,240000000.0,1.0,3.0
16,8.247899159663865,1000000.0,3481591666.0,3679591708.0,11.0,238.0,1.0,198000042.0,238.0,0.0,238000000.0,1.0,3.0
17,8.336099585062241,1000000.0,3680595041.0,3879591583.0,10.0,241.0,1.0,198996542.0,241.0,0.0,241000000.0,1.0,3.0
18,8.392561983471074,1000000.0,3880595000.0,4079591583.0,10.0,242.0,1.0,198996583.0,242.0,0.0,242000000.0,1.0,3.0
19,8.329218106995885,1000000.0,4080595000.0,4279591833.0,9.0,243.0,1.0,198996833.0,243.0,0.0,243000000.0,1.0,3.0
20,8.355371900826446,1000000.0,4280595000.0,4479594916.0,10.0,242.0,1.0,198999916.0,242.0,0.0,242000000.0,1.0,3.0
21,8.365145228215768,1000000.0,4480595125.0,4680591833.0,9.0,241.0,1.0,199996708.0,241.0,0.0,241000000.0,1.0,3.0
22,8.292181069958847,1000000.0,4681591750.0,4880591458.0,10.0,243.0,1.0,198999708.0,243.0,0.0,243000000.0,1.0,3.0
23,8.284518828451883,1000000.0,4881594958.0,5080591500.0,9.0,239.0,1.0,198996542.0,239.0,0.0,239000000.0,1.0,4.0
24,8.367768595041323,1000000.0,5081595125.0,5280591583.0,10.0,242.0,1.0,198996458.0,242.0,0.0,242000000.0,1.0,3.0
25,8.377593360995851,1000000.0,5281594916.0,5480591750.0,11.0,241.0,1.0,198996834.0,241.0,0.0,241000000.0,1.0,3.0
26,8.407563025210084,1000000.0,5481591583.0,5679591541.0,9.0,238.0,1.0,197999958.0,238.0,0.0,238000000.0,1.0,4.0
27,8.065843621399177,1000000.0,5680595041.0,5879591583.0,10.0,243.0,1.0,198996542.0,243.0,0.0,243000000.0,1.0,3.0
28,8.425619834710744,1000000.0,5880594875.0,6080591791.0,10.0,242.0,1.0,199996916.0,242.0,0.0,242000000.0,1.0,3.0
29,8.5,1000000.0,6081595041.0,6279594916.0,9.0,236.0,1.0,197999875.0,236.0,0.0,236000000.0,1.0,3.0
30,8.269709543568466,1000000.0,6280594916.0,6479591625.0,10.0,241.0,1.0,198996709.0,241.0,0.0,241000000.0,1.0,3.0
31,8.270833333333334,1000000.0,6480595125.0,6679591791.0,9.0,240.0,1.0,198996666.0,240.0,0.0,240000000.0,1.0,3.0
32,8.326446280991735,1000000.0,6680594916.0,6880591541.0,10.0,242.0,1.0,199996625.0,242.0,0.0,242000000.0,1.0,3.0
33,8.34297520661157,1000000.0,6881594958.0,7079591625.0,10.0,242.0,1.0,197996667.0,242.0,0.0,242000000.0,1.0,3.0
