idx,avg_core_id,avg_weight_ns,max_core_id,running_fraction,samples_per_bucket,sentinel_count,total_weight_ns,unique_process_count,unique_thread_count
0,8.520979020979022,1000000.0,11.0,1.0,286.0,0.0,286000000.0,1.0,7.0
1,9.10655737704918,1000000.0,11.0,1.0,244.0,0.0,244000000.0,1.0,7.0
2,9.255707762557078,1000000.0,11.0,1.0,219.0,0.0,219000000.0,1.0,7.0
3,9.265151515151516,1000000.0,11.0,1.0,264.0,0.0,264000000.0,1.0,7.0
4,8.530864197530864,1000000.0,11.0,1.0,243.0,0.0,243000000.0,1.0,7.0
5,9.030651340996169,1000000.0,11.0,1.0,261.0,0.0,261000000.0,1.0,7.0
6,8.535398230088495,1000000.0,11.0,1.0,226.0,0.0,226000000.0,1.0,7.0
7,8.158088235294118,1000000.0,11.0,1.0,272.0,0.0,272000000.0,1.0,7.0
8,8.817427385892117,1000000.0,11.0,1.0,241.0,0.0,241000000.0,1.0,7.0
9,8.62015503875969,1000000.0,11.0,1.0,258.0,0.0,258000000.0,1.0,7.0
10,8.553719008264462,1000000.0,11.0,1.0,242.0,0.0,242000000.0,1.0,7.0
11,8.79109589041096,1000000.0,11.0,1.0,292.0,0.0,292000000.0,1.0,7.0
12,8.287272727272727,1000000.0,11.0,1.0,275.0,0.0,275000000.0,1.0,7.0
13,8.799227799227799,1000000.0,11.0,1.0,259.0,0.0,259000000.0,1.0,7.0
14,8.288732394366198,1000000.0,11.0,1.0,284.0,0.0,284000000.0,1.0,7.0
15,9.029166666666669,1000000.0,11.0,1.0,240.0,0.0,240000000.0,1.0,7.0
16,8.897233201581027,1000000.0,11.0,1.0,253.0,0.0,253000000.0,1.0,8.0
17,8.185873605947956,1000000.0,11.0,1.0,269.0,0.0,269000000.0,1.0,7.0
18,8.61433447098976,1000000.0,11.0,1.0,293.0,0.0,293000000.0,1.0,8.0
19,8.938016528925619,1000000.0,11.0,1.0,242.0,0.0,242000000.0,1.0,8.0
20,8.440329218106996,1000000.0,11.0,1.0,243.0,0.0,243000000.0,1.0,7.0
21,8.18141592920354,1000000.0,11.0,1.0,226.0,0.0,226000000.0,1.0,7.0
22,8.616600790513834,1000000.0,11.0,1.0,253.0,0.0,253000000.0,1.0,8.0
23,8.792307692307693,1000000.0,11.0,1.0,260.0,0.0,260000000.0,1.0,7.0
24,6.977099236641221,1000000.0,11.0,1.0,262.0,0.0,262000000.0,1.0,8.0
25,4.8264462809917354,1000000.0,7.0,1.0,242.0,0.0,242000000.0,1.0,7.0
26,4.843065693430657,1000000.0,8.0,1.0,274.0,0.0,274000000.0,1.0,7.0
27,5.088235294117647,1000000.0,9.0,1.0,238.0,0.0,238000000.0,1.0,7.0
28,4.598290598290598,1000000.0,7.0,1.0,234.0,0.0,234000000.0,1.0,7.0
29,5.118881118881119,1000000.0,9.0,1.0,286.0,0.0,286000000.0,1.0,7.0
30,4.791338582677166,1000000.0,9.0,1.0,254.0,0.0,254000000.0,1.0,7.0
31,4.689530685920578,1000000.0,7.0,1.0,277.0,0.0,277000000.0,1.0,7.0
32,4.908730158730159,1000000.0,11.0,1.0,252.0,0.0,252000000.0,1.0,8.0
33,5.598360655737705,1000000.0,10.0,1.0,244.0,0.0,244000000.0,1.0,7.0
34,5.364372469635628,1000000.0,11.0,1.0,247.0,0.0,247000000.0,1.0,7.0
35,5.125448028673835,1000000.0,11.0,1.0,279.0,0.0,279000000.0,1.0,8.0
36,5.157692307692308,1000000.0,9.0,1.0,260.0,0.0,260000000.0,1.0,8.0
37,5.321554770318021,1000000.0,10.0,1.0,283.0,0.0,283000000.0,1.0,7.0
38,4.993031358885017,1000000.0,9.0,1.0,287.0,0.0,287000000.0,1.0,7.0
39,4.980916030534351,1000000.0,10.0,1.0,262.0,0.0,262000000.0,1.0,7.0
40,5.587786259541985,1000000.0,11.0,1.0,262.0,0.0,262000000.0,1.0,7.0
41,4.880597014925373,1000000.0,7.0,1.0,268.0,0.0,268000000.0,1.0,7.0
42,4.745247148288973,1000000.0,7.0,1.0,263.0,0.0,263000000.0,1.0,8.0
43,5.4200743494423795,1000000.0,11.0,1.0,269.0,0.0,269000000.0,1.0,8.0
44,4.750853242320819,1000000.0,7.0,1.0,293.0,0.0,293000000.0,1.0,8.0
45,4.887550200803213,1000000.0,8.0,1.0,249.0,0.0,249000000.0,1.0,7.0
46,5.074906367041199,1000000.0,11.0,1.0,267.0,0.0,267000000.0,1.0,8.0
47,4.777327935222672,1000000.0,8.0,1.0,247.0,0.0,247000000.0,1.0,7.0
48,4.899613899613899,1000000.0,9.0,1.0,259.0,0.0,259000000.0,1.0,8.0
49,4.655172413793103,1000000.0,7.0,1.0,232.0,0.0,232000000.0,1.0,7.0
50,5.135714285714286,1000000.0,10.0,1.0,280.0,0.0,280000000.0,1.0,7.0
51,4.762962962962963,1000000.0,7.0,1.0,270.0,0.0,270000000.0,1.0,7.0
52,5.22007722007722,1000000.0,11.0,1.0,259.0,0.0,259000000.0,1.0,8.0
53,7.435251798561152,1000000.0,11.0,1.0,278.0,0.0,278000000.0,1.0,7.0
54,8.264925373134329,1000000.0,11.0,1.0,268.0,0.0,268000000.0,1.0,8.0
55,8.46816479400749,1000000.0,11.0,1.0,267.0,0.0,267000000.0,1.0,7.0
56,8.652892561983471,1000000.0,11.0,1.0,242.0,0.0,242000000.0,1.0,7.0
57,8.430379746835444,1000000.0,11.0,1.0,237.0,0.0,237000000.0,1.0,7.0
58,8.734082397003744,1000000.0,11.0,1.0,267.0,0.0,267000000.0,1.0,7.0
59,8.382716049382717,1000000.0,11.0,1.0,243.0,0.0,243000000.0,1.0,8.0
60,8.86259541984733,1000000.0,11.0,1.0,262.0,0.0,262000000.0,1.0,7.0
61,8.706484641638225,1000000.0,11.0,1.0,293.0,0.0,293000000.0,1.0,8.0
62,8.977443609022556,1000000.0,11.0,1.0,266.0,0.0,266000000.0,1.0,6.0
63,8.632411067193676,1000000.0,11.0,1.0,253.0,0.0,253000000.0,1.0,7.0
64,8.630597014925373,1000000.0,11.0,1.0,268.0,0.0,268000000.0,1.0,7.0
65,8.86100386100386,1000000.0,11.0,1.0,259.0,0.0,259000000.0,1.0,8.0
66,8.778688524590164,1000000.0,11.0,1.0,244.0,0.0,244000000.0,1.0,8.0
67,8.546666666666667,1000000.0,11.0,1.0,225.0,0.0,225000000.0,1.0,7.0
68,8.783783783783784,1000000.0,11.0,1.0,259.0,0.0,259000000.0,1.0,7.0
69,8.545454545454545,1000000.0,11.0,1.0,253.0,0.0,253000000.0,1.0,7.0
70,8.72340425531915,1000000.0,11.0,1.0,282.0,0.0,282000000.0,1.0,8.0
71,9.07942238267148,1000000.0,11.0,1.0,277.0,0.0,277000000.0,1.0,8.0
72,8.673469387755102,1000000.0,11.0,1.0,245.0,0.0,245000000.0,1.0,7.0
73,8.832764505119455,1000000.0,11.0,1.0,293.0,0.0,293000000.0,1.0,7.0
74,8.594202898550725,1000000.0,11.0,1.0,276.0,0.0,276000000.0,1.0,7.0
75,8.923954372623575,1000000.0,11.0,1.0,263.0,0.0,263000000.0,1.0,7.0
76,8.634146341463415,1000000.0,11.0,1.0,246.0,0.0,246000000.0,1.0,7.0
77,8.652892561983471,1000000.0,11.0,1.0,242.0,0.0,242000000.0,1.0,8.0
78,8.88030888030888,1000000.0,11.0,1.0,259.0,0.0,259000000.0,1.0,7.0
79,8.34,1000000.0,10.0,1.0,250.0,0.0,250000000.0,1.0,9.0
80,8.932489451476794,1000000.0,11.0,1.0,237.0,0.0,237000000.0,1.0,8.0
81,8.79553903345725,1000000.0,11.0,1.0,269.0,0.0,269000000.0,1.0,7.0
82,5.747787610619469,1000000.0,10.0,1.0,226.0,0.0,226000000.0,1.0,7.0
83,5.149466192170818,1000000.0,9.0,1.0,281.0,0.0,281000000.0,1.0,7.0
84,5.442906574394463,1000000.0,9.0,1.0,289.0,0.0,289000000.0,1.0,7.0
85,4.919028340080971,1000000.0,8.0,1.0,247.0,0.0,247000000.0,1.0,8.0
86,4.99537037037037,1000000.0,8.0,1.0,216.0,0.0,216000000.0,1.0,7.0
87,4.897777777777778,1000000.0,7.0,1.0,225.0,0.0,225000000.0,1.0,7.0
88,5.283636363636363,1000000.0,9.0,1.0,275.0,0.0,275000000.0,1.0,7.0
89,5.062962962962963,1000000.0,8.0,1.0,270.0,0.0,270000000.0,1.0,7.0
90,4.912751677852349,1000000.0,8.0,1.0,298.0,0.0,298000000.0,1.0,7.0
91,4.759036144578313,1000000.0,8.0,1.0,249.0,0.0,249000000.0,1.0,7.0
92,4.884297520661157,1000000.0,7.0,1.0,242.0,0.0,242000000.0,1.0,7.0
93,5.01937984496124,1000000.0,9.0,1.0,258.0,0.0,258000000.0,1.0,7.0
94,4.930769230769231,1000000.0,7.0,1.0,260.0,0.0,260000000.0,1.0,6.0
95,5.159836065573771,1000000.0,11.0,1.0,244.0,0.0,244000000.0,1.0,8.0
96,4.621004566210046,1000000.0,7.0,1.0,219.0,0.0,219000000.0,1.0,6.0
97,5.145922746781116,1000000.0,9.0,1.0,233.0,0.0,233000000.0,1.0,8.0
98,4.902877697841727,1000000.0,11.0,1.0,278.0,0.0,278000000.0,1.0,6.0
99,4.906367041198502,1000000.0,7.0,1.0,267.0,0.0,267000000.0,1.0,8.0
100,4.93050193050193,1000000.0,9.0,1.0,259.0,0.0,259000000.0,1.0,7.0
101,5.126760563380282,1000000.0,8.0,1.0,284.0,0.0,284000000.0,1.0,7.0
102,4.881889763779528,1000000.0,7.0,1.0,254.0,0.0,254000000.0,1.0,8.0
103,5.03971119133574,1000000.0,9.0,1.0,277.0,0.0,277000000.0,1.0,7.0
104,5.350746268656716,1000000.0,9.0,1.0,268.0,0.0,268000000.0,1.0,7.0
105,5.178294573643411,1000000.0,8.0,1.0,258.0,0.0,258000000.0,1.0,6.0
106,4.988,1000000.0,9.0,1.0,250.0,0.0,250000000.0,1.0,7.0
107,4.930769230769231,1000000.0,7.0,1.0,260.0,0.0,260000000.0,1.0,7.0
108,4.746666666666667,1000000.0,9.0,1.0,225.0,0.0,225000000.0,1.0,7.0
109,4.794979079497908,1000000.0,8.0,1.0,239.0,0.0,239000000.0,1.0,9.0
110,5.016597510373444,1000000.0,10.0,1.0,241.0,0.0,241000000.0,1.0,7.0
111,8.662698412698413,1000000.0,11.0,1.0,252.0,0.0,252000000.0,1.0,7.0
112,8.448717948717949,1000000.0,11.0,1.0,234.0,0.0,234000000.0,1.0,7.0
113,8.881578947368421,1000000.0,11.0,1.0,228.0,0.0,228000000.0,1.0,7.0
114,8.611940298507463,1000000.0,11.0,1.0,268.0,0.0,268000000.0,1.0,7.0
115,8.674107142857142,1000000.0,11.0,1.0,224.0,0.0,224000000.0,1.0,7.0
116,9.00398406374502,1000000.0,11.0,1.0,251.0,0.0,251000000.0,1.0,7.0
117,8.197761194029852,1000000.0,11.0,1.0,268.0,0.0,268000000.0,1.0,7.0
