idx,avg_core_id,avg_weight_ns,first_sample_time_ns,last_sample_time_ns,max_core_id,running_count,running_fraction,sample_span_ns,samples_per_bucket,sentinel_count,total_weight_ns,unique_process_count,unique_thread_count
0,8.692307692307692,1000000.0,296251791.0,496248666.0,11.0,338.0,1.0,199996875.0,338.0,0.0,338000000.0,1.0,2.0
1,9.01552795031056,1000000.0,497247541.0,696248875.0,11.0,322.0,1.0,199001334.0,322.0,0.0,322000000.0,1.0,2.0
2,8.719033232628398,1000000.0,697247791.0,896250916.0,11.0,331.0,1.0,199003125.0,331.0,0.0,331000000.0,1.0,2.0
3,8.857142857142858,1000000.0,897250916.0,1096251208.0,11.0,322.0,1.0,199000292.0,322.0,0.0,322000000.0,1.0,2.0
4,8.697885196374623,1000000.0,1097247583.0,1296248000.0,10.0,331.0,1.0,199000417.0,331.0,0.0,331000000.0,1.0,3.0
5,8.672955974842766,1000000.0,1297247666.0,1496247583.0,10.0,318.0,1.0,198999917.0,318.0,0.0,318000000.0,1.0,2.0
6,8.603715170278639,1000000.0,1497247750.0,1696247500.0,10.0,323.0,1.0,198999750.0,323.0,0.0,323000000.0,1.0,3.0
7,8.636636636636636,1000000.0,1697251625.0,1896247833.0,10.0,333.0,1.0,198996208.0,333.0,0.0,333000000.0,1.0,2.0
8,8.737951807228916,1000000.0,1897247750.0,2096251083.0,11.0,332.0,1.0,199003333.0,332.0,0.0,332000000.0,1.0,2.0
9,8.738601823708207,1000000.0,2097251000.0,2296251041.0,10.0,329.0,1.0,199000041.0,329.0,0.0,329000000.0,1.0,2.0
10,8.787781350482316,1000000.0,2297247791.0,2496251125.0,10.0,311.0,1.0,199003334.0,311.0,0.0,311000000.0,1.0,2.0
11,8.585365853658537,1000000.0,2497247708.0,2696247708.0,10.0,328.0,1.0,199000000.0,328.0,0.0,328000000.0,1.0,2.0
12,8.478395061728396,1000000.0,2697247750.0,2896251041.0,11.0,324.0,1.0,199003291.0,324.0,0.0,324000000.0,1.0,2.0
13,8.651234567901234,1000000.0,2897250916.0,3096247750.0,11.0,324.0,1.0,198996834.0,324.0,0.0,324000000.0,1.0,2.0
14,8.544891640866872,1000000.0,3097247750.0,3296247875.0,10.0,323.0,1.0,199000125.0,323.0,0.0,323000000.0,1.0,2.0
15,8.623052959501557,1000000.0,3297250958.0,3496250875.0,10.0,321.0,1.0,198999917.0,321.0,0.0,321000000.0,1.0,2.0
16,5.244372990353698,1000000.0,3497247458.0,3696251166.0,10.0,311.0,1.0,199003708.0,311.0,0.0,311000000.0,1.0,2.0
17,4.613207547169812,1000000.0,3697247750.0,3896247541.0,6.0,318.0,1.0,198999791.0,318.0,0.0,318000000.0,1.0,2.0
18,4.651651651651652,1000000.0,3897248416.0,4096247750.0,7.0,333.0,1.0,198999334.0,333.0,0.0,333000000.0,1.0,2.0
19,4.612698412698412,1000000.0,4097247833.0,4296251000.0,5.0,315.0,1.0,199003167.0,315.0,0.0,315000000.0,1.0,2.0
20,4.690184049079755,1000000.0,4297250833.0,4496247833.0,6.0,326.0,1.0,198997000.0,326.0,0.0,326000000.0,1.0,2.0
21,4.54434250764526,1000000.0,4497247750.0,4696247916.0,5.0,327.0,1.0,199000166.0,327.0,0.0,327000000.0,1.0,2.0
22,4.609756097560975,1000000.0,4697250833.0,4896247833.0,6.0,328.0,1.0,198997000.0,328.0,0.0,328000000.0,1.0,2.0
23,4.619354838709677,1000000.0,4897247541.0,5096251083.0,5.0,310.0,1.0,199003542.0,310.0,0.0,310000000.0,1.0,2.0
24,4.632530120481928,1000000.0,5097247916.0,5296251041.0,6.0,332.0,1.0,199003125.0,332.0,0.0,332000000.0,1.0,2.0
25,4.624223602484472,1000000.0,5297247583.0,5496251083.0,6.0,322.0,1.0,199003500.0,322.0,0.0,322000000.0,1.0,2.0
26,4.573170731707317,1000000.0,5497247541.0,5696251166.0,6.0,328.0,1.0,199003625.0,328.0,0.0,328000000.0,1.0,3.0
27,4.669781931464175,1000000.0,5697250875.0,5896247875.0,6.0,321.0,1.0,198997000.0,321.0,0.0,321000000.0,1.0,2.0
