idx,avg_core_id,avg_weight_ns,first_sample_time_ns,last_sample_time_ns,max_core_id,running_count,running_fraction,sample_span_ns,samples_per_bucket,sentinel_count,total_weight_ns,unique_process_count,unique_thread_count
0,6.0,1000000.0,309004291.0,509003000.0,8.0,402.0,1.0,199998709.0,402.0,0.0,402000000.0,1.0,2.0
1,6.293233082706767,1000000.0,510002666.0,709003625.0,10.0,399.0,1.0,199000959.0,399.0,0.0,399000000.0,1.0,2.0
2,7.090452261306533,1000000.0,709004333.0,909003250.0,9.0,398.0,1.0,199998917.0,398.0,0.0,398000000.0,1.0,3.0
3,7.0,1000000.0,910002666.0,1109003000.0,8.0,400.0,1.0,199000334.0,400.0,0.0,400000000.0,1.0,2.0
4,7.0,1000000.0,1110002875.0,1309003000.0,8.0,400.0,1.0,199000125.0,400.0,0.0,400000000.0,1.0,2.0
5,6.8922305764411025,1000000.0,1310002750.0,1509002666.0,8.0,399.0,1.0,198999916.0,399.0,0.0,399000000.0,1.0,2.0
6,5.99501246882793,1000000.0,1509004916.0,1709004250.0,8.0,401.0,1.0,199999334.0,401.0,0.0,401000000.0,1.0,2.0
7,6.0,1000000.0,1710002708.0,1909002875.0,8.0,400.0,1.0,199000167.0,400.0,0.0,400000000.0,1.0,2.0
8,6.0,1000000.0,1910002708.0,2109002916.0,8.0,400.0,1.0,199000208.0,400.0,0.0,400000000.0,1.0,2.0
9,6.0,1000000.0,2110002791.0,2309002833.0,8.0,400.0,1.0,199000042.0,400.0,0.0,400000000.0,1.0,2.0
10,6.0,1000000.0,2310002708.0,2509003000.0,8.0,400.0,1.0,199000292.0,400.0,0.0,400000000.0,1.0,2.0
11,6.0,1000000.0,2510002666.0,2709003166.0,8.0,400.0,1.0,199000500.0,400.0,0.0,400000000.0,1.0,2.0
12,6.0,1000000.0,2710002875.0,2909002916.0,8.0,400.0,1.0,199000041.0,400.0,0.0,400000000.0,1.0,2.0
13,6.0,1000000.0,2910002625.0,3109003083.0,8.0,400.0,1.0,199000458.0,400.0,0.0,400000000.0,1.0,2.0
14,6.0,1000000.0,3110002833.0,3309003833.0,8.0,400.0,1.0,199001000.0,400.0,0.0,400000000.0,1.0,2.0
15,6.005012531328321,1000000.0,3310002666.0,3509002791.0,8.0,399.0,1.0,199000125.0,399.0,0.0,399000000.0,1.0,2.0
16,6.440298507462686,1000000.0,3509004333.0,3709002916.0,8.0,402.0,1.0,199998583.0,402.0,0.0,402000000.0,1.0,3.0
17,7.5,1000000.0,3710002666.0,3908002916.0,8.0,398.0,1.0,198000250.0,398.0,0.0,398000000.0,1.0,2.0
18,7.5,1000000.0,3909006041.0,4108006375.0,8.0,400.0,1.0,199000334.0,400.0,0.0,400000000.0,1.0,2.0
19,7.5,1000000.0,4109006000.0,4309003041.0,8.0,402.0,1.0,199997041.0,402.0,0.0,402000000.0,1.0,2.0
20,7.1175,1000000.0,4310002875.0,4509003000.0,8.0,400.0,1.0,199000125.0,400.0,0.0,400000000.0,1.0,2.0
21,6.0,1000000.0,4510002750.0,4709002791.0,8.0,400.0,1.0,199000041.0,400.0,0.0,400000000.0,1.0,2.0
22,6.0,1000000.0,4710006041.0,4909003166.0,8.0,400.0,1.0,198997125.0,400.0,0.0,400000000.0,1.0,2.0
23,6.0,1000000.0,4910002708.0,5109003375.0,8.0,400.0,1.0,199000667.0,400.0,0.0,400000000.0,1.0,2.0
24,6.0,1000000.0,5110006083.0,5308002958.0,8.0,398.0,1.0,197996875.0,398.0,0.0,398000000.0,1.0,2.0
25,6.0,1000000.0,5309005916.0,5508002916.0,8.0,400.0,1.0,198997000.0,400.0,0.0,400000000.0,1.0,2.0
26,6.0,1000000.0,5509005916.0,5709003208.0,8.0,402.0,1.0,199997292.0,402.0,0.0,402000000.0,1.0,2.0
27,6.731155778894473,1000000.0,5710002833.0,5908006583.0,11.0,398.0,1.0,198003750.0,398.0,0.0,398000000.0,1.0,2.0
28,7.0,1000000.0,5909006041.0,6109003125.0,10.0,402.0,1.0,199997084.0,402.0,0.0,402000000.0,1.0,2.0
29,6.785,1000000.0,6110002833.0,6309003083.0,10.0,400.0,1.0,199000250.0,400.0,0.0,400000000.0,1.0,2.0
30,6.005012531328321,1000000.0,6310005958.0,6509003000.0,8.0,399.0,1.0,198997042.0,399.0,0.0,399000000.0,1.0,2.0
31,6.0,1000000.0,6510006000.0,6709003291.0,8.0,400.0,1.0,198997291.0,400.0,0.0,400000000.0,1.0,2.0
32,6.0,1000000.0,6710006666.0,6909003708.0,8.0,400.0,1.0,198997042.0,400.0,0.0,400000000.0,1.0,2.0
33,6.0,1000000.0,6910007291.0,7109003000.0,8.0,400.0,1.0,198995709.0,400.0,0.0,400000000.0,1.0,2.0
34,6.0,1000000.0,7110002750.0,7309002958.0,8.0,400.0,1.0,199000208.0,400.0,0.0,400000000.0,1.0,2.0
35,6.0,1000000.0,7310002708.0,7509002875.0,8.0,400.0,1.0,199000167.0,400.0,0.0,400000000.0,1.0,2.0
36,6.0,1000000.0,7510006125.0,7709003000.0,8.0,400.0,1.0,198996875.0,400.0,0.0,400000000.0,1.0,2.0
37,6.0,1000000.0,7710002833.0,7908002958.0,8.0,398.0,1.0,198000125.0,398.0,0.0,398000000.0,1.0,2.0
38,6.0,1000000.0,7909005916.0,8108003000.0,8.0,400.0,1.0,198997084.0,400.0,0.0,400000000.0,1.0,2.0
39,6.0,1000000.0,8109006041.0,8309002833.0,8.0,402.0,1.0,199996792.0,402.0,0.0,402000000.0,1.0,2.0
40,6.0,1000000.0,8310002583.0,8509003583.0,8.0,400.0,1.0,199001000.0,400.0,0.0,400000000.0,1.0,2.0
41,6.0,1000000.0,8510002833.0,8709003041.0,8.0,400.0,1.0,199000208.0,400.0,0.0,400000000.0,1.0,2.0
42,6.0,1000000.0,8710002791.0,8908002958.0,8.0,398.0,1.0,198000167.0,398.0,0.0,398000000.0,1.0,2.0
43,6.0,1000000.0,8909006041.0,9108006208.0,8.0,400.0,1.0,199000167.0,400.0,0.0,400000000.0,1.0,2.0
44,6.338308457711443,1000000.0,9109006041.0,9309002958.0,8.0,402.0,1.0,199996917.0,402.0,0.0,402000000.0,1.0,2.0
45,7.0,1000000.0,9310006083.0,9508002916.0,8.0,398.0,1.0,197996833.0,398.0,0.0,398000000.0,1.0,2.0
46,7.0,1000000.0,9509005875.0,9708002833.0,8.0,400.0,1.0,198996958.0,400.0,0.0,400000000.0,1.0,2.0
47,7.0,1000000.0,9709006041.0,9908003000.0,8.0,400.0,1.0,198996959.0,400.0,0.0,400000000.0,1.0,2.0
48,7.0,1000000.0,9909006000.0,10109003791.0,8.0,402.0,1.0,199997791.0,402.0,0.0,402000000.0,1.0,2.0
49,7.0,1000000.0,10110002750.0,10309003666.0,8.0,400.0,1.0,199000916.0,400.0,0.0,400000000.0,1.0,2.0
50,7.0,1000000.0,10310005833.0,10508003000.0,8.0,398.0,1.0,197997167.0,398.0,0.0,398000000.0,1.0,2.0
51,7.0,1000000.0,10509005875.0,10708003041.0,8.0,400.0,1.0,198997166.0,400.0,0.0,400000000.0,1.0,2.0
52,6.99501246882793,1000000.0,10709006000.0,10908003208.0,8.0,401.0,1.0,198997208.0,401.0,0.0,401000000.0,1.0,3.0
53,6.935,1000000.0,10909006041.0,11108003000.0,8.0,400.0,1.0,198996959.0,400.0,0.0,400000000.0,1.0,2.0
54,6.0,1000000.0,11109006000.0,11308003250.0,8.0,400.0,1.0,198997250.0,400.0,0.0,400000000.0,1.0,2.0
55,6.0,1000000.0,11309006041.0,11508003000.0,8.0,400.0,1.0,198996959.0,400.0,0.0,400000000.0,1.0,2.0
56,6.0,1000000.0,11509005958.0,11708006208.0,8.0,400.0,1.0,199000250.0,400.0,0.0,400000000.0,1.0,2.0
57,6.0,1000000.0,11709006208.0,11908003583.0,8.0,400.0,1.0,198997375.0,400.0,0.0,400000000.0,1.0,2.0
58,6.0,1000000.0,11909006208.0,12109003166.0,8.0,402.0,1.0,199996958.0,402.0,0.0,402000000.0,1.0,2.0
59,6.0,1000000.0,12110006083.0,12309002958.0,8.0,400.0,1.0,198996875.0,400.0,0.0,400000000.0,1.0,2.0
60,6.5376884422110555,1000000.0,12310004583.0,12508002916.0,8.0,398.0,1.0,197998333.0,398.0,0.0,398000000.0,1.0,2.0
61,7.0,1000000.0,12509006083.0,12708002916.0,8.0,400.0,1.0,198996833.0,400.0,0.0,400000000.0,1.0,2.0
62,7.0,1000000.0,12709006041.0,12908003000.0,8.0,400.0,1.0,198996959.0,400.0,0.0,400000000.0,1.0,2.0
63,7.0,1000000.0,12909006041.0,13108003125.0,8.0,400.0,1.0,198997084.0,400.0,0.0,400000000.0,1.0,2.0
64,7.0,1000000.0,13109005958.0,13308003666.0,8.0,400.0,1.0,198997708.0,400.0,0.0,400000000.0,1.0,2.0
65,7.0,1000000.0,13309006041.0,13509003583.0,8.0,402.0,1.0,199997542.0,402.0,0.0,402000000.0,1.0,2.0
66,7.005012531328321,1000000.0,13510002583.0,13708006333.0,9.0,399.0,1.0,198003750.0,399.0,0.0,399000000.0,1.0,3.0
67,7.0,1000000.0,13709005958.0,13909002833.0,8.0,402.0,1.0,199996875.0,402.0,0.0,402000000.0,1.0,2.0
68,7.0,1000000.0,13910005875.0,14109002958.0,8.0,400.0,1.0,198997083.0,400.0,0.0,400000000.0,1.0,2.0
69,7.0,1000000.0,14110005958.0,14309002958.0,8.0,400.0,1.0,198997000.0,400.0,0.0,400000000.0,1.0,2.0
70,7.0,1000000.0,14310006166.0,14508002916.0,8.0,398.0,1.0,197996750.0,398.0,0.0,398000000.0,1.0,2.0
71,7.0,1000000.0,14509006041.0,14708003166.0,8.0,400.0,1.0,198997125.0,400.0,0.0,400000000.0,1.0,2.0
72,6.119402985074627,1000000.0,14709006250.0,14909002958.0,8.0,402.0,1.0,199996708.0,402.0,0.0,402000000.0,1.0,2.0
73,6.0,1000000.0,14910002708.0,15109003083.0,8.0,400.0,1.0,199000375.0,400.0,0.0,400000000.0,1.0,2.0
74,6.0,1000000.0,15110002916.0,15308006416.0,8.0,398.0,1.0,198003500.0,398.0,0.0,398000000.0,1.0,2.0
75,6.0,1000000.0,15309006208.0,15508003000.0,8.0,400.0,1.0,198996792.0,400.0,0.0,400000000.0,1.0,2.0
76,6.0,1000000.0,15509006000.0,15708006500.0,8.0,400.0,1.0,199000500.0,400.0,0.0,400000000.0,1.0,2.0
77,6.022388059701493,1000000.0,15709006208.0,15909003291.0,9.0,402.0,1.0,199997083.0,402.0,0.0,402000000.0,1.0,2.0
78,6.0,1000000.0,15910002708.0,16108006083.0,8.0,398.0,1.0,198003375.0,398.0,0.0,398000000.0,1.0,2.0
79,6.0,1000000.0,16109006083.0,16309002875.0,8.0,402.0,1.0,199996792.0,402.0,0.0,402000000.0,1.0,2.0
80,6.0,1000000.0,16310006041.0,16508003083.0,8.0,398.0,1.0,197997042.0,398.0,0.0,398000000.0,1.0,2.0
81,6.0,1000000.0,16509006041.0,16709003875.0,8.0,402.0,1.0,199997834.0,402.0,0.0,402000000.0,1.0,2.0
82,6.0,1000000.0,16710006041.0,16909003291.0,8.0,400.0,1.0,198997250.0,400.0,0.0,400000000.0,1.0,2.0
