idx,avg_core_id,avg_weight_ns,max_core_id,running_fraction,samples_per_bucket,sentinel_count,total_weight_ns,unique_process_count,unique_thread_count
0,7.0,1000000.0,7.0,1.0,201.0,0.0,201000000.0,1.0,1.0
1,7.0,1000000.0,7.0,1.0,200.0,0.0,200000000.0,1.0,1.0
2,10.969696969696969,1000000.0,11.0,1.0,198.0,0.0,198000000.0,1.0,1.0
3,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
4,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
5,10.99004975124378,1000000.0,11.0,1.0,201.0,0.0,201000000.0,1.0,2.0
6,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
7,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
8,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
9,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
10,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
11,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
12,9.335,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
13,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
14,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
15,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
16,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
17,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
18,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
19,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
20,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
21,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
22,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
23,8.28,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
24,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
25,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
26,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
27,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
28,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
29,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
30,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
31,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
32,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
33,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
34,9.99004975124378,1000000.0,10.0,1.0,201.0,0.0,201000000.0,1.0,2.0
35,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
36,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
37,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
38,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
39,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
40,10.0,1000000.0,10.0,1.0,199.0,0.0,199000000.0,1.0,1.0
41,10.0,1000000.0,10.0,1.0,201.0,0.0,201000000.0,1.0,1.0
42,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
43,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
44,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
45,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
46,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
47,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
48,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
49,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
50,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
51,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
52,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
53,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
54,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
55,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
56,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
57,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
58,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
59,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
60,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
61,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
62,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
63,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
64,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
65,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
66,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
67,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
68,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
69,9.970149253731345,1000000.0,10.0,1.0,201.0,0.0,201000000.0,1.0,2.0
70,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
71,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
72,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
73,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
74,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
75,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
76,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
77,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
78,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
79,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
80,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
81,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
82,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
83,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
84,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
85,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
86,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
87,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
88,10.02,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
89,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
90,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
91,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
92,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
93,9.99502487562189,1000000.0,10.0,1.0,201.0,0.0,201000000.0,1.0,2.0
94,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
95,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
96,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
97,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
98,10.225,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
99,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
100,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
101,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
102,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
103,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
104,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
105,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
106,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
107,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
108,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
109,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
110,8.795,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
111,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
112,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
113,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
114,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
115,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
116,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
