idx,avg_core_id,avg_weight_ns,max_core_id,running_fraction,samples_per_bucket,sentinel_count,total_weight_ns,unique_process_count,unique_thread_count
0,4.838006230529595,1000000.0,7.0,1.0,321.0,0.0,321000000.0,1.0,2.0
1,5.19375,1000000.0,8.0,1.0,320.0,0.0,320000000.0,1.0,2.0
2,4.614678899082569,1000000.0,5.0,1.0,327.0,0.0,327000000.0,1.0,2.0
3,4.582554517133956,1000000.0,5.0,1.0,321.0,0.0,321000000.0,1.0,2.0
4,7.773006134969325,1000000.0,9.0,1.0,326.0,0.0,326000000.0,1.0,2.0
5,8.49375,1000000.0,10.0,1.0,320.0,0.0,320000000.0,1.0,2.0
6,8.46583850931677,1000000.0,9.0,1.0,322.0,0.0,322000000.0,1.0,2.0
7,8.63375796178344,1000000.0,9.0,1.0,314.0,0.0,314000000.0,1.0,2.0
8,8.617283950617283,1000000.0,9.0,1.0,324.0,0.0,324000000.0,1.0,2.0
9,8.625,1000000.0,9.0,1.0,320.0,0.0,320000000.0,1.0,2.0
10,8.609756097560975,1000000.0,9.0,1.0,328.0,0.0,328000000.0,1.0,2.0
11,8.626168224299066,1000000.0,9.0,1.0,321.0,0.0,321000000.0,1.0,2.0
12,8.720496894409937,1000000.0,10.0,1.0,322.0,0.0,322000000.0,1.0,2.0
13,8.441269841269841,1000000.0,9.0,1.0,315.0,0.0,315000000.0,1.0,2.0
14,8.382716049382717,1000000.0,9.0,1.0,324.0,0.0,324000000.0,1.0,2.0
15,8.373040752351097,1000000.0,9.0,1.0,319.0,0.0,319000000.0,1.0,2.0
16,8.375776397515528,1000000.0,9.0,1.0,322.0,0.0,322000000.0,1.0,2.0
17,8.381987577639752,1000000.0,9.0,1.0,322.0,0.0,322000000.0,1.0,2.0
18,8.363924050632912,1000000.0,9.0,1.0,316.0,0.0,316000000.0,1.0,2.0
19,8.386996904024768,1000000.0,9.0,1.0,323.0,0.0,323000000.0,1.0,2.0
20,8.388379204892967,1000000.0,9.0,1.0,327.0,0.0,327000000.0,1.0,2.0
21,8.663551401869158,1000000.0,11.0,1.0,321.0,0.0,321000000.0,1.0,2.0
22,8.604229607250755,1000000.0,9.0,1.0,331.0,0.0,331000000.0,1.0,2.0
23,8.64423076923077,1000000.0,10.0,1.0,312.0,0.0,312000000.0,1.0,3.0
24,8.687116564417177,1000000.0,10.0,1.0,326.0,0.0,326000000.0,1.0,2.0
25,8.628930817610064,1000000.0,9.0,1.0,318.0,0.0,318000000.0,1.0,2.0
26,8.613496932515337,1000000.0,9.0,1.0,326.0,0.0,326000000.0,1.0,2.0
27,5.322784810126582,1000000.0,9.0,1.0,316.0,0.0,316000000.0,1.0,2.0
28,4.6191950464396285,1000000.0,5.0,1.0,323.0,0.0,323000000.0,1.0,2.0
29,4.537735849056604,1000000.0,6.0,1.0,318.0,0.0,318000000.0,1.0,2.0
30,4.375,1000000.0,5.0,1.0,320.0,0.0,320000000.0,1.0,2.0
31,4.367924528301887,1000000.0,5.0,1.0,318.0,0.0,318000000.0,1.0,2.0
32,4.697530864197531,1000000.0,6.0,1.0,324.0,0.0,324000000.0,1.0,2.0
33,4.579937304075235,1000000.0,5.0,1.0,319.0,0.0,319000000.0,1.0,2.0
34,4.4818181818181815,1000000.0,5.0,1.0,330.0,0.0,330000000.0,1.0,2.0
35,4.540880503144654,1000000.0,8.0,1.0,318.0,0.0,318000000.0,1.0,2.0
36,4.386503067484663,1000000.0,5.0,1.0,326.0,0.0,326000000.0,1.0,2.0
37,4.3730407523510975,1000000.0,5.0,1.0,319.0,0.0,319000000.0,1.0,2.0
38,4.387692307692308,1000000.0,5.0,1.0,325.0,0.0,325000000.0,1.0,2.0
39,4.368589743589744,1000000.0,5.0,1.0,312.0,0.0,312000000.0,1.0,2.0
40,4.4375,1000000.0,6.0,1.0,320.0,0.0,320000000.0,1.0,2.0
41,4.610429447852761,1000000.0,5.0,1.0,326.0,0.0,326000000.0,1.0,2.0
42,4.784810126582278,1000000.0,6.0,1.0,316.0,0.0,316000000.0,1.0,2.0
43,4.604863221884498,1000000.0,5.0,1.0,329.0,0.0,329000000.0,1.0,2.0
44,4.617283950617284,1000000.0,5.0,1.0,324.0,0.0,324000000.0,1.0,2.0
45,4.62111801242236,1000000.0,8.0,1.0,322.0,0.0,322000000.0,1.0,3.0
46,5.744548286604362,1000000.0,8.0,1.0,321.0,0.0,321000000.0,1.0,2.0
47,6.701923076923077,1000000.0,8.0,1.0,312.0,0.0,312000000.0,1.0,2.0
48,5.518518518518518,1000000.0,8.0,1.0,324.0,0.0,324000000.0,1.0,2.0
49,5.544025157232705,1000000.0,8.0,1.0,318.0,0.0,318000000.0,1.0,2.0
50,5.492163009404389,1000000.0,8.0,1.0,319.0,0.0,319000000.0,1.0,2.0
51,5.732704402515723,1000000.0,9.0,1.0,318.0,0.0,318000000.0,1.0,2.0
52,5.530864197530864,1000000.0,8.0,1.0,324.0,0.0,324000000.0,1.0,2.0
53,5.5125,1000000.0,8.0,1.0,320.0,0.0,320000000.0,1.0,2.0
54,5.492163009404389,1000000.0,8.0,1.0,319.0,0.0,319000000.0,1.0,2.0
55,5.507788161993769,1000000.0,8.0,1.0,321.0,0.0,321000000.0,1.0,2.0
56,5.523219814241486,1000000.0,8.0,1.0,323.0,0.0,323000000.0,1.0,2.0
57,5.484276729559748,1000000.0,8.0,1.0,318.0,0.0,318000000.0,1.0,2.0
58,5.476340694006309,1000000.0,8.0,1.0,317.0,0.0,317000000.0,1.0,2.0
59,6.211180124223603,1000000.0,8.0,1.0,322.0,0.0,322000000.0,1.0,2.0
60,6.45398773006135,1000000.0,8.0,1.0,326.0,0.0,326000000.0,1.0,2.0
61,6.523659305993691,1000000.0,8.0,1.0,317.0,0.0,317000000.0,1.0,2.0
62,6.5125,1000000.0,8.0,1.0,320.0,0.0,320000000.0,1.0,2.0
63,6.4875,1000000.0,8.0,1.0,320.0,0.0,320000000.0,1.0,2.0
64,6.496894409937888,1000000.0,8.0,1.0,322.0,0.0,322000000.0,1.0,2.0
65,6.50314465408805,1000000.0,8.0,1.0,318.0,0.0,318000000.0,1.0,2.0
66,6.434250764525994,1000000.0,8.0,1.0,327.0,0.0,327000000.0,1.0,2.0
67,6.5,1000000.0,8.0,1.0,320.0,0.0,320000000.0,1.0,2.0
68,6.481481481481482,1000000.0,9.0,1.0,324.0,0.0,324000000.0,1.0,2.0
69,5.91640866873065,1000000.0,11.0,1.0,323.0,0.0,323000000.0,1.0,2.0
70,6.2291021671826625,1000000.0,11.0,1.0,323.0,0.0,323000000.0,1.0,2.0
71,5.813664596273292,1000000.0,10.0,1.0,322.0,0.0,322000000.0,1.0,2.0
72,6.095679012345679,1000000.0,11.0,1.0,324.0,0.0,324000000.0,1.0,2.0
73,6.374233128834356,1000000.0,11.0,1.0,326.0,0.0,326000000.0,1.0,2.0
74,6.16403785488959,1000000.0,8.0,1.0,317.0,0.0,317000000.0,1.0,2.0
75,5.509433962264151,1000000.0,8.0,1.0,318.0,0.0,318000000.0,1.0,2.0
76,5.593167701863354,1000000.0,8.0,1.0,322.0,0.0,322000000.0,1.0,3.0
77,6.507836990595611,1000000.0,8.0,1.0,319.0,0.0,319000000.0,1.0,2.0
