idx,avg_core_id,avg_weight_ns,first_sample_time_ns,last_sample_time_ns,max_core_id,running_count,running_fraction,sample_span_ns,samples_per_bucket,sentinel_count,total_weight_ns,unique_process_count,unique_thread_count
0,4.838006230529595,1000000.0,299965333.0,498964500.0,7.0,321.0,1.0,198999167.0,321.0,0.0,321000000.0,1.0,2.0
1,5.19375,1000000.0,499967958.0,698964541.0,8.0,320.0,1.0,198996583.0,320.0,0.0,320000000.0,1.0,2.0
2,4.614678899082569,1000000.0,699968208.0,899964583.0,5.0,327.0,1.0,199996375.0,327.0,0.0,327000000.0,1.0,2.0
3,4.582554517133956,1000000.0,900967958.0,1098964958.0,5.0,321.0,1.0,197997000.0,321.0,0.0,321000000.0,1.0,2.0
4,7.773006134969325,1000000.0,1099968291.0,1298971500.0,9.0,326.0,1.0,199003209.0,326.0,0.0,326000000.0,1.0,2.0
5,8.49375,1000000.0,1299968166.0,1499964458.0,10.0,320.0,1.0,199996292.0,320.0,0.0,320000000.0,1.0,2.0
6,8.46583850931677,1000000.0,1500967875.0,1699964833.0,9.0,322.0,1.0,198996958.0,322.0,0.0,322000000.0,1.0,2.0
7,8.63375796178344,1000000.0,1700967833.0,1898964458.0,9.0,314.0,1.0,197996625.0,314.0,0.0,314000000.0,1.0,2.0
8,8.617283950617283,1000000.0,1899967875.0,2098964708.0,9.0,324.0,1.0,198996833.0,324.0,0.0,324000000.0,1.0,2.0
9,8.625,1000000.0,2099968000.0,2298964458.0,9.0,320.0,1.0,198996458.0,320.0,0.0,320000000.0,1.0,2.0
10,8.609756097560975,1000000.0,2299967916.0,2499964458.0,9.0,328.0,1.0,199996542.0,328.0,0.0,328000000.0,1.0,2.0
11,8.626168224299066,1000000.0,2499967708.0,2699964500.0,9.0,321.0,1.0,199996792.0,321.0,0.0,321000000.0,1.0,2.0
12,8.720496894409937,1000000.0,2700967875.0,2899964875.0,10.0,322.0,1.0,198997000.0,322.0,0.0,322000000.0,1.0,2.0
13,8.441269841269841,1000000.0,2900967916.0,3098964500.0,9.0,315.0,1.0,197996584.0,315.0,0.0,315000000.0,1.0,2.0
14,8.382716049382717,1000000.0,3099967791.0,3298964708.0,9.0,324.0,1.0,198996917.0,324.0,0.0,324000000.0,1.0,2.0
15,8.373040752351097,1000000.0,3299968083.0,3498965333.0,9.0,319.0,1.0,198997250.0,319.0,0.0,319000000.0,1.0,2.0
16,8.375776397515528,1000000.0,3499967958.0,3699964458.0,9.0,322.0,1.0,199996500.0,322.0,0.0,322000000.0,1.0,2.0
17,8.381987577639752,1000000.0,3700968041.0,3898968041.0,9.0,322.0,1.0,198000000.0,322.0,0.0,322000000.0,1.0,2.0
18,8.363924050632912,1000000.0,3899967833.0,4099964500.0,9.0,316.0,1.0,199996667.0,316.0,0.0,316000000.0,1.0,2.0
19,8.386996904024768,1000000.0,4100967791.0,4298964916.0,9.0,323.0,1.0,197997125.0,323.0,0.0,323000000.0,1.0,2.0
20,8.388379204892967,1000000.0,4299968000.0,4498964583.0,9.0,327.0,1.0,198996583.0,327.0,0.0,327000000.0,1.0,2.0
21,8.663551401869158,1000000.0,4499967958.0,4698964500.0,11.0,321.0,1.0,198996542.0,321.0,0.0,321000000.0,1.0,2.0
22,8.604229607250755,1000000.0,4699967916.0,4899964666.0,9.0,331.0,1.0,199996750.0,331.0,0.0,331000000.0,1.0,2.0
23,8.64423076923077,1000000.0,4899967875.0,5098965375.0,10.0,312.0,1.0,198997500.0,312.0,0.0,312000000.0,1.0,3.0
24,8.687116564417177,1000000.0,5099967791.0,5298964541.0,10.0,326.0,1.0,198996750.0,326.0,0.0,326000000.0,1.0,2.0
25,8.628930817610064,1000000.0,5299968000.0,5498964541.0,9.0,318.0,1.0,198996541.0,318.0,0.0,318000000.0,1.0,2.0
26,8.613496932515337,1000000.0,5499967791.0,5698964500.0,9.0,326.0,1.0,198996709.0,326.0,0.0,326000000.0,1.0,2.0
27,5.322784810126582,1000000.0,5699967875.0,5898967958.0,9.0,316.0,1.0,199000083.0,316.0,0.0,316000000.0,1.0,2.0
28,4.6191950464396285,1000000.0,5899968000.0,6098967958.0,5.0,323.0,1.0,198999958.0,323.0,0.0,323000000.0,1.0,2.0
29,4.537735849056604,1000000.0,6099967958.0,6298964458.0,6.0,318.0,1.0,198996500.0,318.0,0.0,318000000.0,1.0,2.0
30,4.375,1000000.0,6299967875.0,6498964625.0,5.0,320.0,1.0,198996750.0,320.0,0.0,320000000.0,1.0,2.0
31,4.367924528301887,1000000.0,6499967750.0,6699964875.0,5.0,318.0,1.0,199997125.0,318.0,0.0,318000000.0,1.0,2.0
32,4.697530864197531,1000000.0,6700968041.0,6898968125.0,6.0,324.0,1.0,198000084.0,324.0,0.0,324000000.0,1.0,2.0
