idx,avg_core_id,avg_weight_ns,first_sample_time_ns,last_sample_time_ns,max_core_id,running_count,running_fraction,sample_span_ns,samples_per_bucket,sentinel_count,total_weight_ns,unique_process_count,unique_thread_count
0,8.894495412844037,1000000.0,286944291.0,485947083.0,11.0,218.0,1.0,199002792.0,218.0,0.0,218000000.0,1.0,2.0
1,9.018433179723502,1000000.0,486947041.0,685943916.0,11.0,217.0,1.0,198996875.0,217.0,0.0,217000000.0,1.0,2.0
2,8.663551401869158,1000000.0,686948416.0,886943750.0,10.0,214.0,1.0,199995334.0,214.0,0.0,214000000.0,1.0,2.0
3,8.827102803738319,1000000.0,887947166.0,1086943708.0,10.0,214.0,1.0,198996542.0,214.0,0.0,214000000.0,1.0,2.0
4,9.009389671361502,1000000.0,1087947125.0,1286943625.0,11.0,213.0,1.0,198996500.0,213.0,0.0,213000000.0,1.0,2.0
5,8.797169811320755,1000000.0,1287947000.0,1486943666.0,10.0,212.0,1.0,198996666.0,212.0,0.0,212000000.0,1.0,2.0
6,8.849765258215962,1000000.0,1487947083.0,1686943666.0,10.0,213.0,1.0,198996583.0,213.0,0.0,213000000.0,1.0,2.0
7,6.76036866359447,1000000.0,1687946958.0,1886943666.0,9.0,217.0,1.0,198996708.0,217.0,0.0,217000000.0,1.0,2.0
8,4.873831775700935,1000000.0,1887947083.0,2086943750.0,7.0,214.0,1.0,198996667.0,214.0,0.0,214000000.0,1.0,2.0
9,4.796380090497737,1000000.0,2087947083.0,2286944000.0,6.0,221.0,1.0,198996917.0,221.0,0.0,221000000.0,1.0,2.0
10,4.657276995305164,1000000.0,2287943750.0,2486943791.0,6.0,213.0,1.0,199000041.0,213.0,0.0,213000000.0,1.0,3.0
11,4.874418604651162,1000000.0,2487943833.0,2686943625.0,6.0,215.0,1.0,198999792.0,215.0,0.0,215000000.0,1.0,2.0
12,4.746543778801843,1000000.0,2687943666.0,2886943833.0,5.0,217.0,1.0,199000167.0,217.0,0.0,217000000.0,1.0,2.0
13,4.692660550458716,1000000.0,2887947083.0,3086943666.0,6.0,218.0,1.0,198996583.0,218.0,0.0,218000000.0,1.0,2.0
14,4.901408450704225,1000000.0,3087947083.0,3285944125.0,6.0,213.0,1.0,197997042.0,213.0,0.0,213000000.0,1.0,2.0
15,4.824884792626728,1000000.0,3286947000.0,3485943750.0,6.0,217.0,1.0,198996750.0,217.0,0.0,217000000.0,1.0,2.0
16,4.954545454545454,1000000.0,3486947083.0,3686943875.0,8.0,220.0,1.0,199996792.0,220.0,0.0,220000000.0,1.0,2.0
17,4.837209302325581,1000000.0,3687943833.0,3885947000.0,6.0,215.0,1.0,198003167.0,215.0,0.0,215000000.0,1.0,2.0
18,4.644549763033176,1000000.0,3886947125.0,4086943875.0,5.0,211.0,1.0,199996750.0,211.0,0.0,211000000.0,1.0,2.0
19,4.759433962264151,1000000.0,4087947083.0,4286943916.0,6.0,212.0,1.0,198996833.0,212.0,0.0,212000000.0,1.0,2.0
20,4.855140186915888,1000000.0,4287947083.0,4486943666.0,7.0,214.0,1.0,198996583.0,214.0,0.0,214000000.0,1.0,2.0
21,5.093457943925234,1000000.0,4487943791.0,4686943708.0,7.0,214.0,1.0,198999917.0,214.0,0.0,214000000.0,1.0,2.0
22,4.834905660377358,1000000.0,4687947083.0,4886943875.0,6.0,212.0,1.0,198996792.0,212.0,0.0,212000000.0,1.0,2.0
23,4.693023255813953,1000000.0,4887947041.0,5086943833.0,6.0,215.0,1.0,198996792.0,215.0,0.0,215000000.0,1.0,3.0
24,4.826923076923077,1000000.0,5087947166.0,5285947125.0,6.0,208.0,1.0,197999959.0,208.0,0.0,208000000.0,1.0,2.0
25,4.79372197309417,1000000.0,5286946958.0,5486943708.0,6.0,223.0,1.0,199996750.0,223.0,0.0,223000000.0,1.0,2.0
