idx,cpu0_pct,cpu10_pct,cpu11_pct,cpu1_pct,cpu2_pct,cpu3_pct,cpu4_pct,cpu5_pct,cpu6_pct,cpu7_pct,cpu8_pct,cpu9_pct,cpu_freq_current_mhz,cpu_freq_max_mhz,cpu_freq_min_mhz,cpu_pct,cpu_times_idle_pct,cpu_times_nice_pct,cpu_times_system_pct,cpu_times_user_pct,ctx_switches,disk_read_Bps,disk_read_IOPS,disk_write_Bps,disk_write_IOPS,interrupts,load1,load15,load5,mem_active_bytes,mem_available_bytes,mem_free_bytes,mem_inactive_bytes,mem_percent,mem_total_bytes,mem_used_bytes,mem_wired_bytes,net_recv_Bps,net_recv_Pps,net_sent_Bps,net_sent_Pps,pids_count,soft_interrupts,swap_free_bytes,swap_percent,swap_sin_bytes,swap_sout_bytes,swap_total_bytes,swap_used_bytes,syscalls,t_rel_s,ts_unix_s,uptime_s
0,11.9,7.3,0.0,9.5,9.3,7.1,0.0,0.0,0.0,0.0,58.5,7.0,3504.0,3504.0,702.0,10.6,89.4,0.0,1.5,9.1,15544.0,254842.4303120343,57.431437119599074,294048.9580523473,19.143812373199697,150605.0,2.11865234375,2.10498046875,2.05029296875,3040935936.0,3457581056.0,254017536.0,3202875392.0,79.9,17179869184.0,5508448256.0,2467512320.0,49008.15967539121,76.57524949279878,9801.631935078243,57.431437119599074,554.0,1193620496.0,1500184576.0,90.7,3924267286528.0,40964374528.0,16106127360.0,14605942784.0,195488.0,0.0822336673736572,1771727453.29714,274037.29714107513
1,28.6,14.3,0.0,20.0,19.0,10.0,0.0,4.8,9.5,4.8,47.6,25.0,3504.0,3504.0,702.0,15.3,84.7,0.0,1.2,14.1,15263.0,254842.4303120343,57.431437119599074,294048.9580523473,19.143812373199697,150605.0,2.11865234375,2.10498046875,2.05029296875,3040935936.0,3457581056.0,254017536.0,3202875392.0,79.9,17179869184.0,5508448256.0,2467512320.0,49008.15967539121,76.57524949279878,9801.631935078243,57.431437119599074,554.0,1193620571.0,1500184576.0,90.7,3924267286528.0,40964374528.0,16106127360.0,14605942784.0,195486.0,0.2911789417266845,1771727453.5060852,274037.50608587265
2,15.0,13.6,4.8,9.5,9.1,9.1,5.0,0.0,0.0,0.0,61.9,14.3,3504.0,3504.0,702.0,11.9,88.1,0.0,1.6,10.3,15185.0,468317.3074003149,114.33528012703,0.0,0.0,150605.0,2.11865234375,2.10498046875,2.05029296875,3040935936.0,3457581056.0,254017536.0,3202875392.0,79.9,17179869184.0,5508448256.0,2467512320.0,0.0,0.0,0.0,4.763970005292916,554.0,1193620577.0,1500184576.0,90.7,3924267286528.0,40964374528.0,16106127360.0,14605942784.0,195486.0,0.5010879039764404,1771727453.715994,274037.7159948349
3,21.7,4.8,13.6,9.1,4.8,0.0,0.0,0.0,0.0,0.0,47.8,36.4,3504.0,3504.0,702.0,11.7,88.3,0.0,1.1,10.6,14924.0,0.0,0.0,0.0,0.0,150605.0,2.11865234375,2.10498046875,2.05029296875,3040935936.0,3457581056.0,254017536.0,3202875392.0,79.9,17179869184.0,5508448256.0,2467512320.0,36769.22573009299,44.88430875255492,4596.153216261624,31.41901612678845,554.0,1193620635.0,1500184576.0,90.7,3924267286528.0,40964374528.0,16106127360.0,14605942784.0,195486.0,0.7238829135894775,1771727453.9387891,274037.9387898445
4,12.9,9.7,6.5,12.5,9.7,9.4,10.0,9.7,3.2,0.0,43.3,27.3,3504.0,3504.0,702.0,12.8,87.2,0.0,1.3,11.5,14924.0,4626859.767141755,152.7352475949083,0.0,0.0,150605.0,2.11865234375,2.10498046875,2.05029296875,3040935936.0,3457581056.0,254017536.0,3202875392.0,79.9,17179869184.0,5508448256.0,2467512320.0,42358.5753329879,38.18381189872707,3258.3519486913765,15.909921624469613,554.0,1193620635.0,1500184576.0,90.7,3924267286528.0,40964374528.0,16106127360.0,14605942784.0,195486.0,1.038151741027832,1771727454.253058,274038.2530591488
5,14.3,6.9,0.0,10.3,17.9,6.9,6.9,3.4,3.4,3.3,48.3,37.0,3504.0,3504.0,702.0,13.1,86.9,0.0,1.5,11.6,13442.0,0.0,0.0,0.0,0.0,150610.0,2.11865234375,2.10498046875,2.05029296875,3082813440.0,3423092736.0,219594752.0,3202826240.0,80.1,17179869184.0,5550407680.0,2467594240.0,10737.65983734634,17.476659891514227,3579.2199457821134,24.46732384811992,554.0,1193620848.0,1500184576.0,90.7,3924267286528.0,40964374528.0,16106127360.0,14605942784.0,195485.0,1.3242487907409668,1771727454.539155,274038.5391550064
6,44.8,41.9,25.8,48.3,48.4,41.4,32.3,26.7,13.8,6.7,56.7,64.5,3504.0,3504.0,702.0,37.7,62.3,0.0,8.0,29.6,5239.0,32792514.554232907,1369.0033023577298,164924.63313109594,6.710800501753577,150700.0,2.11865234375,2.10498046875,2.05029296875,3265527808.0,3311943680.0,74645504.0,3226042368.0,80.7,17179869184.0,5734596608.0,2469068800.0,13743.719427591326,40.26480301052147,10307.789570693496,40.26480301052147,558.0,1193624781.0,1500184576.0,90.7,3924271382528.0,40964423680.0,16106127360.0,14605942784.0,196902.0,1.6222758293151855,1771727454.837182,274038.837182045
7,57.1,42.1,35.0,38.1,40.0,38.1,10.0,9.5,5.0,0.0,47.6,52.6,3504.0,3504.0,702.0,31.1,68.9,0.0,7.4,23.8,5171.0,28106068.018800437,1880.7593695664104,421290.0987828759,48.97810858245861,150701.0,2.11865234375,2.10498046875,2.05029296875,3265527808.0,3311943680.0,74645504.0,3226042368.0,80.7,17179869184.0,5734596608.0,2469068800.0,35107.50823190633,44.08029772421275,0.0,34.284676007721025,558.0,1193627480.0,1500184576.0,90.7,3924271382528.0,40964423680.0,16106127360.0,14605942784.0,196635.0,1.8264477252960205,1771727455.041354,274039.04135489464
8,63.6,54.5,9.5,38.1,20.0,23.8,0.0,0.0,4.5,0.0,60.0,50.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,4945.0,38421908.28273371,2222.024729273357,0.0,0.0,149709.0,2.11865234375,2.10498046875,2.05029296875,3265527808.0,3311943680.0,74645504.0,3226042368.0,80.7,17179869184.0,5734596608.0,2469068800.0,14132.62933401191,23.002326389993343,4710.876444670636,13.801395833996006,560.0,1193629383.0,1500184576.0,90.7,3924271382528.0,40964423680.0,16106127360.0,14605942784.0,196464.0,2.0438168048858643,1771727455.258723,274039.25872421265
9,42.9,40.9,13.0,40.9,43.5,36.4,8.7,0.0,0.0,0.0,82.6,57.1,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,7093.0,985463.4839492528,78.65496932813109,75804.88338071175,9.25352580330954,149747.0,2.11865234375,2.10498046875,2.05029296875,3265527808.0,3311943680.0,74645504.0,3226042368.0,80.7,17179869184.0,5734596608.0,2469068800.0,9475.610422588969,32.38734031158339,4737.805211294484,18.50705160661908,558.0,1193631737.0,1500184576.0,90.7,3924271382528.0,40964423680.0,16106127360.0,14605942784.0,194970.0,2.259950637817383,1771727455.4748569,274039.4748580456
10,9.5,9.1,13.6,9.5,19.0,4.8,0.0,0.0,0.0,0.0,61.9,21.7,3504.0,3504.0,702.0,23.4,76.6,0.0,4.6,18.7,11526.0,761176.6855245867,27.19524171796113,0.0,0.0,149705.0,2.02880859375,2.09814453125,2.03271484375,3190816768.0,3350265856.0,174194688.0,3161391104.0,80.5,17179869184.0,5643583488.0,2452766720.0,0.0,4.532540286326856,4641.3212531987,13.597620858980566,557.0,1193631760.0,1500184576.0,90.7,3924276625408.0,40964456448.0,16106127360.0,14605942784.0,192956.0,2.4805777072906494,1771727455.695484,274039.69548487663
11,12.5,17.4,4.3,4.3,4.3,8.3,0.0,0.0,4.3,0.0,50.0,26.1,3504.0,3504.0,702.0,11.2,88.8,0.0,1.4,9.7,11333.0,0.0,0.0,0.0,0.0,149705.0,2.02880859375,2.09814453125,2.03271484375,3193634816.0,3348398080.0,171032576.0,3162685440.0,80.5,17179869184.0,5646401536.0,2452766720.0,53374.074492300366,69.4974928285161,4447.8395410250305,47.77952631960482,557.0,1193631827.0,1500184576.0,90.7,3924276625408.0,40964456448.0,16106127360.0,14605942784.0,193035.0,2.7108027935028076,1771727455.925709,274039.92570900917
12,9.5,9.5,4.8,9.5,4.8,5.0,23.8,13.6,4.8,0.0,38.1,15.0,3504.0,3504.0,702.0,11.6,88.4,0.0,0.8,10.8,11363.0,0.0,0.0,276903.8940637671,38.630565578092515,149699.0,2.02880859375,2.09814453125,2.03271484375,3193864192.0,3348971520.0,171524096.0,3162767360.0,80.5,17179869184.0,5646532608.0,2452668416.0,0.0,0.0,0.0,0.0,557.0,1193631850.0,1500184576.0,90.7,3924276625408.0,40964456448.0,16106127360.0,14605942784.0,193040.0,2.9178926944732666,1771727456.132799,274040.13279891014
13,5.0,0.0,0.0,9.5,9.5,4.5,38.1,35.0,14.3,9.5,0.0,0.0,3504.0,3504.0,702.0,10.3,89.7,0.0,1.2,9.1,11356.0,0.0,0.0,0.0,0.0,149699.0,2.02880859375,2.09814453125,2.03271484375,3193913344.0,3348905984.0,171409408.0,3162816512.0,80.5,17179869184.0,5646581760.0,2452668416.0,58130.56756348281,56.76813238621368,4844.213963623567,23.6533884942557,557.0,1193631890.0,1500184576.0,90.7,3924276625408.0,40964456448.0,16106127360.0,14605942784.0,193043.0,3.1292788982391357,1771727456.344185,274040.3441851139
14,23.1,0.0,0.0,16.0,11.5,4.2,56.0,23.1,11.5,8.0,0.0,0.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,11310.0,0.0,0.0,0.0,0.0,149699.0,2.02880859375,2.09814453125,2.03271484375,3194044416.0,3348185088.0,170655744.0,3162849280.0,80.5,17179869184.0,5646712832.0,2452668416.0,0.0,7.873463058977237,0.0,11.810194588465857,557.0,1193631900.0,1500184576.0,90.7,3924276625408.0,40964456448.0,16106127360.0,14605942784.0,193045.0,3.3832967281341553,1771727456.598203,274040.5982029438
15,9.1,0.0,0.0,9.1,0.0,8.7,59.1,22.7,9.1,8.7,0.0,0.0,3504.0,3504.0,702.0,11.8,88.2,0.0,0.9,10.9,11343.0,0.0,0.0,0.0,0.0,149699.0,2.02880859375,2.09814453125,2.03271484375,3194044416.0,3348676608.0,171180032.0,3162800128.0,80.5,17179869184.0,5646712832.0,2452668416.0,22717.074251282906,39.932357082333226,9086.82970051316,44.36928564703692,557.0,1193631910.0,1500184576.0,90.7,3924276625408.0,40964456448.0,16106127360.0,14605942784.0,193042.0,3.608677864074707,1771727456.823584,274040.82358407974
16,16.0,0.0,0.0,12.0,7.7,4.0,52.0,26.9,12.0,0.0,0.0,3.8,3504.0,3504.0,702.0,11.2,88.8,0.0,1.0,10.2,11370.0,0.0,0.0,0.0,0.0,149699.0,2.02880859375,2.09814453125,2.03271484375,3194322944.0,3349299200.0,171622400.0,3162980352.0,80.5,17179869184.0,5646991360.0,2452668416.0,0.0,11.848204819163662,4044.187244941196,15.797606425551548,557.0,1193631914.0,1500184576.0,90.7,3924276625408.0,40964456448.0,16106127360.0,14605942784.0,193053.0,3.8618807792663574,1771727457.076787,274041.07678699493
