idx,cpu0_pct,cpu10_pct,cpu11_pct,cpu1_pct,cpu2_pct,cpu3_pct,cpu4_pct,cpu5_pct,cpu6_pct,cpu7_pct,cpu8_pct,cpu9_pct,cpu_freq_current_mhz,cpu_freq_max_mhz,cpu_freq_min_mhz,cpu_pct,cpu_times_idle_pct,cpu_times_nice_pct,cpu_times_system_pct,cpu_times_user_pct,ctx_switches,disk_read_Bps,disk_read_IOPS,disk_write_Bps,disk_write_IOPS,interrupts,load1,load15,load5,mem_active_bytes,mem_available_bytes,mem_free_bytes,mem_inactive_bytes,mem_percent,mem_total_bytes,mem_used_bytes,mem_wired_bytes,net_recv_Bps,net_recv_Pps,net_sent_Bps,net_sent_Pps,pids_count,soft_interrupts,swap_free_bytes,swap_percent,swap_sin_bytes,swap_sout_bytes,swap_total_bytes,swap_used_bytes,syscalls,t_rel_s,ts_unix_s,uptime_s
0,97.1,0.0,0.0,97.1,100.0,97.1,29.4,50.0,3.0,0.0,0.0,0.0,3504.0,3504.0,702.0,42.0,58.0,0.0,7.6,34.4,21845.0,38145634.04099508,2885.2846396158625,273026.0105183697,38.089566199549346,151015.0,2.59716796875,1.892578125,1.91748046875,2981756928.0,3216670720.0,255541248.0,2858729472.0,81.3,17179869184.0,5455986688.0,2474229760.0,24377.32236771158,57.134349299324015,4875.464473542316,47.61195774943668,547.0,1191276430.0,1572143104.0,90.2,3914536697856.0,40622030848.0,16106127360.0,14533984256.0,174483.0,0.0075199604034423,1771725340.383582,271924.38358187675
1,100.0,0.0,0.0,100.0,100.0,95.0,35.0,52.4,9.5,0.0,0.0,0.0,3504.0,3504.0,702.0,40.6,59.4,0.0,9.6,30.9,19995.0,38145634.04099508,2885.2846396158625,273026.0105183697,38.089566199549346,151553.0,2.59716796875,1.892578125,1.91748046875,3000778752.0,3190718464.0,215924736.0,2863087616.0,81.4,17179869184.0,5483823104.0,2483044352.0,24377.32236771158,57.134349299324015,4875.464473542316,47.61195774943668,548.0,1191277320.0,1572143104.0,90.2,3914542776320.0,40622030848.0,16106127360.0,14533984256.0,174749.0,0.2175512313842773,1771725340.5936131,271924.59361314774
2,75.0,0.0,0.0,63.6,57.1,61.9,33.3,71.4,0.0,0.0,0.0,0.0,3504.0,3504.0,702.0,30.3,69.7,0.0,6.4,23.9,19158.0,29587290.707039677,3532.640848418358,28271863.714755896,1183.9379776924484,151704.0,2.59716796875,1.892578125,1.91748046875,3003924480.0,3186638848.0,202309632.0,2872721408.0,81.5,17179869184.0,5489442816.0,2485518336.0,98166.19345401353,100.65869445968184,9816.619345401354,57.51925397696105,548.0,1191277478.0,1572143104.0,90.2,3914546397184.0,40622030848.0,16106127360.0,14533984256.0,175337.0,0.4261770248413086,1771725340.802239,271924.8022389412
3,90.9,0.0,0.0,90.0,90.5,85.0,25.0,71.4,0.0,0.0,0.0,0.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,18407.0,37436950.219876006,1888.0504163853252,39057.85103795097,9.535608163562248,151737.0,2.59716796875,1.892578125,1.91748046875,3013967872.0,3176366080.0,178962432.0,2874753024.0,81.5,17179869184.0,5500026880.0,2486059008.0,78115.70207590194,185.94435918946385,43940.082417694844,190.71216327124495,549.0,1191278087.0,1572143104.0,90.2,3914553786368.0,40622030848.0,16106127360.0,14533984256.0,175461.0,0.6359171867370605,1771725341.011979,271925.0119791031
4,90.5,0.0,0.0,90.9,86.4,86.4,39.1,63.6,0.0,0.0,0.0,0.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,17704.0,30560852.989708167,1714.730353999566,24855407.237470597,776.9153614636103,151754.0,2.59716796875,1.892578125,1.91748046875,3024732160.0,3165241344.0,161529856.0,2875162624.0,81.6,17179869184.0,5511069696.0,2486337536.0,65904.48888723264,110.33117559246536,23537.317459725946,101.13691095975992,549.0,1191278430.0,1572143104.0,90.2,3914559668224.0,40622030848.0,16106127360.0,14533984256.0,175486.0,0.8534440994262695,1771725341.229506,271925.2295060158
5,85.7,0.0,0.0,85.7,85.7,81.0,65.0,38.1,0.0,0.0,0.0,0.0,3504.0,3504.0,702.0,37.3,62.7,0.0,8.7,28.6,17504.0,42964826.331102535,4252.735938242571,1414952.0020033768,121.37336376982093,151763.0,2.59716796875,1.892578125,1.91748046875,3028434944.0,3161931776.0,147324928.0,2875113472.0,81.6,17179869184.0,5514919936.0,2486484992.0,76483.89200018253,70.02309448258899,9560.486500022816,46.68206298839266,549.0,1191278637.0,1572143104.0,90.2,3914566156288.0,40622030848.0,16106127360.0,14533984256.0,175483.0,1.0676591396331787,1771725341.443721,271925.443721056
6,90.5,0.0,0.0,95.2,90.0,90.5,57.1,38.1,4.8,0.0,0.0,0.0,3504.0,3504.0,702.0,38.8,61.2,0.0,12.8,26.0,15599.0,112769496.1299252,6023.896216106909,315825.6499350259,48.19116972885527,151793.0,2.59716796875,1.892578125,1.91748046875,3055173632.0,3136995328.0,102219776.0,2881372160.0,81.7,17179869184.0,5542150144.0,2486976512.0,29608.65468140868,86.7441055119395,14804.32734070434,77.10587156616843,549.0,1191279837.0,1572143104.0,90.2,3914589388800.0,40622030848.0,16106127360.0,14533984256.0,175865.0,1.2751660346984863,1771725341.651228,271925.65122795105
7,100.0,0.0,0.0,95.2,95.5,95.5,52.4,45.0,0.0,0.0,0.0,0.0,3504.0,3504.0,702.0,40.7,59.3,0.0,12.3,28.5,15065.0,20048410.593500152,1637.892250426546,19502.344935311434,4.761314681472518,151795.0,2.59716796875,1.892578125,1.91748046875,3064791040.0,3128147968.0,87916544.0,2881273856.0,81.8,17179869184.0,5551800320.0,2487009280.0,146267.58701483574,166.64601385153813,24377.93116913929,123.79418171828546,549.0,1191280279.0,1572143104.0,90.2,3914595991552.0,40622030848.0,16106127360.0,14533984256.0,175859.0,1.4851911067962646,1771725341.861253,271925.8612539768
8,100.0,0.0,0.0,100.0,100.0,100.0,54.5,50.0,0.0,0.0,0.0,0.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,13813.0,29127002.39801952,1633.817323811926,0.0,0.0,151842.0,2.59716796875,1.892578125,1.91748046875,3078356992.0,3114418176.0,59572224.0,2888073216.0,81.9,17179869184.0,5566136320.0,2487779328.0,23968.89598257038,46.81424996595777,9587.558393028152,51.495674962553544,551.0,1191281170.0,1572143104.0,90.2,3914602348544.0,40622030848.0,16106127360.0,14533984256.0,176274.0,1.6988012790679932,1771725342.0748632,271926.0748641491
9,100.0,0.0,0.0,100.0,100.0,100.0,18.2,71.4,13.6,0.0,0.0,0.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,14029.0,22765318.398786463,1438.9039921172591,56489.62381832869,13.791412065021651,151859.0,2.59716796875,1.892578125,1.91748046875,3078356992.0,3114418176.0,59572224.0,2888073216.0,81.9,17179869184.0,5566136320.0,2487779328.0,23537.343257636952,55.16564826008661,4707.468651527391,50.56851090507939,551.0,1191281816.0,1572143104.0,90.2,3914602348544.0,40622030848.0,16106127360.0,14533984256.0,176170.0,1.916327953338623,1771725342.29239,271926.29239082336
