idx,cpu0_pct,cpu10_pct,cpu11_pct,cpu1_pct,cpu2_pct,cpu3_pct,cpu4_pct,cpu5_pct,cpu6_pct,cpu7_pct,cpu8_pct,cpu9_pct,cpu_freq_current_mhz,cpu_freq_max_mhz,cpu_freq_min_mhz,cpu_pct,cpu_times_idle_pct,cpu_times_nice_pct,cpu_times_system_pct,cpu_times_user_pct,ctx_switches,disk_read_Bps,disk_read_IOPS,disk_write_Bps,disk_write_IOPS,interrupts,load1,load15,load5,mem_active_bytes,mem_available_bytes,mem_free_bytes,mem_inactive_bytes,mem_percent,mem_total_bytes,mem_used_bytes,mem_wired_bytes,net_recv_Bps,net_recv_Pps,net_sent_Bps,net_sent_Pps,pids_count,soft_interrupts,swap_free_bytes,swap_percent,swap_sin_bytes,swap_sout_bytes,swap_total_bytes,swap_used_bytes,syscalls,t_rel_s,ts_unix_s,uptime_s
0,21.9,0.0,0.0,19.4,18.2,18.2,0.0,0.0,0.0,0.0,0.0,0.0,3504.0,3504.0,702.0,6.6,93.4,0.0,2.0,4.6,4132.0,1111671.519927164,152.36725876194683,0.0,0.0,161844.0,1.42041015625,2.41259765625,1.70703125,3573841920.0,3618193408.0,63389696.0,3550461952.0,78.9,17179869184.0,6225494016.0,2651652096.0,126769.55928993976,133.32135141670346,9751.504560764595,90.46805988990592,542.0,1189120953.0,1275461632.0,92.1,3912083357696.0,40572452864.0,16106127360.0,14830665728.0,216703.0,0.0030138492584228,1771723223.860704,269807.86070513725
1,23.8,4.8,0.0,23.8,10.0,9.5,0.0,0.0,0.0,0.0,100.0,9.5,3504.0,3504.0,702.0,15.1,84.9,0.0,4.4,10.8,4128.0,1111671.519927164,152.36725876194683,0.0,0.0,161792.0,1.42041015625,2.41259765625,1.70703125,3573841920.0,3618193408.0,63389696.0,3550461952.0,78.9,17179869184.0,6225494016.0,2651652096.0,126769.55928993976,133.32135141670346,9751.504560764595,90.46805988990592,542.0,1189127482.0,1275461632.0,92.1,3912083357696.0,40572452864.0,16106127360.0,14830665728.0,215035.0,0.21303391456604,1771723224.070724,269808.07072401047
2,25.0,4.8,4.8,19.0,33.3,15.0,4.5,0.0,0.0,0.0,100.0,14.3,3504.0,3504.0,702.0,18.0,82.0,0.0,6.8,11.2,13118.0,858136.2980568273,76.1839753246473,273043.367563536,38.09198766232365,153750.0,1.42041015625,2.41259765625,1.70703125,3573841920.0,3618193408.0,63389696.0,3550461952.0,78.9,17179869184.0,6225494016.0,2651652096.0,43881.96978699685,90.46847069801868,14627.323262332284,99.9914676135996,543.0,1189136094.0,1275461632.0,92.1,3912083357696.0,40572452864.0,16106127360.0,14830665728.0,211888.0,0.423051118850708,1771723224.2807412,269808.28074193
3,21.7,0.0,0.0,23.8,9.5,4.8,0.0,0.0,0.0,0.0,4.5,100.0,3504.0,3504.0,702.0,13.7,86.3,0.0,2.0,11.8,12757.0,624062.994662459,71.41834197949893,1092110.2406593033,71.41834197949893,153750.0,1.42041015625,2.41259765625,1.70703125,3573841920.0,3618193408.0,63389696.0,3550461952.0,78.9,17179869184.0,6225494016.0,2651652096.0,102385.33506180967,104.74690156993178,9750.984291600922,66.65711918086568,543.0,1189136257.0,1275461632.0,92.1,3912083357696.0,40572452864.0,16106127360.0,14830665728.0,212311.0,0.6330809593200684,1771723224.490771,269808.4907720089
4,14.3,0.0,0.0,9.5,15.0,9.5,0.0,0.0,0.0,0.0,100.0,4.5,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,12757.0,0.0,0.0,0.0,0.0,153750.0,1.42041015625,2.41259765625,1.70703125,3573841920.0,3618193408.0,63389696.0,3550461952.0,78.9,17179869184.0,6225494016.0,2651652096.0,43879.87760991054,95.22542884095168,9751.083913313452,76.18034307276135,543.0,1189136257.0,1275461632.0,92.1,3912083357696.0,40572452864.0,16106127360.0,14830665728.0,212311.0,0.8431088924407959,1771723224.700799,269808.700799942
5,10.0,0.0,0.0,9.5,9.1,4.5,0.0,0.0,0.0,0.0,0.0,100.0,3504.0,3504.0,702.0,11.9,88.1,0.0,1.2,10.7,12609.0,0.0,0.0,0.0,0.0,153701.0,1.42041015625,2.41259765625,1.70703125,3500933120.0,3686875136.0,201490432.0,3480256512.0,78.5,17179869184.0,6019170304.0,2518237184.0,117013.5382834024,119.03232654154704,14626.6922854253,80.94198204825199,543.0,1189136299.0,1275461632.0,92.1,3912084340736.0,40572452864.0,16106127360.0,14830665728.0,212418.0,1.053135871887207,1771723224.910826,269808.91082692146
6,15.0,0.0,0.0,9.5,9.5,10.0,0.0,0.0,0.0,0.0,100.0,0.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,12794.0,214529.9343214182,19.045626271432724,2730380.982272595,480.9020633536763,153684.0,1.42041015625,2.41259765625,1.70703125,3499065344.0,3689971712.0,204374016.0,3480322048.0,78.5,17179869184.0,6017024000.0,2517958656.0,73135.20488230165,119.03516419645452,9751.360650973556,99.9895379250218,542.0,1189136333.0,1275461632.0,92.1,3912084340736.0,40572452864.0,16106127360.0,14830665728.0,212422.0,1.2631587982177734,1771723225.120849,269809.1208488941
7,40.9,4.8,0.0,42.9,42.9,38.1,0.0,0.0,0.0,0.0,100.0,4.8,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,11329.0,292537.83070819214,28.56814753009689,273035.3086609793,38.09086337346252,153736.0,1.42041015625,2.41259765625,1.70703125,3514187776.0,3675373568.0,180305920.0,3489726464.0,78.6,17179869184.0,6032998400.0,2518810624.0,92636.97972426083,114.27259012038756,9751.261023606405,76.18172674692504,545.0,1189137602.0,1275461632.0,92.1,3912084635648.0,40572452864.0,16106127360.0,14830665728.0,212996.0,1.473181962966919,1771723225.330872,269809.33087301254
8,14.3,100.0,0.0,5.0,14.3,4.8,0.0,0.0,0.0,0.0,0.0,0.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,11349.0,780105.3097513906,52.375234419343855,0.0,0.0,153736.0,1.38671875,2.404296875,1.69482421875,3514187776.0,3675373568.0,180305920.0,3489726464.0,78.6,17179869184.0,6032998400.0,2518810624.0,121891.4546486548,142.84154841639233,14626.974557838574,95.22769894426156,545.0,1189137605.0,1275461632.0,92.1,3912084635648.0,40572452864.0,16106127360.0,14830665728.0,213036.0,1.6832048892974854,1771723225.540895,269809.5408959389
9,30.0,100.0,0.0,27.3,9.5,15.0,0.0,0.0,0.0,0.0,4.5,0.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,10908.0,0.0,0.0,0.0,0.0,153753.0,1.38671875,2.404296875,1.69482421875,3514187776.0,3675373568.0,180305920.0,3489726464.0,78.6,17179869184.0,6032998400.0,2518810624.0,24378.401627433886,47.61406567858181,9751.360650973556,52.37547224643999,546.0,1189137988.0,1275461632.0,92.1,3912084635648.0,40572452864.0,16106127360.0,14830665728.0,213119.0,1.8932271003723145,1771723225.7509172,269809.75091791153
