idx,cpu0_pct,cpu10_pct,cpu11_pct,cpu1_pct,cpu2_pct,cpu3_pct,cpu4_pct,cpu5_pct,cpu6_pct,cpu7_pct,cpu8_pct,cpu9_pct,cpu_freq_current_mhz,cpu_freq_max_mhz,cpu_freq_min_mhz,cpu_pct,cpu_times_idle_pct,cpu_times_nice_pct,cpu_times_system_pct,cpu_times_user_pct,ctx_switches,disk_read_Bps,disk_read_IOPS,disk_write_Bps,disk_write_IOPS,interrupts,load1,load15,load5,mem_active_bytes,mem_available_bytes,mem_free_bytes,mem_inactive_bytes,mem_percent,mem_total_bytes,mem_used_bytes,mem_wired_bytes,net_recv_Bps,net_recv_Pps,net_sent_Bps,net_sent_Pps,pids_count,soft_interrupts,swap_free_bytes,swap_percent,swap_sin_bytes,swap_sout_bytes,swap_total_bytes,swap_used_bytes,syscalls,t_rel_s,ts_unix_s,uptime_s
0,17.9,0.0,0.0,17.5,12.5,12.5,73.7,15.0,4.9,2.6,55.0,0.0,3504.0,3504.0,702.0,18.6,81.4,0.0,5.1,13.5,3557.0,0.0,0.0,0.0,0.0,159461.0,1.92626953125,2.14501953125,2.08984375,3466575872.0,3517300736.0,59260928.0,3457613824.0,79.5,17179869184.0,6079184896.0,2612609024.0,28877.515344868734,70.50174644743345,24064.59612072395,65.80163001760455,473.0,1190129420.0,1513422848.0,90.6,3913422274560.0,40593653760.0,16106127360.0,14592704512.0,211223.0,0.030245304107666,1771724271.4080782,270855.40807819366
1,13.6,0.0,0.0,5.0,9.5,4.8,50.0,47.8,14.3,0.0,0.0,0.0,3504.0,3504.0,702.0,12.5,87.5,0.0,2.4,10.2,3870.0,0.0,0.0,0.0,0.0,159461.0,1.92626953125,2.14501953125,2.08984375,3461906432.0,3510976512.0,62980096.0,3447537664.0,79.6,17179869184.0,6074515456.0,2612609024.0,28877.515344868734,70.50174644743345,24064.59612072395,65.80163001760455,473.0,1190131507.0,1513422848.0,90.6,3913422274560.0,40593653760.0,16106127360.0,14592704512.0,210421.0,0.2430059909820556,1771724271.6208389,270855.62083888054
2,13.6,0.0,0.0,17.4,9.1,9.1,54.5,42.9,0.0,0.0,0.0,0.0,3504.0,3504.0,702.0,11.9,88.1,0.0,1.5,10.4,3769.0,568812.1208636167,111.99205378646688,0.0,0.0,158999.0,1.92626953125,2.14501953125,2.08984375,3467132928.0,3514351616.0,61325312.0,3452567552.0,79.5,17179869184.0,6072172544.0,2605039616.0,110092.6685542484,116.47173593792554,9174.389046187369,76.15459657479747,473.0,1190131564.0,1513422848.0,90.6,3913422307328.0,40593653760.0,16106127360.0,14592704512.0,210728.0,0.4662351608276367,1771724271.844068,270855.84406900406
3,13.6,0.0,0.0,9.1,9.5,4.5,17.4,81.8,4.5,0.0,0.0,0.0,3504.0,3504.0,702.0,11.8,88.2,0.0,0.8,11.0,3769.0,186606.88087156287,13.667496157585171,261249.63322018803,36.44665642022712,158999.0,1.92626953125,2.14501953125,2.08984375,3467460608.0,3513810944.0,60669952.0,3452633088.0,79.5,17179869184.0,6072500224.0,2605039616.0,37321.37617431257,68.33748078792586,9330.344043578143,63.78164873539747,473.0,1190131564.0,1513422848.0,90.6,3913422307328.0,40593653760.0,16106127360.0,14592704512.0,210728.0,0.6857349872589111,1771724272.063568,270856.0635678768
4,5.0,0.0,0.0,10.0,9.1,5.0,68.4,35.0,0.0,0.0,0.0,0.0,3504.0,3504.0,702.0,10.7,89.3,0.0,0.4,10.3,3769.0,0.0,0.0,0.0,0.0,158999.0,1.92626953125,2.14501953125,2.08984375,3467575296.0,3513532416.0,60375040.0,3452649472.0,79.5,17179869184.0,6072614912.0,2605039616.0,45553.833791762416,64.25779506216487,5061.537087973602,49.42907312474221,473.0,1190131564.0,1513422848.0,90.6,3913422307328.0,40593653760.0,16106127360.0,14592704512.0,210728.0,0.888045072555542,1771724272.265878,270856.2658779621
5,9.1,0.0,0.0,4.5,0.0,13.0,66.7,34.8,0.0,0.0,0.0,0.0,3504.0,3504.0,702.0,11.2,88.8,0.0,1.5,9.7,3742.0,0.0,0.0,0.0,0.0,158999.0,1.92626953125,2.14501953125,2.08984375,3467575296.0,3513974784.0,60833792.0,3452633088.0,79.5,17179869184.0,6072614912.0,2605039616.0,73570.80948419747,76.33689948921857,9196.351185524683,49.394464375376714,473.0,1190131634.0,1513422848.0,90.6,3913422307328.0,40593653760.0,16106127360.0,14592704512.0,210732.0,1.110741138458252,1771724272.488574,270856.4885749817
6,33.3,0.0,0.0,33.3,31.8,19.0,18.2,81.8,0.0,0.0,0.0,0.0,3504.0,3504.0,702.0,18.1,81.9,0.0,3.1,15.0,3796.0,1393381.703934274,119.52308218397356,564884.4745679488,41.37337460214469,144761.0,1.92626953125,2.14501953125,2.08984375,3664871424.0,3550822400.0,60489728.0,3488595968.0,79.3,17179869184.0,6036635648.0,2371764224.0,56488.447456794886,128.7171654288946,23536.85310699787,105.731957316592,473.0,1190132112.0,1513422848.0,90.6,3913423388672.0,40593653760.0,16106127360.0,14592704512.0,212921.0,1.3282732963562012,1771724272.7061062,270856.7061061859
7,27.3,0.0,0.0,27.3,19.0,22.7,57.1,40.9,4.5,0.0,0.0,0.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,4106.0,0.0,0.0,338951.48860945966,41.37591413689693,145293.0,1.92626953125,2.14501953125,2.08984375,3664871424.0,3550822400.0,60489728.0,3488595968.0,79.3,17179869184.0,6036635648.0,2371764224.0,94153.19128040546,96.5437996527595,9415.319128040546,50.57056172287403,475.0,1190133113.0,1513422848.0,90.6,3913423388672.0,40593653760.0,16106127360.0,14592704512.0,217212.0,1.5457911491394043,1771724272.923624,270856.9236240387
8,18.2,0.0,0.0,26.1,18.2,9.5,57.1,42.9,0.0,0.0,0.0,0.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,3951.0,433090.43874059315,45.9717262589794,0.0,0.0,145299.0,1.92626953125,2.14501953125,2.08984375,3664871424.0,3550822400.0,60489728.0,3488595968.0,79.3,17179869184.0,6036635648.0,2371764224.0,23537.523844597457,41.37455363308146,4707.504768919491,45.9717262589794,475.0,1190133276.0,1513422848.0,90.6,3913423388672.0,40593653760.0,16106127360.0,14592704512.0,217213.0,1.7633161544799805,1771724273.141149,270857.14114904404
9,23.8,0.0,0.0,15.0,19.0,28.6,36.4,45.5,0.0,27.3,0.0,0.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,4108.0,12166840.35039374,321.6378351983815,678088.2360888232,42.56971348213873,145316.0,1.92626953125,2.14501953125,2.08984375,3664871424.0,3550822400.0,60489728.0,3488595968.0,79.3,17179869184.0,6036635648.0,2371764224.0,24217.437003172257,52.02964981150289,9686.974801268902,47.29968164682081,476.0,1190134219.0,1513422848.0,90.6,3913423388672.0,40593653760.0,16106127360.0,14592704512.0,216995.0,1.97473406791687,1771724273.352567,270857.3525669575
10,10.0,0.0,0.0,14.3,19.0,9.1,57.1,42.9,0.0,0.0,0.0,0.0,3504.0,3504.0,702.0,15.0,85.0,0.0,2.5,12.5,4091.0,0.0,0.0,0.0,0.0,145316.0,1.92626953125,2.14501953125,2.08984375,3570745344.0,3622158336.0,65323008.0,3555098624.0,78.9,17179869184.0,5951602688.0,2380857344.0,97570.20612572908,104.81174486162304,4878.510306286455,52.40587243081152,476.0,1190134236.0,1513422848.0,90.6,3913426010112.0,40593670144.0,16106127360.0,14592704512.0,216986.0,2.184634208679199,1771724273.562467,270857.56246709824
