idx,cpu0_pct,cpu10_pct,cpu11_pct,cpu1_pct,cpu2_pct,cpu3_pct,cpu4_pct,cpu5_pct,cpu6_pct,cpu7_pct,cpu8_pct,cpu9_pct,cpu_freq_current_mhz,cpu_freq_max_mhz,cpu_freq_min_mhz,cpu_pct,cpu_times_idle_pct,cpu_times_nice_pct,cpu_times_system_pct,cpu_times_user_pct,ctx_switches,disk_read_Bps,disk_read_IOPS,disk_write_Bps,disk_write_IOPS,interrupts,load1,load15,load5,mem_active_bytes,mem_available_bytes,mem_free_bytes,mem_inactive_bytes,mem_percent,mem_total_bytes,mem_used_bytes,mem_wired_bytes,net_recv_Bps,net_recv_Pps,net_sent_Bps,net_sent_Pps,pids_count,soft_interrupts,swap_free_bytes,swap_percent,swap_sin_bytes,swap_sout_bytes,swap_total_bytes,swap_used_bytes,syscalls,t_rel_s,ts_unix_s,uptime_s
0,12.0,4.0,0.0,8.0,8.3,8.0,54.2,84.0,4.2,4.0,15.4,4.0,3504.0,3504.0,702.0,16.4,83.6,0.0,1.2,15.1,43872.0,0.0,0.0,0.0,0.0,152791.0,2.5029296875,2.26318359375,2.28125,3662725120.0,4982013952.0,701333504.0,4264230912.0,71.0,17179869184.0,6166052864.0,2503327744.0,0.0,9.522629362945036,0.0,0.0,555.0,1218003147.0,1346371584.0,92.6,3939637428224.0,41335930880.0,18253611008.0,16907239424.0,260268.0,0.001641035079956,1771744683.386004,291267.3860039711
1,5.0,0.0,0.0,9.1,4.5,9.5,100.0,0.0,0.0,0.0,0.0,0.0,3504.0,3504.0,702.0,10.7,89.3,0.0,1.6,9.1,12498.0,0.0,0.0,0.0,0.0,152806.0,2.5029296875,2.26318359375,2.28125,4175626240.0,4468899840.0,188350464.0,4264099840.0,74.0,17179869184.0,6679199744.0,2503573504.0,0.0,9.522629362945036,0.0,0.0,555.0,1218034483.0,1346371584.0,92.6,3939637428224.0,41335930880.0,18253611008.0,16907239424.0,260260.0,0.2116661071777343,1771744683.596029,291267.5960299969
2,14.3,14.3,0.0,10.0,9.5,9.1,95.2,42.9,38.1,28.6,28.6,13.6,3504.0,3504.0,702.0,25.3,74.7,0.0,13.0,12.3,4018.0,637503.494940999,23.581894196148458,1835237.3339210576,122.62584981997198,152824.0,2.5029296875,2.26318359375,2.28125,4130193408.0,4167073792.0,65650688.0,4101046272.0,75.7,17179869184.0,6634061824.0,2503868416.0,67614.00703919686,264.11721499686274,362217.8948528403,396.1758224952941,555.0,1218072669.0,1346371584.0,92.6,3939637428224.0,41336274944.0,18253611008.0,16907239424.0,250131.0,0.4236931800842285,1771744683.808056,291267.8080570698
3,27.3,22.7,23.8,14.3,5.0,0.0,50.0,28.6,38.1,18.2,57.1,33.3,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,46785.0,3730732.130028408,250.9411060835036,152274.78081748603,37.17646016051905,152807.0,2.5029296875,2.26318359375,2.28125,3807215616.0,4551245824.0,765689856.0,3784687616.0,73.5,17179869184.0,6310805504.0,2503589888.0,90413.15111038231,255.5881636035685,80895.97730928945,241.64699104337384,555.0,1218076551.0,1346371584.0,92.6,3939637428224.0,41336274944.0,18253611008.0,16907239424.0,230993.0,0.6388821601867676,1771744684.023245,291268.02324700356
4,5.0,0.0,0.0,9.5,9.5,9.1,0.0,0.0,0.0,0.0,75.0,85.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,46408.0,0.0,0.0,0.0,0.0,152062.0,2.5029296875,2.26318359375,2.28125,3807215616.0,4551245824.0,765689856.0,3784687616.0,73.5,17179869184.0,6310805504.0,2503589888.0,4983.450983122275,14.59995405211604,0.0,9.733302701410691,555.0,1218076557.0,1346371584.0,92.6,3939637428224.0,41336274944.0,18253611008.0,16907239424.0,231787.0,0.8443620204925537,1771744684.228725,291268.2287271023
5,9.5,0.0,0.0,9.1,9.1,0.0,0.0,0.0,0.0,0.0,90.5,76.2,3504.0,3504.0,702.0,19.5,80.5,0.0,4.1,15.4,45863.0,0.0,0.0,0.0,0.0,152062.0,2.5029296875,2.26318359375,2.28125,3824009216.0,4554670080.0,750649344.0,3803217920.0,73.5,17179869184.0,6315393024.0,2491383808.0,0.0,4.646475791665974,0.0,0.0,555.0,1218076616.0,1346371584.0,92.6,3939637428224.0,41336274944.0,18253611008.0,16907239424.0,232130.0,1.0595788955688477,1771744684.4439418,291268.44394397736
6,9.1,5.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,68.2,86.4,3504.0,3504.0,702.0,14.7,85.3,0.0,0.8,13.9,45587.0,0.0,0.0,0.0,0.0,152062.0,2.5029296875,2.26318359375,2.28125,3829563392.0,4555669504.0,746127360.0,3808739328.0,73.5,17179869184.0,6320947200.0,2491383808.0,4775.762399841659,9.32766093719074,0.0,0.0,555.0,1218076618.0,1346371584.0,92.6,3939637428224.0,41336274944.0,18253611008.0,16907239424.0,232467.0,1.2739970684051514,1771744684.65836,291268.6583600044
7,42.9,0.0,0.0,52.4,38.1,38.1,0.0,0.0,0.0,0.0,77.3,90.5,3504.0,3504.0,702.0,28.1,71.9,0.0,5.5,22.7,43844.0,11842277.814078826,266.5953961896099,263580.1103292585,36.77177878477378,152114.0,2.5029296875,2.26318359375,2.28125,3842424832.0,4542742528.0,715456512.0,3825418240.0,73.6,17179869184.0,6334660608.0,2492235776.0,0.0,9.192944696193443,0.0,4.5964723480967224,558.0,1218078362.0,1346371584.0,92.6,3939640786944.0,41336274944.0,18253611008.0,16907239424.0,233485.0,1.4915540218353271,1771744684.875917,291268.87591814995
8,9.5,13.6,0.0,4.5,8.7,4.5,0.0,0.0,0.0,0.0,81.8,72.7,3504.0,3504.0,702.0,16.4,83.6,0.0,0.8,15.6,43615.0,0.0,0.0,2635827.100348933,142.4920481843208,152114.0,2.5029296875,2.26318359375,2.28125,3843702784.0,4541202432.0,712753152.0,3826581504.0,73.6,17179869184.0,6335938560.0,2492235776.0,4706.834107765952,18.38607073346075,0.0,13.78955305009556,558.0,1218078386.0,1346371584.0,92.6,3939640786944.0,41336274944.0,18253611008.0,16907239424.0,233555.0,1.7091100215911863,1771744685.093473,291269.0934741497
9,8.7,0.0,0.0,4.8,0.0,4.5,0.0,0.0,0.0,0.0,76.2,81.8,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,43630.0,0.0,0.0,0.0,0.0,152114.0,2.5029296875,2.26318359375,2.28125,3843784704.0,4541513728.0,712998912.0,3826647040.0,73.6,17179869184.0,6336020480.0,2492235776.0,0.0,0.0,0.0,0.0,558.0,1218078391.0,1346371584.0,92.6,3939640786944.0,41336274944.0,18253611008.0,16907239424.0,233560.0,1.9223182201385496,1771744685.3066812,291269.30668210983
