idx,cpu0_pct,cpu10_pct,cpu11_pct,cpu1_pct,cpu2_pct,cpu3_pct,cpu4_pct,cpu5_pct,cpu6_pct,cpu7_pct,cpu8_pct,cpu9_pct,cpu_freq_current_mhz,cpu_freq_max_mhz,cpu_freq_min_mhz,cpu_pct,cpu_times_idle_pct,cpu_times_nice_pct,cpu_times_system_pct,cpu_times_user_pct,ctx_switches,disk_read_Bps,disk_read_IOPS,disk_write_Bps,disk_write_IOPS,interrupts,load1,load15,load5,mem_active_bytes,mem_available_bytes,mem_free_bytes,mem_inactive_bytes,mem_percent,mem_total_bytes,mem_used_bytes,mem_wired_bytes,net_recv_Bps,net_recv_Pps,net_sent_Bps,net_sent_Pps,pids_count,soft_interrupts,swap_free_bytes,swap_percent,swap_sin_bytes,swap_sout_bytes,swap_total_bytes,swap_used_bytes,syscalls,t_rel_s,ts_unix_s,uptime_s
0,36.4,13.6,4.5,31.8,36.4,22.7,59.1,0.0,0.0,0.0,59.1,20.8,3504.0,3504.0,702.0,23.6,76.4,0.0,4.5,19.1,22180.0,1905495.448017348,61.71137800996872,272213.6354310497,37.97623262151921,152459.0,3.6728515625,2.8828125,3.40771484375,3555999744.0,4052287488.0,347914240.0,3689906176.0,76.4,17179869184.0,6053888000.0,2497888256.0,106941.0710621981,170.89304679683644,48609.57775554459,132.91681417531723,492.0,1203105275.0,1663631360.0,90.3,3929986957312.0,41102327808.0,17179869184.0,15516237824.0,225214.0,0.0025620460510253,1771733871.834878,280455.83487796783
1,23.8,18.2,5.0,22.7,22.7,14.3,28.6,0.0,0.0,0.0,50.0,20.0,3504.0,3504.0,702.0,17.3,82.7,0.0,3.5,13.8,21053.0,1905495.448017348,61.71137800996872,272213.6354310497,37.97623262151921,152580.0,3.6728515625,2.8828125,3.40771484375,3572711424.0,4032888832.0,330285056.0,3687923712.0,76.5,17179869184.0,6072582144.0,2499870720.0,106941.0710621981,170.89304679683644,48609.57775554459,132.91681417531723,492.0,1203106406.0,1663631360.0,90.3,3929987317760.0,41102327808.0,17179869184.0,15516237824.0,225093.0,0.2132201194763183,1771733872.045536,280456.04553604126
2,30.0,13.3,6.5,27.6,24.1,22.6,6.7,3.3,3.2,0.0,44.8,26.7,3504.0,3504.0,702.0,17.2,82.8,0.0,3.3,13.9,20943.0,472943.3308740827,115.46468038918034,0.0,0.0,148561.0,3.6728515625,2.8828125,3.40771484375,3641982976.0,4030824448.0,328482816.0,3687661568.0,76.5,17179869184.0,6076006400.0,2434023424.0,3378.166649100591,19.793945209573774,3378.166649100591,13.195963473049185,492.0,1203106544.0,1663631360.0,90.3,3929987317760.0,41102327808.0,17179869184.0,15516237824.0,225077.0,0.516340970993042,1771733872.348657,280456.34865903854
3,30.0,0.0,14.3,28.6,23.8,20.0,9.5,4.8,0.0,0.0,50.0,28.6,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,20894.0,0.0,0.0,0.0,0.0,148561.0,3.6728515625,2.8828125,3.40771484375,3642458112.0,4030021632.0,327680000.0,3687661568.0,76.5,17179869184.0,6076481536.0,2434023424.0,0.0,9.743545427091318,0.0,0.0,492.0,1203106645.0,1663631360.0,90.3,3929987317760.0,41102327808.0,17179869184.0,15516237824.0,225077.0,0.7216060161590576,1771733872.553922,280456.55392313004
4,31.8,9.5,13.0,27.3,23.8,22.7,4.5,4.8,0.0,0.0,45.5,22.7,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,20859.0,92604.36496531352,9.0433950161439,2963339.6788900327,542.6037009686339,148304.0,3.6728515625,2.8828125,3.40771484375,3646865408.0,4029448192.0,326991872.0,3687661568.0,76.5,17179869184.0,6076678144.0,2429812736.0,0.0,9.0433950161439,4630.218248265676,13.56509252421585,492.0,1203106728.0,1663631360.0,90.3,3929987317760.0,41102327808.0,17179869184.0,15516237824.0,225077.0,0.9427618980407716,1771733872.7750778,280456.7750790119
5,22.7,4.3,14.3,27.3,27.3,22.7,0.0,0.0,0.0,0.0,61.9,22.7,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,20864.0,0.0,0.0,263592.5316078916,36.773511664047376,148257.0,3.6728515625,2.8828125,3.40771484375,3647700992.0,4029530112.0,327073792.0,3687661568.0,76.5,17179869184.0,6076743680.0,2429042688.0,0.0,4.596688958005922,0.0,4.596688958005922,492.0,1203106788.0,1663631360.0,90.3,3929987317760.0,41102327808.0,17179869184.0,15516237824.0,225077.0,1.160310983657837,1771733872.992627,280456.99262690544
6,59.1,9.1,0.0,57.1,59.1,54.5,4.8,4.3,4.3,0.0,50.0,36.4,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,19291.0,13513006.446921732,715.0256058350058,3540444.761813513,529.4809865993396,148509.0,3.6728515625,2.8828125,3.40771484375,3669852160.0,4003807232.0,300875776.0,3687710720.0,76.7,17179869184.0,6103023616.0,2433171456.0,0.0,4.525478517943074,0.0,0.0,495.0,1203108617.0,1663631360.0,90.3,3929990053888.0,41102327808.0,17179869184.0,15516237824.0,225080.0,1.3812808990478516,1771733873.2135968,280457.2135980129
7,15.4,8.0,3.8,16.0,11.5,4.0,0.0,0.0,0.0,0.0,57.7,28.0,3504.0,3504.0,702.0,18.2,81.8,0.0,3.5,14.7,19092.0,0.0,0.0,0.0,0.0,148369.0,3.45849609375,2.87158203125,3.36767578125,3676110848.0,4000514048.0,297615360.0,3687677952.0,76.7,17179869184.0,6106988544.0,2430877696.0,0.0,0.0,0.0,0.0,495.0,1203108651.0,1663631360.0,90.3,3929990053888.0,41102327808.0,17179869184.0,15516237824.0,225078.0,1.6382811069488523,1771733873.470597,280457.47059702873
8,26.7,9.7,0.0,25.8,22.6,16.7,9.4,9.7,3.2,0.0,53.3,19.4,3504.0,3504.0,702.0,16.3,83.7,0.0,2.7,13.6,15762.0,92303.3525176764,19.31571271993786,197792.8982521637,12.877141813291908,157246.0,3.45849609375,2.87158203125,3.36767578125,3630940160.0,3908517888.0,243023872.0,3650240512.0,77.2,17179869184.0,6207258624.0,2576318464.0,3296.548304202728,12.877141813291908,9889.644912608184,16.096427266614885,495.0,1203111205.0,1663631360.0,90.3,3929990053888.0,41102327808.0,17179869184.0,15516237824.0,222793.0,1.9489080905914309,1771733873.781224,280457.78122496605
9,28.6,0.0,0.0,28.6,23.8,27.3,71.4,22.7,4.8,9.1,4.5,8.7,3504.0,3504.0,702.0,18.9,81.1,0.0,4.6,14.3,15553.0,0.0,0.0,0.0,0.0,157555.0,3.45849609375,2.87158203125,3.36767578125,3631022080.0,3904897024.0,239599616.0,3650043904.0,77.3,17179869184.0,6212403200.0,2581381120.0,4795.872164188688,9.36693782068103,0.0,4.683468910340515,495.0,1203111631.0,1663631360.0,90.3,3929990053888.0,41102327808.0,17179869184.0,15516237824.0,222781.0,2.162425994873047,1771733873.994742,280457.99474191666
