idx,cpu0_pct,cpu10_pct,cpu11_pct,cpu1_pct,cpu2_pct,cpu3_pct,cpu4_pct,cpu5_pct,cpu6_pct,cpu7_pct,cpu8_pct,cpu9_pct,cpu_freq_current_mhz,cpu_freq_max_mhz,cpu_freq_min_mhz,cpu_pct,cpu_times_idle_pct,cpu_times_nice_pct,cpu_times_system_pct,cpu_times_user_pct,ctx_switches,disk_read_Bps,disk_read_IOPS,disk_write_Bps,disk_write_IOPS,interrupts,load1,load15,load5,mem_active_bytes,mem_available_bytes,mem_free_bytes,mem_inactive_bytes,mem_percent,mem_total_bytes,mem_used_bytes,mem_wired_bytes,net_recv_Bps,net_recv_Pps,net_sent_Bps,net_sent_Pps,pids_count,soft_interrupts,swap_free_bytes,swap_percent,swap_sin_bytes,swap_sout_bytes,swap_total_bytes,swap_used_bytes,syscalls,t_rel_s,ts_unix_s,uptime_s
0,6.7,0.0,0.0,3.3,6.5,0.0,46.7,0.0,0.0,0.0,0.0,0.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,13756.0,1540737.7206008062,152.36725876194683,273042.1277014087,38.09181469048671,155588.0,1.62890625,1.6611328125,1.60888671875,4630872064.0,4786733056.0,166625280.0,4555538432.0,72.1,17179869184.0,7180025856.0,2549153792.0,0.0,0.0,0.0,0.0,484.0,1197236607.0,895352832.0,94.8,3926100099072.0,41022603264.0,17179869184.0,16284516352.0,278186.0,0.0025041103363037,1771729698.3427432,276282.342744112
1,22.7,0.0,0.0,19.0,5.0,0.0,14.3,57.1,95.2,0.0,0.0,0.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,13756.0,1540737.7206008062,152.36725876194683,273042.1277014087,38.09181469048671,155588.0,1.62890625,1.6611328125,1.60888671875,4630872064.0,4786733056.0,166625280.0,4555538432.0,72.1,17179869184.0,7180025856.0,2549153792.0,0.0,0.0,0.0,0.0,484.0,1197236607.0,895352832.0,94.8,3926100099072.0,41022603264.0,17179869184.0,16284516352.0,278186.0,0.2125229835510254,1771729698.552762,276282.55276298523
2,10.0,0.0,0.0,9.5,4.8,4.8,75.0,23.8,42.1,0.0,19.0,0.0,3504.0,3504.0,702.0,11.9,88.1,0.0,2.1,9.8,13363.0,1642578.7028650944,86.96823422078461,831184.4038594454,19.326274271285467,155581.0,1.62890625,1.6611328125,1.60888671875,4610998272.0,4810522624.0,218513408.0,4591550464.0,72.0,17179869184.0,7160037376.0,2549039104.0,19790.10485379632,14.4947057034641,0.0,0.0,484.0,1197252814.0,895352832.0,94.8,3926100361216.0,41022783488.0,17179869184.0,16284516352.0,280240.0,0.4194948673248291,1771729698.759734,276282.7597351074
3,19.0,0.0,0.0,9.5,14.3,4.8,40.9,5.0,4.5,23.8,95.0,0.0,3504.0,3504.0,702.0,17.9,82.1,0.0,2.8,15.1,13160.0,117016.46064968016,9.522823946100273,0.0,0.0,161730.0,1.62890625,1.6611328125,1.60888671875,4550574080.0,4768022528.0,214859776.0,4552376320.0,72.2,17179869184.0,7200358400.0,2649784320.0,0.0,4.761411973050136,0.0,9.522823946100273,484.0,1197252915.0,895352832.0,94.8,3926100361216.0,41022783488.0,17179869184.0,16284516352.0,277855.0,0.6295168399810791,1771729698.969756,276282.96975684166
4,14.3,0.0,0.0,9.5,4.8,4.8,60.0,0.0,0.0,0.0,100.0,0.0,3504.0,3504.0,702.0,15.9,84.1,0.0,2.0,13.9,13112.0,292543.47631026874,61.898847526586806,3569030.4109852784,628.511374885343,161893.0,1.578125,1.6572265625,1.5986328125,4550950912.0,4764565504.0,214073344.0,4549705728.0,72.3,17179869184.0,7203405824.0,2652454912.0,0.0,4.761449809737447,0.0,9.522899619474892,484.0,1197252991.0,895352832.0,94.8,3926100361216.0,41022783488.0,17179869184.0,16284516352.0,277692.0,0.8395378589630127,1771729699.179777,276283.17977690697
5,5.0,0.0,0.0,4.8,4.8,4.8,19.0,55.0,0.0,0.0,85.7,0.0,3504.0,3504.0,702.0,14.9,85.1,0.0,1.6,13.3,13130.0,0.0,0.0,0.0,0.0,161389.0,1.578125,1.6572265625,1.5986328125,4559323136.0,4764860416.0,214368256.0,4549705728.0,72.3,17179869184.0,7203520512.0,2644197376.0,0.0,4.875691661009383,0.0,0.0,484.0,1197253006.0,895352832.0,94.8,3926100361216.0,41022783488.0,17179869184.0,16284516352.0,277692.0,1.0446369647979736,1771729699.384876,276283.3848760128
6,13.6,0.0,0.0,19.0,0.0,4.8,100.0,0.0,0.0,0.0,57.1,0.0,3504.0,3504.0,702.0,16.3,83.7,0.0,1.6,14.7,13093.0,0.0,0.0,0.0,0.0,161389.0,1.578125,1.6572265625,1.5986328125,4560732160.0,4764254208.0,213745664.0,4549705728.0,72.3,17179869184.0,7204929536.0,2644197376.0,0.0,4.761384947213077,4875.658185946191,9.522769894426157,484.0,1197253111.0,895352832.0,94.8,3926100361216.0,41022783488.0,17179869184.0,16284516352.0,277692.0,1.2546589374542236,1771729699.594898,276283.59489893913
7,47.4,0.0,0.0,63.2,57.1,55.0,15.0,50.0,0.0,0.0,100.0,0.0,3504.0,3504.0,702.0,32.2,67.8,0.0,6.3,25.9,11711.0,13217967.122044004,343.62029329315425,20398.097410561735,4.980004250625424,161440.0,1.578125,1.6572265625,1.5986328125,4575789056.0,4749148160.0,189890560.0,4557242368.0,72.4,17179869184.0,7220822016.0,2645032960.0,20398.097410561735,24.90002125312712,0.0,14.94001275187627,487.0,1197254901.0,895352832.0,94.8,3926103801856.0,41022783488.0,17179869184.0,16284516352.0,278152.0,1.4554619789123535,1771729699.795701,276283.7957019806
8,19.0,0.0,0.0,14.3,10.0,0.0,95.2,0.0,0.0,0.0,57.1,0.0,3504.0,3504.0,702.0,16.5,83.5,0.0,2.0,14.5,11592.0,0.0,0.0,0.0,0.0,161440.0,1.578125,1.6572265625,1.5986328125,4576641024.0,4746985472.0,187940864.0,4557029376.0,72.4,17179869184.0,7221673984.0,2645032960.0,0.0,0.0,0.0,0.0,487.0,1197255003.0,895352832.0,94.8,3926103801856.0,41022783488.0,17179869184.0,16284516352.0,278139.0,1.6654789447784424,1771729700.005718,276284.0057179928
9,4.8,0.0,0.0,9.5,4.8,4.5,33.3,0.0,28.6,0.0,100.0,0.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,11135.0,311370.18075874407,9.502263817100344,0.0,0.0,155144.0,1.578125,1.6572265625,1.5986328125,4576641024.0,4746985472.0,187940864.0,4557029376.0,72.4,17179869184.0,7221673984.0,2645032960.0,0.0,0.0,0.0,0.0,487.0,1197255542.0,895352832.0,94.8,3926103801856.0,41022783488.0,17179869184.0,16284516352.0,281515.0,1.8759551048278809,1771729700.2161942,276284.21619415283
