idx,all_power,ane_power,cpu_power,ecpu_usage_0,ecpu_usage_1,gpu_power,gpu_ram_power,gpu_usage_0,gpu_usage_1,memory_ram_total,memory_ram_usage,memory_swap_total,memory_swap_usage,pcpu_usage_0,pcpu_usage_1,ram_power,sys_power,temp_cpu_temp_avg,temp_gpu_temp_avg,timestamp
0,7.274215221405029,0.0,7.046193599700928,1985.0,0.2130172997713089,0.2280215919017791,0.0058827148750424,587.0,0.0390078537166118,17179869184.0,13971161088.0,5368709120.0,3853058048.0,2241.0,0.1471596360206604,0.4425435364246368,21.566312789916992,46.61982727050781,61.31357955932617,2026.0
1,7.274215221405029,0.0,7.046193599700928,1985.0,0.2130172997713089,0.2280215919017791,0.0058827148750424,587.0,0.0390078537166118,17179869184.0,13971161088.0,5368709120.0,3853058048.0,2241.0,0.1471596360206604,0.4425435364246368,21.566312789916992,46.61982727050781,61.31357955932617,2026.0
2,7.274215221405029,0.0,7.046193599700928,1985.0,0.2130172997713089,0.2280215919017791,0.0058827148750424,587.0,0.0390078537166118,17179869184.0,13971161088.0,5368709120.0,3853058048.0,2241.0,0.1471596360206604,0.4425435364246368,21.566312789916992,46.61982727050781,61.31357955932617,2026.0
3,7.3043622970581055,0.0,7.141654014587402,1881.0,0.2301153093576431,0.1627082526683807,0.0039371894672513,834.0,0.0370225310325622,17179869184.0,14004568064.0,5368709120.0,3853058048.0,1747.0,0.1421020328998565,0.4399157464504242,18.91392517089844,46.2857551574707,60.45613861083984,2026.0
4,7.3043622970581055,0.0,7.141654014587402,1881.0,0.2301153093576431,0.1627082526683807,0.0039371894672513,834.0,0.0370225310325622,17179869184.0,14004568064.0,5368709120.0,3853058048.0,1747.0,0.1421020328998565,0.4399157464504242,18.91392517089844,46.2857551574707,60.45613861083984,2026.0
5,7.3043622970581055,0.0,7.141654014587402,1881.0,0.2301153093576431,0.1627082526683807,0.0039371894672513,834.0,0.0370225310325622,17179869184.0,14004568064.0,5368709120.0,3853058048.0,1747.0,0.1421020328998565,0.4399157464504242,18.91392517089844,46.2857551574707,60.45613861083984,2026.0
6,7.3043622970581055,0.0,7.141654014587402,1881.0,0.2301153093576431,0.1627082526683807,0.0039371894672513,834.0,0.0370225310325622,17179869184.0,14004568064.0,5368709120.0,3853058048.0,1747.0,0.1421020328998565,0.4399157464504242,18.91392517089844,46.2857551574707,60.45613861083984,2026.0
7,7.3043622970581055,0.0,7.141654014587402,1881.0,0.2301153093576431,0.1627082526683807,0.0039371894672513,834.0,0.0370225310325622,17179869184.0,14004568064.0,5368709120.0,3853058048.0,1747.0,0.1421020328998565,0.4399157464504242,18.91392517089844,46.2857551574707,60.45613861083984,2026.0
8,7.302150726318359,0.0,7.213644027709961,1847.0,0.2116428762674331,0.0885066762566566,0.0029048335272818,481.0,0.0361659824848175,17179869184.0,14074970112.0,5368709120.0,3853058048.0,1751.0,0.1532529890537262,0.4541066884994507,18.92238426208496,45.68537902832031,59.5437126159668,2026.0
9,7.302150726318359,0.0,7.213644027709961,1847.0,0.2116428762674331,0.0885066762566566,0.0029048335272818,481.0,0.0361659824848175,17179869184.0,14074970112.0,5368709120.0,3853058048.0,1751.0,0.1532529890537262,0.4541066884994507,18.92238426208496,45.68537902832031,59.5437126159668,2026.0
10,7.302150726318359,0.0,7.213644027709961,1847.0,0.2116428762674331,0.0885066762566566,0.0029048335272818,481.0,0.0361659824848175,17179869184.0,14074970112.0,5368709120.0,3853058048.0,1751.0,0.1532529890537262,0.4541066884994507,18.92238426208496,45.68537902832031,59.5437126159668,2026.0
11,7.302150726318359,0.0,7.213644027709961,1847.0,0.2116428762674331,0.0885066762566566,0.0029048335272818,481.0,0.0361659824848175,17179869184.0,14074970112.0,5368709120.0,3853058048.0,1751.0,0.1532529890537262,0.4541066884994507,18.92238426208496,45.68537902832031,59.5437126159668,2026.0
12,6.961863040924072,0.0,6.725327491760254,1832.0,0.1443017572164535,0.23653544485569,0.0057685961946845,879.0,0.0311522874981164,17179869184.0,14036320256.0,5368709120.0,3853058048.0,3209.0,0.1601158231496811,0.3804282546043396,20.420679092407227,45.46846008300781,58.9587287902832,2026.0
13,6.961863040924072,0.0,6.725327491760254,1832.0,0.1443017572164535,0.23653544485569,0.0057685961946845,879.0,0.0311522874981164,17179869184.0,14036320256.0,5368709120.0,3853058048.0,3209.0,0.1601158231496811,0.3804282546043396,20.420679092407227,45.46846008300781,58.9587287902832,2026.0
14,6.961863040924072,0.0,6.725327491760254,1832.0,0.1443017572164535,0.23653544485569,0.0057685961946845,879.0,0.0311522874981164,17179869184.0,14036320256.0,5368709120.0,3853058048.0,3209.0,0.1601158231496811,0.3804282546043396,20.420679092407227,45.46846008300781,58.9587287902832,2026.0
15,6.961863040924072,0.0,6.725327491760254,1832.0,0.1443017572164535,0.23653544485569,0.0057685961946845,879.0,0.0311522874981164,17179869184.0,14036320256.0,5368709120.0,3853058048.0,3209.0,0.1601158231496811,0.3804282546043396,20.420679092407227,45.46846008300781,58.9587287902832,2026.0
16,6.961863040924072,0.0,6.725327491760254,1832.0,0.1443017572164535,0.23653544485569,0.0057685961946845,879.0,0.0311522874981164,17179869184.0,14036320256.0,5368709120.0,3853058048.0,3209.0,0.1601158231496811,0.3804282546043396,20.420679092407227,45.46846008300781,58.9587287902832,2026.0
17,9.822958946228027,0.0,9.737434387207031,2081.0,0.3359225690364837,0.0855241045355796,0.0028783611487597,609.0,0.0252726599574089,17179869184.0,14133854208.0,5368709120.0,3853058048.0,3303.0,0.2716152667999267,0.6022779941558838,18.681211471557617,65.97352600097656,58.26599884033203,2026.0
18,9.822958946228027,0.0,9.737434387207031,2081.0,0.3359225690364837,0.0855241045355796,0.0028783611487597,609.0,0.0252726599574089,17179869184.0,14133854208.0,5368709120.0,3853058048.0,3303.0,0.2716152667999267,0.6022779941558838,18.681211471557617,65.97352600097656,58.26599884033203,2026.0
19,9.822958946228027,0.0,9.737434387207031,2081.0,0.3359225690364837,0.0855241045355796,0.0028783611487597,609.0,0.0252726599574089,17179869184.0,14133854208.0,5368709120.0,3853058048.0,3303.0,0.2716152667999267,0.6022779941558838,18.681211471557617,65.97352600097656,58.26599884033203,2026.0
20,9.822958946228027,0.0,9.737434387207031,2081.0,0.3359225690364837,0.0855241045355796,0.0028783611487597,609.0,0.0252726599574089,17179869184.0,14133854208.0,5368709120.0,3853058048.0,3303.0,0.2716152667999267,0.6022779941558838,18.681211471557617,65.97352600097656,58.26599884033203,2026.0
21,9.62448501586914,0.0,9.345199584960938,2315.0,0.604468584060669,0.2792857587337494,0.0086540421470999,471.0,0.0738747492432594,17179869184.0,14174486528.0,5368709120.0,3853058048.0,3421.0,0.2171085476875305,0.8137543201446533,18.9287109375,66.85614013671875,57.72182083129883,2026.0
22,9.62448501586914,0.0,9.345199584960938,2315.0,0.604468584060669,0.2792857587337494,0.0086540421470999,471.0,0.0738747492432594,17179869184.0,14174486528.0,5368709120.0,3853058048.0,3421.0,0.2171085476875305,0.8137543201446533,18.9287109375,66.85614013671875,57.72182083129883,2026.0
23,9.62448501586914,0.0,9.345199584960938,2315.0,0.604468584060669,0.2792857587337494,0.0086540421470999,471.0,0.0738747492432594,17179869184.0,14174486528.0,5368709120.0,3853058048.0,3421.0,0.2171085476875305,0.8137543201446533,18.9287109375,66.85614013671875,57.72182083129883,2026.0
24,9.62448501586914,0.0,9.345199584960938,2315.0,0.604468584060669,0.2792857587337494,0.0086540421470999,471.0,0.0738747492432594,17179869184.0,14174486528.0,5368709120.0,3853058048.0,3421.0,0.2171085476875305,0.8137543201446533,18.9287109375,66.85614013671875,57.72182083129883,2026.0
25,7.518892288208008,0.0,7.446880340576172,1868.0,0.4056845307350158,0.0720118805766105,0.0018537554424256,462.0,0.0235589612275362,17179869184.0,14220279808.0,5368709120.0,3853058048.0,2950.0,0.1510605812072754,0.4425815343856811,26.67883682250977,64.0364990234375,56.68891143798828,2026.0
26,7.518892288208008,0.0,7.446880340576172,1868.0,0.4056845307350158,0.0720118805766105,0.0018537554424256,462.0,0.0235589612275362,17179869184.0,14220279808.0,5368709120.0,3853058048.0,2950.0,0.1510605812072754,0.4425815343856811,26.67883682250977,64.0364990234375,56.68891143798828,2026.0
27,7.518892288208008,0.0,7.446880340576172,1868.0,0.4056845307350158,0.0720118805766105,0.0018537554424256,462.0,0.0235589612275362,17179869184.0,14220279808.0,5368709120.0,3853058048.0,2950.0,0.1510605812072754,0.4425815343856811,26.67883682250977,64.0364990234375,56.68891143798828,2026.0
28,7.518892288208008,0.0,7.446880340576172,1868.0,0.4056845307350158,0.0720118805766105,0.0018537554424256,462.0,0.0235589612275362,17179869184.0,14220279808.0,5368709120.0,3853058048.0,2950.0,0.1510605812072754,0.4425815343856811,26.67883682250977,64.0364990234375,56.68891143798828,2026.0
29,7.518892288208008,0.0,7.446880340576172,1868.0,0.4056845307350158,0.0720118805766105,0.0018537554424256,462.0,0.0235589612275362,17179869184.0,14220279808.0,5368709120.0,3853058048.0,2950.0,0.1510605812072754,0.4425815343856811,26.67883682250977,64.0364990234375,56.68891143798828,2026.0
30,8.992938041687012,0.0,8.819291114807129,2068.0,0.5730253458023071,0.1736466288566589,0.0057790894061326,444.0,0.045070182532072,17179869184.0,14118912000.0,5368709120.0,3853058048.0,3234.0,0.1820258796215057,0.7374191880226135,23.391460418701172,64.51838684082031,56.3713264465332,2026.0
31,8.992938041687012,0.0,8.819291114807129,2068.0,0.5730253458023071,0.1736466288566589,0.0057790894061326,444.0,0.045070182532072,17179869184.0,14118912000.0,5368709120.0,3853058048.0,3234.0,0.1820258796215057,0.7374191880226135,23.391460418701172,64.51838684082031,56.3713264465332,2026.0
32,8.992938041687012,0.0,8.819291114807129,2068.0,0.5730253458023071,0.1736466288566589,0.0057790894061326,444.0,0.045070182532072,17179869184.0,14118912000.0,5368709120.0,3853058048.0,3234.0,0.1820258796215057,0.7374191880226135,23.391460418701172,64.51838684082031,56.3713264465332,2026.0
33,8.992938041687012,0.0,8.819291114807129,2068.0,0.5730253458023071,0.1736466288566589,0.0057790894061326,444.0,0.045070182532072,17179869184.0,14118912000.0,5368709120.0,3853058048.0,3234.0,0.1820258796215057,0.7374191880226135,23.391460418701172,64.51838684082031,56.3713264465332,2026.0
34,9.157907485961914,0.0,8.929176330566406,2133.0,0.4667454957962036,0.2287311851978302,0.0068286396563053,444.0,0.0592170283198356,17179869184.0,14143930368.0,5368709120.0,3853058048.0,3349.0,0.2023772746324539,0.7011849284172058,21.200294494628903,64.85416412353516,56.03351974487305,2026.0
35,9.157907485961914,0.0,8.929176330566406,2133.0,0.4667454957962036,0.2287311851978302,0.0068286396563053,444.0,0.0592170283198356,17179869184.0,14143930368.0,5368709120.0,3853058048.0,3349.0,0.2023772746324539,0.7011849284172058,21.200294494628903,64.85416412353516,56.03351974487305,2026.0
36,9.157907485961914,0.0,8.929176330566406,2133.0,0.4667454957962036,0.2287311851978302,0.0068286396563053,444.0,0.0592170283198356,17179869184.0,14143930368.0,5368709120.0,3853058048.0,3349.0,0.2023772746324539,0.7011849284172058,21.200294494628903,64.85416412353516,56.03351974487305,2026.0
37,9.157907485961914,0.0,8.929176330566406,2133.0,0.4667454957962036,0.2287311851978302,0.0068286396563053,444.0,0.0592170283198356,17179869184.0,14143930368.0,5368709120.0,3853058048.0,3349.0,0.2023772746324539,0.7011849284172058,21.200294494628903,64.85416412353516,56.03351974487305,2026.0
38,9.157907485961914,0.0,8.929176330566406,2133.0,0.4667454957962036,0.2287311851978302,0.0068286396563053,444.0,0.0592170283198356,17179869184.0,14143930368.0,5368709120.0,3853058048.0,3349.0,0.2023772746324539,0.7011849284172058,21.200294494628903,64.85416412353516,56.03351974487305,2026.0
39,8.074856758117676,0.0,7.851997375488281,2049.0,0.3862045109272003,0.2228589653968811,0.0048582642339169,687.0,0.0370243750512599,17179869184.0,14117552128.0,5368709120.0,3853058048.0,3192.0,0.1667017936706543,0.5744866132736206,23.42556953430176,63.66271209716797,55.927101135253906,2026.0
40,8.074856758117676,0.0,7.851997375488281,2049.0,0.3862045109272003,0.2228589653968811,0.0048582642339169,687.0,0.0370243750512599,17179869184.0,14117552128.0,5368709120.0,3853058048.0,3192.0,0.1667017936706543,0.5744866132736206,23.42556953430176,63.66271209716797,55.927101135253906,2026.0
41,8.074856758117676,0.0,7.851997375488281,2049.0,0.3862045109272003,0.2228589653968811,0.0048582642339169,687.0,0.0370243750512599,17179869184.0,14117552128.0,5368709120.0,3853058048.0,3192.0,0.1667017936706543,0.5744866132736206,23.42556953430176,63.66271209716797,55.927101135253906,2026.0
42,8.074856758117676,0.0,7.851997375488281,2049.0,0.3862045109272003,0.2228589653968811,0.0048582642339169,687.0,0.0370243750512599,17179869184.0,14117552128.0,5368709120.0,3853058048.0,3192.0,0.1667017936706543,0.5744866132736206,23.42556953430176,63.66271209716797,55.927101135253906,2026.0
43,7.489386081695557,0.0,7.204349994659424,1968.0,0.2402756810188293,0.2850362062454223,0.0067957043647766,753.0,0.0438615977764129,17179869184.0,14062911488.0,5368709120.0,3853058048.0,2960.0,0.1559017598628997,0.4691429138183594,25.105682373046875,62.898101806640625,55.44178009033203,2026.0
44,7.489386081695557,0.0,7.204349994659424,1968.0,0.2402756810188293,0.2850362062454223,0.0067957043647766,753.0,0.0438615977764129,17179869184.0,14062911488.0,5368709120.0,3853058048.0,2960.0,0.1559017598628997,0.4691429138183594,25.105682373046875,62.898101806640625,55.44178009033203,2026.0
45,7.489386081695557,0.0,7.204349994659424,1968.0,0.2402756810188293,0.2850362062454223,0.0067957043647766,753.0,0.0438615977764129,17179869184.0,14062911488.0,5368709120.0,3853058048.0,2960.0,0.1559017598628997,0.4691429138183594,25.105682373046875,62.898101806640625,55.44178009033203,2026.0
46,7.489386081695557,0.0,7.204349994659424,1968.0,0.2402756810188293,0.2850362062454223,0.0067957043647766,753.0,0.0438615977764129,17179869184.0,14062911488.0,5368709120.0,3853058048.0,2960.0,0.1559017598628997,0.4691429138183594,25.105682373046875,62.898101806640625,55.44178009033203,2026.0
47,7.05853271484375,0.0,6.93409538269043,2071.0,0.2601303458213806,0.1244374811649322,0.0039024499710649,695.0,0.0411688685417175,17179869184.0,14068875264.0,5368709120.0,3853058048.0,2856.0,0.1576714962720871,0.4210639297962188,20.708784103393555,61.90592575073242,54.959449768066406,2026.0
