idx,all_power,ane_power,cpu_power,ecpu_usage_0,ecpu_usage_1,gpu_power,gpu_ram_power,gpu_usage_0,gpu_usage_1,memory_ram_total,memory_ram_usage,memory_swap_total,memory_swap_usage,pcpu_usage_0,pcpu_usage_1,ram_power,sys_power,temp_cpu_temp_avg,temp_gpu_temp_avg,timestamp
0,0.8308792114257812,0.0,0.8304821252822876,1756.0,0.2988456785678863,0.0003971024707425,0.0009578543831594,111.0,0.0023878018837422,17179869184.0,13703282688.0,4294967296.0,2798059520.0,1324.0,0.0426727756857872,0.2055209279060363,14.429691314697266,33.79603958129883,45.77420425415039,2026.0
1,0.8308792114257812,0.0,0.8304821252822876,1756.0,0.2988456785678863,0.0003971024707425,0.0009578543831594,111.0,0.0023878018837422,17179869184.0,13703282688.0,4294967296.0,2798059520.0,1324.0,0.0426727756857872,0.2055209279060363,14.429691314697266,33.79603958129883,45.77420425415039,2026.0
2,0.8308792114257812,0.0,0.8304821252822876,1756.0,0.2988456785678863,0.0003971024707425,0.0009578543831594,111.0,0.0023878018837422,17179869184.0,13703282688.0,4294967296.0,2798059520.0,1324.0,0.0426727756857872,0.2055209279060363,14.429691314697266,33.79603958129883,45.77420425415039,2026.0
3,0.8308792114257812,0.0,0.8304821252822876,1756.0,0.2988456785678863,0.0003971024707425,0.0009578543831594,111.0,0.0023878018837422,17179869184.0,13703282688.0,4294967296.0,2798059520.0,1324.0,0.0426727756857872,0.2055209279060363,14.429691314697266,33.79603958129883,45.77420425415039,2026.0
4,0.8308792114257812,0.0,0.8304821252822876,1756.0,0.2988456785678863,0.0003971024707425,0.0009578543831594,111.0,0.0023878018837422,17179869184.0,13703282688.0,4294967296.0,2798059520.0,1324.0,0.0426727756857872,0.2055209279060363,14.429691314697266,33.79603958129883,45.77420425415039,2026.0
5,0.8308792114257812,0.0,0.8304821252822876,1756.0,0.2988456785678863,0.0003971024707425,0.0009578543831594,111.0,0.0023878018837422,17179869184.0,13703282688.0,4294967296.0,2798059520.0,1324.0,0.0426727756857872,0.2055209279060363,14.429691314697266,33.79603958129883,45.77420425415039,2026.0
6,1.4140777587890625,0.0,1.3938686847686768,1582.0,0.242502361536026,0.0202090442180633,0.0,222.0,0.0074509638361632,17179869184.0,13766410240.0,4294967296.0,2798059520.0,1337.0,0.0659351050853729,0.2268003970384597,10.985092163085938,32.17258834838867,45.48442840576172,2026.0
7,1.4140777587890625,0.0,1.3938686847686768,1582.0,0.242502361536026,0.0202090442180633,0.0,222.0,0.0074509638361632,17179869184.0,13766410240.0,4294967296.0,2798059520.0,1337.0,0.0659351050853729,0.2268003970384597,10.985092163085938,32.17258834838867,45.48442840576172,2026.0
8,1.4140777587890625,0.0,1.3938686847686768,1582.0,0.242502361536026,0.0202090442180633,0.0,222.0,0.0074509638361632,17179869184.0,13766410240.0,4294967296.0,2798059520.0,1337.0,0.0659351050853729,0.2268003970384597,10.985092163085938,32.17258834838867,45.48442840576172,2026.0
9,1.4140777587890625,0.0,1.3938686847686768,1582.0,0.242502361536026,0.0202090442180633,0.0,222.0,0.0074509638361632,17179869184.0,13766410240.0,4294967296.0,2798059520.0,1337.0,0.0659351050853729,0.2268003970384597,10.985092163085938,32.17258834838867,45.48442840576172,2026.0
