idx,avg_core_id,avg_weight_ns,max_core_id,running_fraction,samples_per_bucket,sentinel_count,total_weight_ns,unique_process_count,unique_thread_count
0,4.845771144278607,1000000.0,7.0,1.0,201.0,0.0,201000000.0,1.0,6.0
1,5.300492610837439,1000000.0,8.0,1.0,203.0,0.0,203000000.0,1.0,7.0
2,4.97029702970297,1000000.0,7.0,1.0,202.0,0.0,202000000.0,1.0,6.0
3,5.119402985074627,1000000.0,8.0,1.0,201.0,0.0,201000000.0,1.0,6.0
4,5.040201005025126,1000000.0,7.0,1.0,199.0,0.0,199000000.0,1.0,6.0
5,4.698019801980198,1000000.0,7.0,1.0,202.0,0.0,202000000.0,1.0,6.0
6,5.190697674418605,1000000.0,8.0,1.0,215.0,14.0,215000000.0,1.0,7.0
7,4.955445544554456,1000000.0,7.0,1.0,202.0,0.0,202000000.0,1.0,7.0
8,4.738693467336684,1000000.0,7.0,1.0,199.0,0.0,199000000.0,1.0,6.0
9,4.995073891625616,1000000.0,7.0,1.0,203.0,0.0,203000000.0,1.0,6.0
10,4.8291457286432165,1000000.0,7.0,1.0,199.0,0.0,199000000.0,1.0,6.0
11,5.085,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,6.0
12,5.765,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,6.0
13,8.75242718446602,1000000.0,11.0,1.0,206.0,0.0,206000000.0,1.0,7.0
14,8.86,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,6.0
15,8.817733990147783,1000000.0,11.0,1.0,203.0,0.0,203000000.0,1.0,7.0
16,8.577889447236181,1000000.0,10.0,1.0,199.0,0.0,199000000.0,1.0,6.0
17,8.814634146341463,1000000.0,11.0,1.0,205.0,0.0,205000000.0,1.0,8.0
18,7.827102803738318,1000000.0,10.0,1.0,214.0,0.0,214000000.0,1.0,8.0
19,7.730232558139535,1000000.0,11.0,1.0,215.0,0.0,215000000.0,1.0,9.0
20,8.303317535545023,1000000.0,11.0,1.0,211.0,0.0,211000000.0,1.0,9.0
21,8.336633663366337,1000000.0,11.0,1.0,202.0,0.0,202000000.0,1.0,8.0
22,7.897674418604651,1000000.0,11.0,1.0,215.0,0.0,215000000.0,1.0,9.0
23,8.94088669950739,1000000.0,11.0,1.0,203.0,0.0,203000000.0,1.0,8.0
24,8.267605633802816,1000000.0,11.0,1.0,213.0,0.0,213000000.0,1.0,8.0
25,8.089201877934272,1000000.0,11.0,1.0,213.0,0.0,213000000.0,1.0,8.0
26,8.056338028169014,1000000.0,11.0,1.0,213.0,0.0,213000000.0,1.0,8.0
27,7.523809523809524,1000000.0,11.0,1.0,210.0,0.0,210000000.0,1.0,8.0
28,7.9855072463768115,1000000.0,10.0,1.0,207.0,0.0,207000000.0,1.0,8.0
29,8.023148148148149,1000000.0,11.0,1.0,216.0,0.0,216000000.0,1.0,9.0
30,8.066666666666666,1000000.0,11.0,1.0,210.0,0.0,210000000.0,1.0,8.0
31,8.42056074766355,1000000.0,11.0,1.0,214.0,0.0,214000000.0,1.0,8.0
32,7.755868544600939,1000000.0,9.0,1.0,213.0,0.0,213000000.0,1.0,8.0
33,7.990384615384615,1000000.0,11.0,1.0,208.0,0.0,208000000.0,1.0,8.0
34,7.658767772511848,1000000.0,11.0,1.0,211.0,0.0,211000000.0,1.0,8.0
35,8.287081339712918,1000000.0,11.0,1.0,209.0,0.0,209000000.0,1.0,8.0
36,8.393364928909953,1000000.0,11.0,1.0,211.0,0.0,211000000.0,1.0,8.0
37,8.08133971291866,1000000.0,11.0,1.0,209.0,0.0,209000000.0,1.0,8.0
38,8.341584158415841,1000000.0,11.0,1.0,202.0,0.0,202000000.0,1.0,8.0
39,8.158653846153847,1000000.0,11.0,1.0,208.0,0.0,208000000.0,1.0,8.0
40,8.20673076923077,1000000.0,11.0,1.0,208.0,0.0,208000000.0,1.0,8.0
41,8.247706422018348,1000000.0,11.0,1.0,218.0,0.0,218000000.0,1.0,8.0
42,8.353488372093024,1000000.0,11.0,1.0,215.0,0.0,215000000.0,1.0,8.0
43,8.930348258706468,1000000.0,11.0,1.0,201.0,0.0,201000000.0,1.0,7.0
44,8.879396984924623,1000000.0,11.0,1.0,199.0,0.0,199000000.0,1.0,6.0
45,9.126829268292685,1000000.0,11.0,1.0,205.0,0.0,205000000.0,1.0,8.0
46,8.680555555555555,1000000.0,11.0,1.0,216.0,15.0,216000000.0,1.0,6.0
47,6.010050251256281,1000000.0,10.0,1.0,199.0,0.0,199000000.0,1.0,6.0
48,4.895522388059701,1000000.0,7.0,1.0,201.0,0.0,201000000.0,1.0,6.0
49,4.661691542288557,1000000.0,7.0,1.0,201.0,0.0,201000000.0,1.0,7.0
50,4.793969849246231,1000000.0,8.0,1.0,199.0,0.0,199000000.0,1.0,6.0
51,4.48,1000000.0,7.0,1.0,200.0,0.0,200000000.0,1.0,6.0
52,5.0634146341463415,1000000.0,9.0,1.0,205.0,0.0,205000000.0,1.0,8.0
53,5.237623762376238,1000000.0,7.0,1.0,202.0,0.0,202000000.0,1.0,7.0
54,4.455,1000000.0,7.0,1.0,200.0,0.0,200000000.0,1.0,6.0
55,5.1393034825870645,1000000.0,7.0,1.0,201.0,0.0,201000000.0,1.0,6.0
56,4.8291457286432165,1000000.0,7.0,1.0,199.0,0.0,199000000.0,1.0,7.0
57,4.65,1000000.0,6.0,1.0,200.0,0.0,200000000.0,1.0,6.0
58,5.552995391705069,1000000.0,9.0,1.0,217.0,14.0,217000000.0,1.0,8.0
59,4.793969849246231,1000000.0,8.0,1.0,199.0,0.0,199000000.0,1.0,6.0
60,4.920792079207921,1000000.0,7.0,1.0,202.0,0.0,202000000.0,1.0,6.0
61,4.876237623762377,1000000.0,7.0,1.0,202.0,0.0,202000000.0,1.0,7.0
62,5.039800995024875,1000000.0,10.0,1.0,201.0,0.0,201000000.0,1.0,7.0
63,5.040201005025126,1000000.0,7.0,1.0,199.0,0.0,199000000.0,1.0,6.0
64,4.472636815920398,1000000.0,6.0,1.0,201.0,0.0,201000000.0,1.0,6.0
65,4.625,1000000.0,7.0,1.0,200.0,0.0,200000000.0,1.0,7.0
66,4.87192118226601,1000000.0,7.0,1.0,203.0,0.0,203000000.0,1.0,8.0
67,4.924623115577889,1000000.0,7.0,1.0,199.0,0.0,199000000.0,1.0,6.0
68,4.756218905472637,1000000.0,7.0,1.0,201.0,0.0,201000000.0,1.0,6.0
69,4.681372549019608,1000000.0,7.0,1.0,204.0,0.0,204000000.0,1.0,8.0
70,5.507042253521127,1000000.0,10.0,1.0,213.0,0.0,213000000.0,1.0,10.0
71,5.776190476190476,1000000.0,10.0,1.0,210.0,0.0,210000000.0,1.0,8.0
72,5.154205607476635,1000000.0,10.0,1.0,214.0,0.0,214000000.0,1.0,9.0
73,4.923444976076555,1000000.0,8.0,1.0,209.0,0.0,209000000.0,1.0,8.0
74,5.387254901960785,1000000.0,10.0,1.0,204.0,0.0,204000000.0,1.0,8.0
75,4.837320574162679,1000000.0,8.0,1.0,209.0,0.0,209000000.0,1.0,8.0
76,5.470046082949309,1000000.0,11.0,1.0,217.0,0.0,217000000.0,1.0,9.0
77,5.495238095238095,1000000.0,11.0,1.0,210.0,0.0,210000000.0,1.0,8.0
78,5.509803921568627,1000000.0,11.0,1.0,204.0,0.0,204000000.0,1.0,9.0
79,5.511848341232228,1000000.0,10.0,1.0,211.0,0.0,211000000.0,1.0,8.0
80,5.482926829268293,1000000.0,10.0,1.0,205.0,0.0,205000000.0,1.0,8.0
81,5.101941747572815,1000000.0,9.0,1.0,206.0,0.0,206000000.0,1.0,8.0
82,8.150234741784038,1000000.0,11.0,1.0,213.0,0.0,213000000.0,1.0,8.0
83,8.338095238095239,1000000.0,11.0,1.0,210.0,0.0,210000000.0,1.0,8.0
84,8.028169014084508,1000000.0,11.0,1.0,213.0,0.0,213000000.0,1.0,8.0
85,8.237864077669903,1000000.0,10.0,1.0,206.0,0.0,206000000.0,1.0,8.0
86,8.086538461538462,1000000.0,11.0,1.0,208.0,0.0,208000000.0,1.0,8.0
87,8.429951690821255,1000000.0,11.0,1.0,207.0,0.0,207000000.0,1.0,9.0
88,8.464454976303317,1000000.0,11.0,1.0,211.0,0.0,211000000.0,1.0,8.0
89,8.255924170616113,1000000.0,10.0,1.0,211.0,0.0,211000000.0,1.0,8.0
90,7.777777777777778,1000000.0,11.0,1.0,207.0,0.0,207000000.0,1.0,8.0
91,8.376190476190477,1000000.0,11.0,1.0,210.0,0.0,210000000.0,1.0,8.0
92,7.731132075471698,1000000.0,10.0,1.0,212.0,0.0,212000000.0,1.0,8.0
93,8.383561643835616,1000000.0,11.0,1.0,219.0,0.0,219000000.0,1.0,8.0
94,8.182242990654206,1000000.0,11.0,1.0,214.0,0.0,214000000.0,1.0,8.0
95,8.525,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,6.0
96,8.899497487437186,1000000.0,11.0,1.0,199.0,0.0,199000000.0,1.0,6.0
97,8.633165829145728,1000000.0,11.0,1.0,199.0,0.0,199000000.0,1.0,6.0
98,8.822660098522167,1000000.0,11.0,1.0,203.0,0.0,203000000.0,1.0,6.0
