idx,avg_core_id,avg_weight_ns,max_core_id,running_fraction,samples_per_bucket,sentinel_count,total_weight_ns,unique_process_count,unique_thread_count
0,8.778301886792454,1000000.0,9.0,1.0,212.0,1.0,212000000.0,1.0,3.0
1,8.91866028708134,1000000.0,10.0,1.0,209.0,0.0,209000000.0,1.0,2.0
2,9.788461538461538,1000000.0,10.0,1.0,208.0,1.0,208000000.0,1.0,3.0
3,9.439024390243905,1000000.0,10.0,1.0,205.0,1.0,205000000.0,1.0,4.0
4,8.83732057416268,1000000.0,10.0,1.0,209.0,2.0,209000000.0,1.0,3.0
5,8.08780487804878,1000000.0,9.0,1.0,205.0,0.0,205000000.0,1.0,2.0
6,9.370731707317074,1000000.0,10.0,1.0,205.0,1.0,205000000.0,1.0,4.0
7,4.53,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,2.0
8,4.0,1000000.0,4.0,1.0,201.0,0.0,201000000.0,1.0,1.0
9,4.072463768115942,1000000.0,8.0,1.0,207.0,2.0,207000000.0,1.0,4.0
10,4.217592592592593,1000000.0,8.0,1.0,216.0,3.0,216000000.0,1.0,4.0
11,4.034313725490196,1000000.0,8.0,1.0,204.0,0.0,204000000.0,1.0,4.0
12,4.1298076923076925,1000000.0,8.0,1.0,208.0,1.0,208000000.0,1.0,4.0
13,4.078048780487805,1000000.0,8.0,1.0,205.0,0.0,205000000.0,1.0,2.0
14,5.52863436123348,1000000.0,10.0,1.0,454.0,1.0,454000000.0,1.0,5.0
15,5.594405594405594,1000000.0,8.0,1.0,572.0,0.0,572000000.0,1.0,5.0
16,5.63047285464098,1000000.0,8.0,1.0,571.0,1.0,571000000.0,1.0,6.0
17,5.6310160427807485,1000000.0,8.0,1.0,561.0,0.0,561000000.0,1.0,3.0
18,5.504553734061931,1000000.0,8.0,1.0,549.0,0.0,549000000.0,1.0,3.0
19,5.506329113924051,1000000.0,8.0,1.0,553.0,0.0,553000000.0,1.0,3.0
20,5.53551912568306,1000000.0,8.0,1.0,549.0,0.0,549000000.0,1.0,3.0
21,5.511796733212341,1000000.0,8.0,1.0,551.0,0.0,551000000.0,1.0,4.0
22,5.53475935828877,1000000.0,8.0,1.0,561.0,0.0,561000000.0,1.0,3.0
23,5.54054054054054,1000000.0,8.0,1.0,555.0,0.0,555000000.0,1.0,3.0
24,6.656934306569343,1000000.0,9.0,1.0,548.0,0.0,548000000.0,1.0,3.0
25,7.177101967799643,1000000.0,9.0,1.0,559.0,0.0,559000000.0,1.0,3.0
26,7.195255474452555,1000000.0,9.0,1.0,548.0,0.0,548000000.0,1.0,4.0
27,7.174460431654676,1000000.0,9.0,1.0,556.0,0.0,556000000.0,1.0,3.0
28,7.186131386861314,1000000.0,9.0,1.0,548.0,0.0,548000000.0,1.0,3.0
29,7.163043478260869,1000000.0,9.0,1.0,552.0,0.0,552000000.0,1.0,3.0
30,7.215827338129497,1000000.0,11.0,1.0,556.0,0.0,556000000.0,1.0,4.0
31,7.107861060329068,1000000.0,9.0,1.0,547.0,0.0,547000000.0,1.0,3.0
32,7.186131386861314,1000000.0,9.0,1.0,548.0,0.0,548000000.0,1.0,3.0
33,7.170289855072464,1000000.0,9.0,1.0,552.0,0.0,552000000.0,1.0,3.0
34,7.186714542190305,1000000.0,9.0,1.0,557.0,0.0,557000000.0,1.0,3.0
35,7.16994633273703,1000000.0,10.0,1.0,559.0,0.0,559000000.0,1.0,3.0
36,7.212230215827338,1000000.0,11.0,1.0,556.0,0.0,556000000.0,1.0,3.0
37,7.162162162162162,1000000.0,9.0,1.0,555.0,0.0,555000000.0,1.0,3.0
38,7.172101449275362,1000000.0,9.0,1.0,552.0,0.0,552000000.0,1.0,3.0
39,7.23121387283237,1000000.0,10.0,1.0,346.0,23.0,346000000.0,1.0,3.0
40,4.188405797101449,1000000.0,11.0,1.0,207.0,0.0,207000000.0,1.0,3.0
41,4.121951219512195,1000000.0,9.0,1.0,205.0,0.0,205000000.0,1.0,2.0
42,4.300469483568075,1000000.0,10.0,1.0,213.0,5.0,213000000.0,1.0,4.0
43,4.0,1000000.0,4.0,1.0,201.0,0.0,201000000.0,1.0,1.0
44,4.078431372549019,1000000.0,8.0,1.0,204.0,0.0,204000000.0,1.0,2.0
45,4.177570093457944,1000000.0,8.0,1.0,214.0,5.0,214000000.0,1.0,3.0
46,4.03960396039604,1000000.0,8.0,1.0,202.0,0.0,202000000.0,1.0,2.0
47,4.123809523809523,1000000.0,8.0,1.0,210.0,4.0,210000000.0,1.0,5.0
48,4.14218009478673,1000000.0,8.0,1.0,211.0,2.0,211000000.0,1.0,4.0
49,4.111650485436893,1000000.0,8.0,1.0,206.0,1.0,206000000.0,1.0,3.0
50,4.0049504950495045,1000000.0,5.0,1.0,202.0,0.0,202000000.0,1.0,2.0
51,4.110047846889952,1000000.0,8.0,1.0,209.0,1.0,209000000.0,1.0,4.0
52,4.106280193236715,1000000.0,8.0,1.0,207.0,1.0,207000000.0,1.0,3.0
53,4.059113300492611,1000000.0,8.0,1.0,203.0,0.0,203000000.0,1.0,2.0
54,4.078048780487805,1000000.0,8.0,1.0,205.0,1.0,205000000.0,1.0,4.0
55,4.106280193236715,1000000.0,8.0,1.0,207.0,1.0,207000000.0,1.0,4.0
56,4.087378640776699,1000000.0,8.0,1.0,206.0,0.0,206000000.0,1.0,3.0
57,7.567164179104478,1000000.0,8.0,1.0,201.0,0.0,201000000.0,1.0,2.0
58,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
59,8.0,1000000.0,8.0,1.0,199.0,0.0,199000000.0,1.0,1.0
60,8.0,1000000.0,8.0,1.0,201.0,0.0,201000000.0,1.0,1.0
61,7.902439024390244,1000000.0,8.0,1.0,205.0,0.0,205000000.0,1.0,2.0
62,7.902439024390244,1000000.0,8.0,1.0,205.0,0.0,205000000.0,1.0,2.0
63,8.0,1000000.0,8.0,1.0,199.0,0.0,199000000.0,1.0,1.0
64,6.256070640176601,1000000.0,9.0,1.0,453.0,2.0,453000000.0,1.0,5.0
65,5.801769911504425,1000000.0,9.0,1.0,565.0,2.0,565000000.0,1.0,5.0
66,5.580985915492958,1000000.0,8.0,1.0,568.0,1.0,568000000.0,1.0,4.0
67,5.5846702317290555,1000000.0,8.0,1.0,561.0,0.0,561000000.0,1.0,4.0
68,5.508166969147005,1000000.0,8.0,1.0,551.0,0.0,551000000.0,1.0,3.0
69,5.520947176684881,1000000.0,8.0,1.0,549.0,0.0,549000000.0,1.0,3.0
70,5.518918918918919,1000000.0,9.0,1.0,555.0,0.0,555000000.0,1.0,3.0
71,5.528233151183971,1000000.0,9.0,1.0,549.0,0.0,549000000.0,1.0,4.0
72,5.530054644808743,1000000.0,9.0,1.0,549.0,0.0,549000000.0,1.0,3.0
73,5.51183970856102,1000000.0,9.0,1.0,549.0,0.0,549000000.0,1.0,3.0
74,5.513562386980109,1000000.0,9.0,1.0,553.0,0.0,553000000.0,1.0,3.0
75,5.5009174311926605,1000000.0,9.0,1.0,545.0,0.0,545000000.0,1.0,3.0
76,5.508226691042047,1000000.0,9.0,1.0,547.0,0.0,547000000.0,1.0,4.0
77,5.522935779816514,1000000.0,9.0,1.0,545.0,0.0,545000000.0,1.0,3.0
78,5.528130671506352,1000000.0,9.0,1.0,551.0,0.0,551000000.0,1.0,3.0
79,5.51985559566787,1000000.0,9.0,1.0,554.0,0.0,554000000.0,1.0,3.0
80,6.376130198915009,1000000.0,11.0,1.0,553.0,0.0,553000000.0,1.0,3.0
81,7.772477064220183,1000000.0,11.0,1.0,545.0,0.0,545000000.0,1.0,3.0
82,7.9655172413793105,1000000.0,11.0,1.0,551.0,0.0,551000000.0,1.0,3.0
83,7.596014492753623,1000000.0,11.0,1.0,552.0,0.0,552000000.0,1.0,3.0
84,6.752707581227437,1000000.0,10.0,1.0,554.0,0.0,554000000.0,1.0,4.0
85,6.136690647482014,1000000.0,8.0,1.0,556.0,0.0,556000000.0,1.0,3.0
86,6.340036563071298,1000000.0,9.0,1.0,547.0,0.0,547000000.0,1.0,3.0
87,5.92170818505338,1000000.0,8.0,1.0,562.0,0.0,562000000.0,1.0,3.0
88,6.1530054644808745,1000000.0,8.0,1.0,549.0,0.0,549000000.0,1.0,3.0
