idx,avg_core_id,avg_weight_ns,first_sample_time_ns,last_sample_time_ns,max_core_id,running_count,running_fraction,sample_span_ns,samples_per_bucket,sentinel_count,total_weight_ns,unique_process_count,unique_thread_count
0,8.778301886792454,1000000.0,316964500.0,516963291.0,9.0,212.0,1.0,199998791.0,212.0,1.0,212000000.0,1.0,3.0
1,8.91866028708134,1000000.0,517963166.0,716963000.0,10.0,209.0,1.0,198999834.0,209.0,0.0,209000000.0,1.0,2.0
2,9.788461538461538,1000000.0,717963458.0,916963500.0,10.0,208.0,1.0,199000042.0,208.0,1.0,208000000.0,1.0,3.0
3,9.439024390243905,1000000.0,917966666.0,1116963625.0,10.0,205.0,1.0,198996959.0,205.0,1.0,205000000.0,1.0,4.0
4,8.83732057416268,1000000.0,1117966166.0,1315966083.0,10.0,209.0,1.0,197999917.0,209.0,2.0,209000000.0,1.0,3.0
5,8.08780487804878,1000000.0,1316966375.0,1516963541.0,9.0,205.0,1.0,199997166.0,205.0,0.0,205000000.0,1.0,2.0
6,9.370731707317074,1000000.0,1517966625.0,1716963083.0,10.0,205.0,1.0,198996458.0,205.0,1.0,205000000.0,1.0,4.0
7,4.53,1000000.0,1717966375.0,1915966625.0,10.0,200.0,1.0,198000250.0,200.0,0.0,200000000.0,1.0,2.0
8,4.0,1000000.0,1916966208.0,2116963250.0,4.0,201.0,1.0,199997042.0,201.0,0.0,201000000.0,1.0,1.0
9,4.072463768115942,1000000.0,2117963583.0,2316963583.0,8.0,207.0,1.0,199000000.0,207.0,2.0,207000000.0,1.0,4.0
10,4.217592592592593,1000000.0,2317963166.0,2516963250.0,8.0,216.0,1.0,199000084.0,216.0,3.0,216000000.0,1.0,4.0
11,4.034313725490196,1000000.0,2517966375.0,2716963083.0,8.0,204.0,1.0,198996708.0,204.0,0.0,204000000.0,1.0,4.0
12,4.1298076923076925,1000000.0,2717963250.0,2915966583.0,8.0,208.0,1.0,198003333.0,208.0,1.0,208000000.0,1.0,4.0
13,4.078048780487805,1000000.0,2916967916.0,3116963333.0,8.0,205.0,1.0,199995417.0,205.0,0.0,205000000.0,1.0,2.0
14,5.52863436123348,1000000.0,3117963083.0,3315962875.0,10.0,454.0,1.0,197999792.0,454.0,1.0,454000000.0,1.0,5.0
15,5.594405594405594,1000000.0,3316965875.0,3516963458.0,8.0,572.0,1.0,199997583.0,572.0,0.0,572000000.0,1.0,5.0
16,5.63047285464098,1000000.0,3517966375.0,3716963208.0,8.0,571.0,1.0,198996833.0,571.0,1.0,571000000.0,1.0,6.0
17,5.6310160427807485,1000000.0,3717965750.0,3915967041.0,8.0,561.0,1.0,198001291.0,561.0,0.0,561000000.0,1.0,3.0
18,5.504553734061931,1000000.0,3916966208.0,4116963041.0,8.0,549.0,1.0,199996833.0,549.0,0.0,549000000.0,1.0,3.0
19,5.506329113924051,1000000.0,4117965750.0,4316962916.0,8.0,553.0,1.0,198997166.0,553.0,0.0,553000000.0,1.0,3.0
20,5.53551912568306,1000000.0,4317965708.0,4516963583.0,8.0,549.0,1.0,198997875.0,549.0,0.0,549000000.0,1.0,3.0
21,5.511796733212341,1000000.0,4516966500.0,4715966291.0,8.0,551.0,1.0,198999791.0,551.0,0.0,551000000.0,1.0,4.0
