idx,avg_core_id,avg_weight_ns,max_core_id,running_fraction,samples_per_bucket,sentinel_count,total_weight_ns,unique_process_count,unique_thread_count
0,5.205,1000000.0,6.0,1.0,200.0,0.0,200000000.0,1.0,3.0
1,4.810945273631841,1000000.0,7.0,1.0,201.0,0.0,201000000.0,1.0,1.0
2,4.318407960199005,1000000.0,6.0,1.0,201.0,0.0,201000000.0,1.0,2.0
3,4.628140703517588,1000000.0,7.0,1.0,199.0,0.0,199000000.0,1.0,2.0
4,4.895522388059701,1000000.0,6.0,1.0,201.0,0.0,201000000.0,1.0,2.0
5,4.9054726368159205,1000000.0,6.0,1.0,201.0,0.0,201000000.0,1.0,2.0
6,4.8817733990147785,1000000.0,5.0,1.0,203.0,0.0,203000000.0,1.0,3.0
7,4.78,1000000.0,6.0,1.0,200.0,0.0,200000000.0,1.0,2.0
8,4.91,1000000.0,6.0,1.0,200.0,0.0,200000000.0,1.0,2.0
9,5.282178217821782,1000000.0,7.0,1.0,202.0,0.0,202000000.0,1.0,2.0
10,5.024875621890548,1000000.0,7.0,1.0,201.0,0.0,201000000.0,1.0,3.0
11,4.920792079207921,1000000.0,5.0,1.0,202.0,0.0,202000000.0,1.0,2.0
12,4.741293532338308,1000000.0,5.0,1.0,201.0,0.0,201000000.0,1.0,2.0
13,4.819512195121951,1000000.0,5.0,1.0,205.0,0.0,205000000.0,1.0,3.0
14,7.54320987654321,1000000.0,10.0,1.0,243.0,0.0,243000000.0,1.0,3.0
15,8.25,1000000.0,10.0,1.0,240.0,0.0,240000000.0,1.0,3.0
16,8.247899159663865,1000000.0,11.0,1.0,238.0,0.0,238000000.0,1.0,3.0
17,8.336099585062241,1000000.0,10.0,1.0,241.0,0.0,241000000.0,1.0,3.0
18,8.392561983471074,1000000.0,10.0,1.0,242.0,0.0,242000000.0,1.0,3.0
19,8.329218106995885,1000000.0,9.0,1.0,243.0,0.0,243000000.0,1.0,3.0
20,8.355371900826446,1000000.0,10.0,1.0,242.0,0.0,242000000.0,1.0,3.0
21,8.365145228215768,1000000.0,9.0,1.0,241.0,0.0,241000000.0,1.0,3.0
22,8.292181069958847,1000000.0,10.0,1.0,243.0,0.0,243000000.0,1.0,3.0
23,8.284518828451883,1000000.0,9.0,1.0,239.0,0.0,239000000.0,1.0,4.0
24,8.367768595041323,1000000.0,10.0,1.0,242.0,0.0,242000000.0,1.0,3.0
25,8.377593360995851,1000000.0,11.0,1.0,241.0,0.0,241000000.0,1.0,3.0
26,8.407563025210084,1000000.0,9.0,1.0,238.0,0.0,238000000.0,1.0,4.0
27,8.065843621399177,1000000.0,10.0,1.0,243.0,0.0,243000000.0,1.0,3.0
28,8.425619834710744,1000000.0,10.0,1.0,242.0,0.0,242000000.0,1.0,3.0
29,8.5,1000000.0,9.0,1.0,236.0,0.0,236000000.0,1.0,3.0
30,8.269709543568466,1000000.0,10.0,1.0,241.0,0.0,241000000.0,1.0,3.0
31,8.270833333333334,1000000.0,9.0,1.0,240.0,0.0,240000000.0,1.0,3.0
32,8.326446280991735,1000000.0,10.0,1.0,242.0,0.0,242000000.0,1.0,3.0
33,8.34297520661157,1000000.0,10.0,1.0,242.0,0.0,242000000.0,1.0,3.0
34,8.481171548117155,1000000.0,11.0,1.0,239.0,0.0,239000000.0,1.0,4.0
35,8.133620689655173,1000000.0,10.0,1.0,232.0,0.0,232000000.0,1.0,3.0
36,8.378600823045268,1000000.0,11.0,1.0,243.0,0.0,243000000.0,1.0,3.0
37,8.394190871369295,1000000.0,11.0,1.0,241.0,0.0,241000000.0,1.0,3.0
38,8.232365145228215,1000000.0,9.0,1.0,241.0,0.0,241000000.0,1.0,3.0
39,9.074074074074074,1000000.0,10.0,1.0,216.0,13.0,216000000.0,1.0,4.0
40,8.975124378109452,1000000.0,11.0,1.0,201.0,0.0,201000000.0,1.0,2.0
41,8.805970149253731,1000000.0,10.0,1.0,201.0,0.0,201000000.0,1.0,2.0
42,8.816831683168317,1000000.0,9.0,1.0,202.0,0.0,202000000.0,1.0,2.0
43,8.9,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
44,8.771144278606965,1000000.0,9.0,1.0,201.0,0.0,201000000.0,1.0,2.0
45,8.577889447236181,1000000.0,10.0,1.0,199.0,0.0,199000000.0,1.0,1.0
46,4.7711442786069655,1000000.0,6.0,1.0,201.0,0.0,201000000.0,1.0,2.0
47,4.815,1000000.0,5.0,1.0,200.0,0.0,200000000.0,1.0,1.0
48,4.819095477386934,1000000.0,6.0,1.0,199.0,0.0,199000000.0,1.0,1.0
49,4.915841584158416,1000000.0,6.0,1.0,202.0,0.0,202000000.0,1.0,2.0
50,4.815,1000000.0,5.0,1.0,200.0,0.0,200000000.0,1.0,1.0
51,4.955,1000000.0,6.0,1.0,200.0,0.0,200000000.0,1.0,1.0
52,4.844221105527638,1000000.0,6.0,1.0,199.0,0.0,199000000.0,1.0,1.0
53,4.95,1000000.0,6.0,1.0,200.0,0.0,200000000.0,1.0,1.0
54,5.0,1000000.0,6.0,1.0,200.0,0.0,200000000.0,1.0,1.0
55,4.900497512437811,1000000.0,6.0,1.0,201.0,0.0,201000000.0,1.0,1.0
56,4.955223880597015,1000000.0,7.0,1.0,201.0,0.0,201000000.0,1.0,2.0
57,4.985,1000000.0,6.0,1.0,200.0,0.0,200000000.0,1.0,2.0
58,4.806930693069307,1000000.0,5.0,1.0,202.0,0.0,202000000.0,1.0,2.0
59,5.093596059113301,1000000.0,6.0,1.0,203.0,0.0,203000000.0,1.0,4.0
60,5.226600985221675,1000000.0,7.0,1.0,203.0,0.0,203000000.0,1.0,3.0
61,5.104477611940299,1000000.0,7.0,1.0,201.0,0.0,201000000.0,1.0,2.0
62,4.885,1000000.0,6.0,1.0,200.0,0.0,200000000.0,1.0,2.0
63,4.930693069306931,1000000.0,6.0,1.0,202.0,0.0,202000000.0,1.0,3.0
64,4.971311475409836,1000000.0,8.0,1.0,244.0,0.0,244000000.0,1.0,5.0
65,4.97119341563786,1000000.0,8.0,1.0,243.0,0.0,243000000.0,1.0,4.0
66,5.066390041493776,1000000.0,8.0,1.0,241.0,0.0,241000000.0,1.0,3.0
67,5.029045643153527,1000000.0,8.0,1.0,241.0,0.0,241000000.0,1.0,3.0
