idx,avg_core_id,avg_weight_ns,max_core_id,running_fraction,samples_per_bucket,sentinel_count,total_weight_ns,unique_process_count,unique_thread_count
0,8.692307692307692,1000000.0,11.0,1.0,338.0,0.0,338000000.0,1.0,2.0
1,9.01552795031056,1000000.0,11.0,1.0,322.0,0.0,322000000.0,1.0,2.0
2,8.719033232628398,1000000.0,11.0,1.0,331.0,0.0,331000000.0,1.0,2.0
3,8.857142857142858,1000000.0,11.0,1.0,322.0,0.0,322000000.0,1.0,2.0
4,8.697885196374623,1000000.0,10.0,1.0,331.0,0.0,331000000.0,1.0,3.0
5,8.672955974842766,1000000.0,10.0,1.0,318.0,0.0,318000000.0,1.0,2.0
6,8.603715170278639,1000000.0,10.0,1.0,323.0,0.0,323000000.0,1.0,3.0
7,8.636636636636636,1000000.0,10.0,1.0,333.0,0.0,333000000.0,1.0,2.0
8,8.737951807228916,1000000.0,11.0,1.0,332.0,0.0,332000000.0,1.0,2.0
9,8.738601823708207,1000000.0,10.0,1.0,329.0,0.0,329000000.0,1.0,2.0
10,8.787781350482316,1000000.0,10.0,1.0,311.0,0.0,311000000.0,1.0,2.0
11,8.585365853658537,1000000.0,10.0,1.0,328.0,0.0,328000000.0,1.0,2.0
12,8.478395061728396,1000000.0,11.0,1.0,324.0,0.0,324000000.0,1.0,2.0
13,8.651234567901234,1000000.0,11.0,1.0,324.0,0.0,324000000.0,1.0,2.0
14,8.544891640866872,1000000.0,10.0,1.0,323.0,0.0,323000000.0,1.0,2.0
15,8.623052959501557,1000000.0,10.0,1.0,321.0,0.0,321000000.0,1.0,2.0
16,5.244372990353698,1000000.0,10.0,1.0,311.0,0.0,311000000.0,1.0,2.0
17,4.613207547169812,1000000.0,6.0,1.0,318.0,0.0,318000000.0,1.0,2.0
18,4.651651651651652,1000000.0,7.0,1.0,333.0,0.0,333000000.0,1.0,2.0
19,4.612698412698412,1000000.0,5.0,1.0,315.0,0.0,315000000.0,1.0,2.0
20,4.690184049079755,1000000.0,6.0,1.0,326.0,0.0,326000000.0,1.0,2.0
21,4.54434250764526,1000000.0,5.0,1.0,327.0,0.0,327000000.0,1.0,2.0
22,4.609756097560975,1000000.0,6.0,1.0,328.0,0.0,328000000.0,1.0,2.0
23,4.619354838709677,1000000.0,5.0,1.0,310.0,0.0,310000000.0,1.0,2.0
24,4.632530120481928,1000000.0,6.0,1.0,332.0,0.0,332000000.0,1.0,2.0
25,4.624223602484472,1000000.0,6.0,1.0,322.0,0.0,322000000.0,1.0,2.0
26,4.573170731707317,1000000.0,6.0,1.0,328.0,0.0,328000000.0,1.0,3.0
27,4.669781931464175,1000000.0,6.0,1.0,321.0,0.0,321000000.0,1.0,2.0
28,4.528528528528528,1000000.0,5.0,1.0,333.0,0.0,333000000.0,1.0,2.0
29,4.568181818181818,1000000.0,5.0,1.0,308.0,0.0,308000000.0,1.0,2.0
30,4.700617283950617,1000000.0,6.0,1.0,324.0,0.0,324000000.0,1.0,2.0
31,4.563467492260062,1000000.0,6.0,1.0,323.0,0.0,323000000.0,1.0,2.0
32,4.746130030959752,1000000.0,6.0,1.0,323.0,0.0,323000000.0,1.0,2.0
33,4.828220858895706,1000000.0,8.0,1.0,326.0,0.0,326000000.0,1.0,2.0
34,4.7632398753894085,1000000.0,6.0,1.0,321.0,0.0,321000000.0,1.0,2.0
35,4.664634146341464,1000000.0,6.0,1.0,328.0,0.0,328000000.0,1.0,2.0
36,4.728395061728395,1000000.0,7.0,1.0,324.0,0.0,324000000.0,1.0,2.0
37,4.675840978593272,1000000.0,6.0,1.0,327.0,0.0,327000000.0,1.0,3.0
