idx,avg_core_id,avg_weight_ns,first_sample_time_ns,last_sample_time_ns,max_core_id,running_count,running_fraction,sample_span_ns,samples_per_bucket,sentinel_count,total_weight_ns,unique_process_count,unique_thread_count
0,6.0,1000000.0,311817750.0,511817458.0,8.0,402.0,1.0,199999708.0,402.0,0.0,402000000.0,1.0,2.0
1,6.455,1000000.0,512817208.0,711817541.0,8.0,400.0,1.0,199000333.0,400.0,0.0,400000000.0,1.0,2.0
2,6.56,1000000.0,712817166.0,911817666.0,8.0,400.0,1.0,199000500.0,400.0,0.0,400000000.0,1.0,2.0
3,6.556962025316456,1000000.0,912820083.0,1111817500.0,8.0,395.0,1.0,198997417.0,395.0,0.0,395000000.0,1.0,2.0
4,6.089775561097257,1000000.0,1111818000.0,1311817458.0,8.0,401.0,1.0,199999458.0,401.0,0.0,401000000.0,1.0,2.0
5,6.0,1000000.0,1312817875.0,1510817583.0,8.0,398.0,1.0,197999708.0,398.0,0.0,398000000.0,1.0,2.0
6,6.246268656716418,1000000.0,1511820416.0,1711817708.0,8.0,402.0,1.0,199997292.0,402.0,0.0,402000000.0,1.0,2.0
7,6.496240601503759,1000000.0,1712817041.0,1911817083.0,8.0,399.0,1.0,199000042.0,399.0,0.0,399000000.0,1.0,2.0
8,6.503740648379052,1000000.0,1911820625.0,2111817500.0,8.0,401.0,1.0,199996875.0,401.0,0.0,401000000.0,1.0,2.0
9,6.5,1000000.0,2112820291.0,2311817583.0,8.0,400.0,1.0,198997292.0,400.0,0.0,400000000.0,1.0,2.0
10,6.503759398496241,1000000.0,2312820125.0,2511817708.0,8.0,399.0,1.0,198997583.0,399.0,0.0,399000000.0,1.0,2.0
11,6.87468671679198,1000000.0,2511818250.0,2710820333.0,8.0,399.0,1.0,199002083.0,399.0,0.0,399000000.0,1.0,2.0
12,7.0,1000000.0,2711820125.0,2910817458.0,8.0,400.0,1.0,198997333.0,400.0,0.0,400000000.0,1.0,2.0
13,6.992518703241895,1000000.0,2911820125.0,3110817458.0,8.0,401.0,1.0,198997333.0,401.0,0.0,401000000.0,1.0,3.0
14,7.0,1000000.0,3111820291.0,3310817375.0,8.0,400.0,1.0,198997084.0,400.0,0.0,400000000.0,1.0,2.0
15,7.0,1000000.0,3311818583.0,3510817500.0,8.0,400.0,1.0,198998917.0,400.0,0.0,400000000.0,1.0,2.0
16,7.0,1000000.0,3511820250.0,3710817458.0,8.0,400.0,1.0,198997208.0,400.0,0.0,400000000.0,1.0,2.0
17,7.002493765586035,1000000.0,3711820458.0,3911817458.0,8.0,401.0,1.0,199997000.0,401.0,0.0,401000000.0,1.0,2.0
18,6.99749373433584,1000000.0,3911817750.0,4110817791.0,8.0,399.0,1.0,199000041.0,399.0,0.0,399000000.0,1.0,2.0
19,7.0,1000000.0,4111820250.0,4311817625.0,8.0,402.0,1.0,199997375.0,402.0,0.0,402000000.0,1.0,2.0
20,7.05,1000000.0,4312820125.0,4511817500.0,9.0,400.0,1.0,198997375.0,400.0,0.0,400000000.0,1.0,2.0
21,7.0,1000000.0,4512820333.0,4710820500.0,8.0,398.0,1.0,198000167.0,398.0,0.0,398000000.0,1.0,2.0
22,7.0,1000000.0,4711820291.0,4910817458.0,8.0,400.0,1.0,198997167.0,400.0,0.0,400000000.0,1.0,2.0
23,7.266832917705735,1000000.0,4911820291.0,5111817583.0,10.0,401.0,1.0,199997292.0,401.0,0.0,401000000.0,1.0,2.0
24,7.994987468671679,1000000.0,5111818625.0,5310817500.0,10.0,399.0,1.0,198998875.0,399.0,0.0,399000000.0,1.0,2.0
25,6.95,1000000.0,5311820875.0,5510820583.0,10.0,400.0,1.0,198999708.0,400.0,0.0,400000000.0,1.0,2.0
26,6.0,1000000.0,5511820208.0,5711817416.0,8.0,402.0,1.0,199997208.0,402.0,0.0,402000000.0,1.0,2.0
27,6.0,1000000.0,5712817166.0,5911817500.0,8.0,400.0,1.0,199000334.0,400.0,0.0,400000000.0,1.0,2.0
28,6.0,1000000.0,5912816958.0,6111817625.0,8.0,400.0,1.0,199000667.0,400.0,0.0,400000000.0,1.0,2.0
29,6.231155778894473,1000000.0,6112820083.0,6310817458.0,10.0,398.0,1.0,197997375.0,398.0,0.0,398000000.0,1.0,2.0
30,5.99501246882793,1000000.0,6311820208.0,6511817583.0,8.0,401.0,1.0,199997375.0,401.0,0.0,401000000.0,1.0,2.0
31,6.042606516290727,1000000.0,6511818041.0,6710817541.0,11.0,399.0,1.0,198999500.0,399.0,0.0,399000000.0,1.0,2.0
32,6.0,1000000.0,6711820125.0,6910817625.0,8.0,400.0,1.0,198997500.0,400.0,0.0,400000000.0,1.0,2.0
33,6.0,1000000.0,6911820250.0,7110817625.0,8.0,400.0,1.0,198997375.0,400.0,0.0,400000000.0,1.0,2.0
34,6.0,1000000.0,7111820208.0,7310820625.0,8.0,400.0,1.0,199000417.0,400.0,0.0,400000000.0,1.0,2.0
35,6.0,1000000.0,7311820041.0,7511817458.0,8.0,402.0,1.0,199997417.0,402.0,0.0,402000000.0,1.0,2.0
36,6.0,1000000.0,7512817125.0,7710820291.0,8.0,398.0,1.0,198003166.0,398.0,0.0,398000000.0,1.0,2.0
37,6.00498753117207,1000000.0,7711820250.0,7911817666.0,8.0,401.0,1.0,199997416.0,401.0,0.0,401000000.0,1.0,2.0
38,6.0,1000000.0,7911818000.0,8111817541.0,8.0,400.0,1.0,199999541.0,400.0,0.0,400000000.0,1.0,2.0
39,5.994987468671679,1000000.0,8111818541.0,8310820375.0,8.0,399.0,1.0,199001834.0,399.0,0.0,399000000.0,1.0,2.0
40,6.0,1000000.0,8311820375.0,8511817541.0,8.0,402.0,1.0,199997166.0,402.0,0.0,402000000.0,1.0,2.0
41,5.994987468671679,1000000.0,8512820041.0,8711817416.0,8.0,399.0,1.0,198997375.0,399.0,0.0,399000000.0,1.0,2.0
42,6.005012531328321,1000000.0,8711817958.0,8910817583.0,8.0,399.0,1.0,198999625.0,399.0,0.0,399000000.0,1.0,2.0
43,6.0,1000000.0,8911820083.0,9111817541.0,8.0,402.0,1.0,199997458.0,402.0,0.0,402000000.0,1.0,2.0
44,5.99749373433584,1000000.0,9112820291.0,9310818000.0,8.0,399.0,1.0,197997709.0,399.0,0.0,399000000.0,1.0,3.0
45,6.0,1000000.0,9311820666.0,9510817541.0,8.0,400.0,1.0,198996875.0,400.0,0.0,400000000.0,1.0,2.0
46,6.0,1000000.0,9511817750.0,9710817625.0,8.0,400.0,1.0,198999875.0,400.0,0.0,400000000.0,1.0,2.0
47,6.0,1000000.0,9711820291.0,9911817500.0,8.0,402.0,1.0,199997209.0,402.0,0.0,402000000.0,1.0,2.0
48,6.0,1000000.0,9912817125.0,10110820416.0,8.0,398.0,1.0,198003291.0,398.0,0.0,398000000.0,1.0,2.0
49,6.0,1000000.0,10111820083.0,10311817541.0,8.0,402.0,1.0,199997458.0,402.0,0.0,402000000.0,1.0,2.0
