idx,avg_core_id,avg_weight_ns,first_sample_time_ns,last_sample_time_ns,max_core_id,running_count,running_fraction,sample_span_ns,samples_per_bucket,sentinel_count,total_weight_ns,unique_process_count,unique_thread_count
0,7.0,1000000.0,298214791.0,498210250.0,7.0,201.0,1.0,199995459.0,201.0,0.0,201000000.0,1.0,1.0
1,7.0,1000000.0,499210375.0,698210000.0,7.0,200.0,1.0,198999625.0,200.0,0.0,200000000.0,1.0,1.0
2,10.969696969696969,1000000.0,701211208.0,898213291.0,11.0,198.0,1.0,197002083.0,198.0,0.0,198000000.0,1.0,1.0
3,11.0,1000000.0,899210166.0,1098210208.0,11.0,200.0,1.0,199000042.0,200.0,0.0,200000000.0,1.0,1.0
4,11.0,1000000.0,1099213166.0,1298210083.0,11.0,200.0,1.0,198996917.0,200.0,0.0,200000000.0,1.0,1.0
5,10.99004975124378,1000000.0,1299213166.0,1498210250.0,11.0,201.0,1.0,198997084.0,201.0,0.0,201000000.0,1.0,2.0
6,11.0,1000000.0,1499213250.0,1698213291.0,11.0,200.0,1.0,199000041.0,200.0,0.0,200000000.0,1.0,1.0
7,11.0,1000000.0,1699210125.0,1898210166.0,11.0,200.0,1.0,199000041.0,200.0,0.0,200000000.0,1.0,1.0
8,11.0,1000000.0,1899210291.0,2098210125.0,11.0,200.0,1.0,198999834.0,200.0,0.0,200000000.0,1.0,1.0
9,11.0,1000000.0,2099213458.0,2298209958.0,11.0,200.0,1.0,198996500.0,200.0,0.0,200000000.0,1.0,1.0
10,11.0,1000000.0,2299213125.0,2498213416.0,11.0,200.0,1.0,199000291.0,200.0,0.0,200000000.0,1.0,1.0
11,11.0,1000000.0,2499210208.0,2698213708.0,11.0,200.0,1.0,199003500.0,200.0,0.0,200000000.0,1.0,1.0
12,9.335,1000000.0,2699213541.0,2898214208.0,11.0,200.0,1.0,199000667.0,200.0,0.0,200000000.0,1.0,1.0
13,8.0,1000000.0,2899210833.0,3098211416.0,8.0,200.0,1.0,199000583.0,200.0,0.0,200000000.0,1.0,1.0
14,8.0,1000000.0,3099213791.0,3298210000.0,8.0,200.0,1.0,198996209.0,200.0,0.0,200000000.0,1.0,1.0
15,8.0,1000000.0,3299211333.0,3498213458.0,8.0,200.0,1.0,199002125.0,200.0,0.0,200000000.0,1.0,1.0
16,8.0,1000000.0,3499213375.0,3698213250.0,8.0,200.0,1.0,198999875.0,200.0,0.0,200000000.0,1.0,1.0
17,8.0,1000000.0,3699210208.0,3898213375.0,8.0,200.0,1.0,199003167.0,200.0,0.0,200000000.0,1.0,1.0
18,8.0,1000000.0,3899210166.0,4098210083.0,8.0,200.0,1.0,198999917.0,200.0,0.0,200000000.0,1.0,1.0
19,8.0,1000000.0,4099210250.0,4298210000.0,8.0,200.0,1.0,198999750.0,200.0,0.0,200000000.0,1.0,1.0
20,8.0,1000000.0,4299213250.0,4498210000.0,8.0,200.0,1.0,198996750.0,200.0,0.0,200000000.0,1.0,1.0
21,8.0,1000000.0,4499213500.0,4698213333.0,8.0,200.0,1.0,198999833.0,200.0,0.0,200000000.0,1.0,1.0
22,8.0,1000000.0,4699210125.0,4898213458.0,8.0,200.0,1.0,199003333.0,200.0,0.0,200000000.0,1.0,1.0
23,8.28,1000000.0,4899213458.0,5098213666.0,10.0,200.0,1.0,199000208.0,200.0,0.0,200000000.0,1.0,1.0
24,10.0,1000000.0,5099210166.0,5298213291.0,10.0,200.0,1.0,199003125.0,200.0,0.0,200000000.0,1.0,1.0
25,10.0,1000000.0,5299210000.0,5498210166.0,10.0,200.0,1.0,199000166.0,200.0,0.0,200000000.0,1.0,1.0
26,10.0,1000000.0,5499210208.0,5698213333.0,10.0,200.0,1.0,199003125.0,200.0,0.0,200000000.0,1.0,1.0
27,10.0,1000000.0,5699213041.0,5898210083.0,10.0,200.0,1.0,198997042.0,200.0,0.0,200000000.0,1.0,1.0
28,10.0,1000000.0,5899210125.0,6098210166.0,10.0,200.0,1.0,199000041.0,200.0,0.0,200000000.0,1.0,1.0
29,10.0,1000000.0,6099213375.0,6298213541.0,10.0,200.0,1.0,199000166.0,200.0,0.0,200000000.0,1.0,1.0
30,10.0,1000000.0,6299210250.0,6498214333.0,10.0,200.0,1.0,199004083.0,200.0,0.0,200000000.0,1.0,1.0
31,10.0,1000000.0,6499211000.0,6698211083.0,10.0,200.0,1.0,199000083.0,200.0,0.0,200000000.0,1.0,1.0
32,10.0,1000000.0,6699213916.0,6898214333.0,10.0,200.0,1.0,199000417.0,200.0,0.0,200000000.0,1.0,1.0
