idx,avg_core_id,avg_weight_ns,first_sample_time_ns,last_sample_time_ns,max_core_id,running_count,running_fraction,sample_span_ns,samples_per_bucket,sentinel_count,total_weight_ns,unique_process_count,unique_thread_count
0,4.783967391304348,1000000.0,435697458.0,635697375.0,11.0,736.0,1.0,199999917.0,736.0,136.0,736000000.0,42.0,73.0
1,5.465648854961832,1000000.0,635697583.0,834700750.0,11.0,524.0,1.0,199003167.0,524.0,83.0,524000000.0,30.0,52.0
2,4.811440677966102,1000000.0,835700416.0,1034704375.0,10.0,472.0,1.0,199003959.0,472.0,51.0,472000000.0,16.0,30.0
3,4.958963282937365,1000000.0,1035697791.0,1234699041.0,10.0,463.0,1.0,199001250.0,463.0,46.0,463000000.0,20.0,34.0
4,4.782700421940929,1000000.0,1235697666.0,1434697708.0,10.0,474.0,1.0,199000042.0,474.0,65.0,474000000.0,31.0,50.0
5,4.00804828973843,1000000.0,1435700875.0,1634697625.0,9.0,497.0,1.0,198996750.0,497.0,106.0,497000000.0,21.0,37.0
6,4.052104208416834,1000000.0,1635697583.0,1834697583.0,10.0,499.0,1.0,199000000.0,499.0,99.0,499000000.0,30.0,46.0
7,4.399563318777292,1000000.0,1835700416.0,2034699041.0,10.0,458.0,1.0,198998625.0,458.0,111.0,458000000.0,16.0,26.0
8,4.166666666666667,1000000.0,2035697625.0,2235697083.0,8.0,462.0,1.0,199999458.0,462.0,107.0,462000000.0,21.0,28.0
9,4.0648330058939095,1000000.0,2235697541.0,2435697041.0,10.0,509.0,1.0,199999500.0,509.0,127.0,509000000.0,22.0,32.0
10,4.270833333333333,1000000.0,2435697583.0,2634698416.0,10.0,480.0,1.0,199000833.0,480.0,126.0,480000000.0,23.0,32.0
11,4.102362204724409,1000000.0,2635701041.0,2834698666.0,9.0,508.0,1.0,198997625.0,508.0,124.0,508000000.0,23.0,37.0
12,4.398720682302772,1000000.0,2835697583.0,3035697041.0,9.0,469.0,1.0,199999458.0,469.0,125.0,469000000.0,16.0,25.0
13,4.14375,1000000.0,3035697625.0,3234701166.0,9.0,480.0,1.0,199003541.0,480.0,76.0,480000000.0,22.0,37.0
